text,images,videos,gender
"৯০ শতাংশ মুসলমানের দেশে ""মুসলমানদের"" করা কিছু অসাধারণ কাজের নমুনা!",[],[],M
"```
এ সময় তাদের কাছ থেকে চুরি, ছিনতাই, চাঁদাবাজি, মারামারি ও হত্যাচেষ্টা সহ বিভিন্ন অপরাধমূলক কর্মকাণ্ডে ব্যবহৃত ১১টি লাঠি, ১৭টি চাকু, ৫টি ছোরা, একটি সুইচ গিয়ার চাকু, একটি ছুরি, একটি চাপাতি, একটি চাইনিজ কুড়াল ও একটি ইলেকট্রিক শক দেওয়ার মেশিন উদ্ধার করা হয়।
```",[],[],M
"```
ঢাকঢোল পিটিয়ে চাকরি দেয়া প্রতিবন্ধী সেই তরুণ চাকরিচ্যুত হলেন ৬ মাস পরই! চট্টগ্রাম বিশ্ববিদ্যালয় থেকে মাস্টার্স পাস করা রায়হান কর্মহীন হয়ে ফের অসহায়। তার দাবি, সস্তা বাহবা নিতেই আইসিটি মন্ত্রনালয়ের অধীন প্রকল্পে স্বল্পসময় দেয়া হয়েছিলো চাকরি।
```",[],[],M
"```
কোনো ভাড়াটিয়া পিকআপে করে, কেউ ট্রাকে, কেউ কেউ ভ্যানগাড়িতে মালামাল নিয়ে বাসা পরিবর্তন করে অন্য এলাকায় চলে যাচ্ছেন। নতুন বছরের শুরু থেকেই এ চিত্র বেশি চোখে পড়ছে। কী কারণে তাদের বাসা পরিবর্তন; জানতে চাইলে অধিকাংশ জানিয়েছেন— বেড়েছে বাসা ভাড়া, যা বহন করা কষ্টসাধ্য। তাই তারা একটু দূরে বা ভেতরের দিকে চলে যাচ্ছে, যেখানে ভাড়া তুলনামূলক একটু কম।
```",[],[],M
ধর্মবিদ্বেষীদের কোন ধর্ম নাই। এইটা বুঝতে হলে নিজের ধর্ম সম্পর্কে সামান্য ধারণা থাকা যথেষ্ট।,[],[],M
"একটা বিশ্ববিদ্যালয় বিভিন্ন মতের মানুষদের সহাবস্থানের ক্ষেত্র হওয়ার কথা। সেইখানে দেখা যাচ্ছে যে সবগুলো বৃহৎ ধর্ম দ্বারা সমর্থিত মতামত প্রকাশের কারণে চাকরিচ্যুত করা হয়েছে। এইটা কিভাবে একটা বিশ্ববিদ্যালয় হতে পারে?
সমকামিতার স্বপক্ষে অবস্থান নিয়ে বাকিদের উপরে চড়াও হয়ে বাকস্বাধীনতার বিপক্ষে অবস্থান নেয়ার অর্থটা বুঝলাম না। সমকামিতার মত প্রচারকারী লোকগুলো তো বাকস্বাধীনতা কোথায় আছে আর কোথায় নাই এইটা নিয়ে বিশেষজ্ঞ মতামত দেন প্রায়ই। তারা নিশ্চুপ কেন? তাহলে তো বুঝে নিতে হবে… See more",[],[],M
একটা আশাব্যঞ্জক খবর ,[],[],M
পুরানো ঢাকার মানুষজন নাকি খুবই ঐতিহ্য বজায় রেখে চলে ,[],[],M
"```
বাগেরহাটের ফকিরহাটে রাস্তা থেকে দুই শিক্ষার্থীকে তুলে নিয়ে সংঘবদ্ধ ধর্ষণের অভিযোগে স্থানীয় এক ছাত্রলীগ নেতাকে গ্রেফতার করেছে পুলিশ। নির্যাতনের শিকার দুই তরুণী খুলনার একটি কলেজের শিক্ষার্থী। তাদের বাড়ি বাগেরহাটেই। চাচাতো ভাই ও তার এক বন্ধুর সাথে ঘুরতে বেড়িয়েছিলেন তারা। 
```",[],[],M
"```
বাজারমূল্যের চেয়ে কম দামে ডিম ও ব্রয়লার মুরগি বিক্রি শুরু করলো বাংলাদেশ পোল্ট্রি অ্যাসোসিয়েশন। ন্যায্যমূল্যে শিগগিরই পোল্ট্রি ফিড বিক্রির ঘোষণাও তাদের। আর সিন্ডিকেট ভেঙে দিতে এ কার্যক্রমে সব ব্যবসায়ীকে সামিল হওয়ার আহবান ভোক্তা অধিকার।
```",[],[],M
