text,images,videos,gender
"BIRTHDAY: FEBRUARY 22
Anik Das",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428707113_10163384504478626_2793711486399880430_n.jpg?stp=dst-jpg_s720x720&_nc_cat=100&ccb=1-7&_nc_sid=311a32&_nc_ohc=H3VheVfDLscAX_6BqSz&_nc_ht=scontent-ord5-2.xx&oh=00_AfC8y1nO4U2y3xC9rwdBXRe66Mv3LU5uKbo3-AXW0iMmjw&oe=65DF0BA1'],[],M
Happy birthday babu ,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428602588_10233046684493906_5059376180560704213_n.jpg?stp=dst-jpg_s720x720&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=zImsoff2q1sAX8EG8c_&_nc_ht=scontent-ord5-1.xx&oh=00_AfAB2Z36O2nN2_AQoXOJ4sIr5_QVIl59hUSEqQJ1KY5RCw&oe=65DEEFDB'],[],M
Happy 3rd birthday Aurora baby! You are growing up faster than we can imagine. I love you unconditionally from the bottom of my heart. May god bless you with good health and a kind heart. ,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427957343_10232992448818048_318595455792842679_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=wQo8OrMcmroAX9TxcYw&_nc_ht=scontent-ord5-1.xx&oh=00_AfBvGd8dJWeluIShZsTt1v8S7ZARYavia_LlXkZkCX-LDQ&oe=65DFA7F9', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427939247_10232992449218058_1400107641147966144_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=sUpf_FsAbM0AX99uyxL&_nc_ht=scontent-ord5-1.xx&oh=00_AfA-xPBpE565Ud3Z_IXDEgC0CHb8TLmngYaungBrGFAleQ&oe=65DE9D96', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427945774_10232992449938076_3272375509310832161_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=UVl5_Eg34ZcAX-iMc-v&_nc_ht=scontent-ord5-1.xx&oh=00_AfAg45kp0Ps1ywaajadX-fbucTPhlyAHhwpMBtpuc-hpew&oe=65DF9667', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/426694265_10232992450178082_1593236043413719560_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=IymIFGwgN0QAX80CI-B&_nc_ht=scontent-ord5-1.xx&oh=00_AfAwt6Ngxu_XjyD9_UdmiyDJbhD5WIJ7fIOs3WvzgvqXnA&oe=65DE761B', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/427956462_10232992449538066_2821836696177368273_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=F9jes_n_F2AAX-zDjRm&_nc_ht=scontent-ord5-2.xx&oh=00_AfCIzc1Bpv2d86SlLvm3gyq1XQ5-ZPtMzfPeNlaqxju73Q&oe=65DFDB75']",[],M
"BIRTHDAY: FEBRUARY 22
Anik Das",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428707113_10163384504478626_2793711486399880430_n.jpg?stp=dst-jpg_s720x720&_nc_cat=100&ccb=1-7&_nc_sid=311a32&_nc_ohc=H3VheVfDLscAX_6BqSz&_nc_ht=scontent-ord5-2.xx&oh=00_AfC8y1nO4U2y3xC9rwdBXRe66Mv3LU5uKbo3-AXW0iMmjw&oe=65DF0BA1'],[],M
Happy birthday babu ,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428602588_10233046684493906_5059376180560704213_n.jpg?stp=dst-jpg_s720x720&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=zImsoff2q1sAX8EG8c_&_nc_ht=scontent-ord5-1.xx&oh=00_AfAB2Z36O2nN2_AQoXOJ4sIr5_QVIl59hUSEqQJ1KY5RCw&oe=65DEEFDB'],[],M
Happy 3rd birthday Aurora baby! You are growing up faster than we can imagine. I love you unconditionally from the bottom of my heart. May god bless you with good health and a kind heart. ,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427957343_10232992448818048_318595455792842679_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=wQo8OrMcmroAX9TxcYw&_nc_ht=scontent-ord5-1.xx&oh=00_AfBvGd8dJWeluIShZsTt1v8S7ZARYavia_LlXkZkCX-LDQ&oe=65DFA7F9', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427939247_10232992449218058_1400107641147966144_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=sUpf_FsAbM0AX99uyxL&_nc_ht=scontent-ord5-1.xx&oh=00_AfA-xPBpE565Ud3Z_IXDEgC0CHb8TLmngYaungBrGFAleQ&oe=65DE9D96', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427945774_10232992449938076_3272375509310832161_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=UVl5_Eg34ZcAX-iMc-v&_nc_ht=scontent-ord5-1.xx&oh=00_AfAg45kp0Ps1ywaajadX-fbucTPhlyAHhwpMBtpuc-hpew&oe=65DF9667', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/426694265_10232992450178082_1593236043413719560_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=IymIFGwgN0QAX80CI-B&_nc_ht=scontent-ord5-1.xx&oh=00_AfAwt6Ngxu_XjyD9_UdmiyDJbhD5WIJ7fIOs3WvzgvqXnA&oe=65DE761B', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/427956462_10232992449538066_2821836696177368273_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=F9jes_n_F2AAX-zDjRm&_nc_ht=scontent-ord5-2.xx&oh=00_AfCIzc1Bpv2d86SlLvm3gyq1XQ5-ZPtMzfPeNlaqxju73Q&oe=65DFDB75']",[],M
শুভ বিবাহ বার্ষিকী অরোরার বাবা ও স্নেহের বৌরানি।তোমাদের যুগল পথ চলা সুখের ও সাফল্যের হোক,[],[],M
BBQ night @ rashed’s place,"['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/412316005_1536688910416449_4047564256212683161_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=JmFm_R4JuVgAX-7Ooo5&_nc_ht=scontent-ord5-2.xx&oh=00_AfAz1I7S52yZC1XywbajhmwC2s4WnIzWnxhDw_7anB9IOw&oe=65DF39A8', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/412309826_1536689043749769_6618688244580306807_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=9cVFc2zBeAUAX9QH3_q&_nc_ht=scontent-ord5-2.xx&oh=00_AfCsJ0mbbdXFmN1YmQM2y26aDZ-i7RmeMgjEJtiBQjrAdA&oe=65E03408', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/412287361_1536688993749774_1456099890669604810_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=cjEKHrq1kFEAX-AtuVJ&_nc_ht=scontent-ord5-1.xx&oh=00_AfBFS_L0Hf8I_-2-NUGm0GXvV-558jv_CwB6mYN1ILU3Qw&oe=65DEB8BD', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/412349384_1536688957083111_5507715605261520097_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=5gdMtkUNO7YAX8xusCu&_nc_ht=scontent-ord5-2.xx&oh=00_AfD-gIxbTp3mdgixlVSQLlkWZhFeuhV3ePxAbSVTw2gHAg&oe=65DF6CA1', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/412420848_1536688920416448_6972066208511990308_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=b67l2jN6V1AAX8VgqhS&_nc_ht=scontent-ord5-1.xx&oh=00_AfAZpOvn1O9xtkcEK4Q3A-HIpJ3e_TyO2yB9TPI5AS2-5Q&oe=65E03F51']",[],M
Party at my place,"['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/410216244_1534894707262536_2440615881996785472_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=R6IkaqZVM-cAX92FKde&_nc_ht=scontent-ord5-2.xx&oh=00_AfAg3i9Gk46tWyXnB-22xLR96SMhlTtpfMk2--PHSSpjUQ&oe=65DFD406', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/410224070_1534894720595868_2353322826150594749_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=CJzFu67fnngAX9dA9Ei&_nc_ht=scontent-ord5-1.xx&oh=00_AfAmG-WWvLTrtUa-3h2e8JWlYpo76DMT2qWpnxsHkjWDHQ&oe=65DF0BE6', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/411174106_1534894740595866_430683339514409050_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=s9tazD9y1RsAX9ym2J8&_nc_ht=scontent-ord5-1.xx&oh=00_AfAAcv3Xd6GUaw2G8jXz3BvSTl4xrCjCIgxQsNRgAc76Nw&oe=65DFF541', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/411209765_1534894747262532_3834372696517340058_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=QuUDladhQkQAX98MRCY&_nc_ht=scontent-ord5-2.xx&oh=00_AfCYD8WjN51-MWj2ndkZb5ZKJD14C16Mbpsd-vaUDcCGGg&oe=65E03452']",['https://www.facebook.com/100022260644909/videos/pcb.1534894647262542/3546942678891136?__cft__[0]=AZVDiuQKFYPX3Hw2aKlA0y5tXXlHIONQdgZHkUDs-pY_d0DfqwdC8E0vm5uG5ckmLx8_1mNd3QhEb04ZMdEMarNtlZvPfYESGZ1vK1MMOfYn1sSv7YsVs0C5BjADvGKYgvnZPQrPFMiCp-GIdsUrzXeVOt1HAZ-Br7LzM6BsxPFqkQ&__tn__=*bH-R'],M
শুভ বিবাহ বার্ষিকী অরোরার বাবা ও স্নেহের বৌরানি।তোমাদের যুগল পথ চলা সুখের ও সাফল্যের হোক,[],[],M
