text,images,videos,gender
"পরশমণির খিদে-পোকা ও জুজুবুড়ির উপাখ্যান : 
খিদে পেলে পরশমণি খুব অস্থির হয়ে যায়। কান্নাকাটি, হল্লাহাটি, চুল টানাটানি - এসব মিলিয়ে বেশ হুলস্থূল একটা অবস্থা তৈরি হয়। তবে খাওয়ার পরে কী হয়- সেটা এখানে দেখা যাবে ",[],['https://www.facebook.com/chamokh/videos/745007520931917/?__cft__[0]=AZX1FfTWcwlbFZMsdMBPviTZHZ0XvtA-N1k5_nj81A2i8o_h_St7gz6P7zyL9l-2x7G1ig3mKrLGiXa7gPWO4xq5Z73yijvyAF86GbdNBddQ5iumRQZ87FQc5NVYJ7-b4IaqKLEK02YP_LpAkmsQroWzUOwDjCSifq7XhQbFOkSOdFSbmqtn992Ub6irJYK1eGg&__tn__=%2B%3FFH-R'],M
"আজ থেকে আটান্ন উনষাট বছর আগে জ্ঞান হতেই দেখেছি আমাদের পরিবারে আব্বা একটা দৈনিক আর একটা সাপ্তাহিক পত্রিকা রাখতেন। আমরা ভাই-বোন গভীর মনোযোগ দিয়ে পত্রিকাগুলি পড়তাম।সমাজ -রাস্ট্র-বিশ্বকে জানার বা আগ্রহ তখন থেকেই শুরু। পত্রিকার প্রেমের ধারাবাহিকতাতেই বুঝি দুই ভাই ঢাকা বিশ্ববিদ্যালয়ে পড়ার সময়ই সংবাদ মাধ্যমের জগতে নিজেদের ভবিষ্যৎ খুঁজে নেয়। এবং তারা সর্বজনের হৃদয়ে প্রতিষ্ঠাও পেয়ে যায়। আমাদের সার্বিক নিরীহ পরিবারে সবাই সত্যকে সত্য,মিথ্যাকে মিথ্যাই প্রতিপালন করে চলি। সততা,লোভহীন জী… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428705318_6681347075298603_1633778226907506132_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=-x4JEVJ50pcAX9qcDjS&_nc_ht=scontent-ord5-2.xx&oh=00_AfDPEok5DjKjuwCddtFW3_CCnL1Qt3fP6PCY_O-G7NiIig&oe=65F12498'],[],M
"যে আদালত বসে না কোথাও - আমার ছোট চাচা ‘বোরহানুল হক সম্রাট’ এর সাংবাদিকতা জীবনের নানান অভিজ্ঞতা নিয়ে লেখা এই বইটি প্রকাশিত হয়েছে এবারের একুশে বইমেলায়। পাওয়া যাচ্ছে মুক্তমঞ্চ সংলগ্ন ৪৪৮ নং স্টলে।
. 
কাকুর লেখা ব্যক্তিগতভাবে আমার ভীষণ প্রিয়, সেই ছোটবেলা থেকে। যুক্তিতথ্য আর আবেগী ভাবনার দারুণ মিশেল থাকে লেখায়। আর থাকে একটা অদ্ভুত সাবলীলতা। টানা পড়ে যাওয়া যায়। শব্দগুলো মনকে নাড়া দেয়, ভাবায়। বইটা এখনও হাতে পাইনি। পুরোটা পড়া না হলেও খণ্ড খন্ড কিছু লেখা নানান সময়ে পড়েছি। নিশ্চিত করে … See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428391605_10232727009378010_7197028978571098130_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=q2a7GDeRXjgAX-tVSDM&_nc_ht=scontent-ord5-2.xx&oh=00_AfDFBYa_ZmQt8Q0UnW8C8jB_Z_MM24pvHK37ATlBEheaww&oe=65F056C4'],[],M
পরশমণি আম্মুকে কত ভালোবাসে?,[],['https://www.facebook.com/chamokh/videos/6900574406721167/?__cft__[0]=AZUzRPUH3s8Oa011xwFWRpdA1oLLemh9wLAb4RLorHj_zHecjTuK-No0YBIoRUDvGiNtd_RhRiCeIszJLQtJzsxZ_BR_SA8P_QiSBsOnsfOu6QVSbqWxs9-XPKVTXqfPBTeuzaA5lrKC8eq3oeG5tYvM-ji4pVEFhpvwLxP3ZOvTj-YV-V5FyAitU1Mm26LJqAU&__tn__=%2B%3FFH-R'],M
"আজ থেকে আটান্ন উনষাট বছর আগে জ্ঞান হতেই দেখেছি আমাদের পরিবারে আব্বা একটা দৈনিক আর একটা সাপ্তাহিক পত্রিকা রাখতেন। আমরা ভাই-বোন গভীর মনোযোগ দিয়ে পত্রিকাগুলি পড়তাম।সমাজ -রাস্ট্র-বিশ্বকে জানার বা আগ্রহ তখন থেকেই শুরু। পত্রিকার প্রেমের ধারাবাহিকতাতেই বুঝি দুই ভাই ঢাকা বিশ্ববিদ্যালয়ে পড়ার সময়ই সংবাদ মাধ্যমের জগতে নিজেদের ভবিষ্যৎ খুঁজে নেয়। এবং তারা সর্বজনের হৃদয়ে প্রতিষ্ঠাও পেয়ে যায়। আমাদের সার্বিক নিরীহ পরিবারে সবাই সত্যকে সত্য,মিথ্যাকে মিথ্যাই প্রতিপালন করে চলি। সততা,লোভহীন জী… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428705318_6681347075298603_1633778226907506132_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=-x4JEVJ50pcAX9qcDjS&_nc_ht=scontent-ord5-2.xx&oh=00_AfDPEok5DjKjuwCddtFW3_CCnL1Qt3fP6PCY_O-G7NiIig&oe=65F12498'],[],M
"যে আদালত বসে না কোথাও - আমার ছোট চাচা ‘বোরহানুল হক সম্রাট’ এর সাংবাদিকতা জীবনের নানান অভিজ্ঞতা নিয়ে লেখা এই বইটি প্রকাশিত হয়েছে এবারের একুশে বইমেলায়। পাওয়া যাচ্ছে মুক্তমঞ্চ সংলগ্ন ৪৪৮ নং স্টলে।
. 
কাকুর লেখা ব্যক্তিগতভাবে আমার ভীষণ প্রিয়, সেই ছোটবেলা থেকে। যুক্তিতথ্য আর আবেগী ভাবনার দারুণ মিশেল থাকে লেখায়। আর থাকে একটা অদ্ভুত সাবলীলতা। টানা পড়ে যাওয়া যায়। শব্দগুলো মনকে নাড়া দেয়, ভাবায়। বইটা এখনও হাতে পাইনি। পুরোটা পড়া না হলেও খণ্ড খন্ড কিছু লেখা নানান সময়ে পড়েছি। নিশ্চিত করে … See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428391605_10232727009378010_7197028978571098130_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=q2a7GDeRXjgAX-tVSDM&_nc_ht=scontent-ord5-2.xx&oh=00_AfDFBYa_ZmQt8Q0UnW8C8jB_Z_MM24pvHK37ATlBEheaww&oe=65F056C4'],[],M
পরশমণি আম্মুকে কত ভালোবাসে?,[],['https://www.facebook.com/chamokh/videos/6900574406721167/?__cft__[0]=AZUzRPUH3s8Oa011xwFWRpdA1oLLemh9wLAb4RLorHj_zHecjTuK-No0YBIoRUDvGiNtd_RhRiCeIszJLQtJzsxZ_BR_SA8P_QiSBsOnsfOu6QVSbqWxs9-XPKVTXqfPBTeuzaA5lrKC8eq3oeG5tYvM-ji4pVEFhpvwLxP3ZOvTj-YV-V5FyAitU1Mm26LJqAU&__tn__=%2B%3FFH-R'],M
পরশমণি লক্ষ্মী হলো কী করে? ,[],['https://www.facebook.com/chamokh/videos/1329662597746119/?__cft__[0]=AZVpCzkNtLqnhj351WZKSe7d-dl3qynjMDji9KbXzWU1maoAJcLR_M7WexjjRXNfnn4K_9fvgLA7VuLIrPkqXKP7Vvgp__L2DwdcDFdJTgxI1ybuHBPXee87098OHdgqS7PKWEVXCNbxhFuvJUOF7BrU7EQ2vVXCUc-6RuMmHTTnshPjfDiWaadYLyE0sG7QMYo&__tn__=%2B%3FFH-R'],M
বহ্নির বই পাওয়া যাচ্ছে বইমেলায়…,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/426261723_10161610294409289_2137218218126926376_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=DRSAgqS3LdEAX-wA-R3&_nc_ht=scontent-ord5-2.xx&oh=00_AfA1tPvFay0FRoDu0T1TYokG_VDZyQ5R02mLHA_ftzzk4w&oe=65F01D52'],[],M
"ব্যাপারটা আনন্দের যে, অমর একুশে বইমেলায় আবার স্টল পেয়েছে আদর্শ। আর এর মানেই হলো, আমার এ যাবৎ লেখা সবগুলো বই পাওয়া যাচ্ছে মেলায়! আদর্শের ১৩৫-১৩৮ স্টলে গিয়ে খোঁজ করলেই চলবে।
এছাড়া গণিত নিয়ে নতুন বইয়ের কাজ করছি। খুব দ্রুতই ঘোষণা দিতে পারব বলে আশাবাদী! পাঠকদের জন্য অফুরান ভালোবাসা রইল!",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/426248785_10232640426373489_4567031170041556150_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=GoybSn-O2Q4AX-IIEqG&_nc_ht=scontent-ord5-2.xx&oh=00_AfANvuOVdwM8PMhHMUGM1WfdwsdVbQTgHDMrPVmob4dSsQ&oe=65F0E21B'],[],M
