"thumb","url","text","likes","comments","shares"
,"https://www.facebook.com/feroza.b.omar/posts/pfbid0nwBXxPmVff5P8eW3wkJaiBnxXpYCuYPkfdHq8ygGBFbSeHFdW99aveSPQ5HaQQwCl","ভর্তির অনুরোধ ফর্ম: https://forms.gle/JGqy85WVJaZrmnPs8
আগামী ৩০ সেপ্টেম্বর থেকে শুরু হতে যাচ্ছে আমার পরিচালনায় ‘এলেবেলে পাঠশালা’, দেশের বাইরে থাকা বাচ্চাদের অনলাইনে গল্প-গানে বাংলা শেখার স্কুল। সেই স্কুল নিয়ে আমার ভাবনাগুলো ভাগ করে নিলাম এখানে। প্রথমে সীমিত সংখ্যক বাচ্চা নিয়ে এই আয়োজন শুরু হচ্ছে। যেসব অভিভাবক তাদের বাচ্চাদের এখানে যুক্ত করতে চান, তারা ওপরের লিঙ্ক থেকে ভর্তির অনুরোধ জানাতে পারবেন।","2037","94","27"
,"https://www.facebook.com/feroza.b.omar/posts/pfbid0pmE2fBcf7eWxagdFcHUzp22FPc6r6iR6rgg9ioQoduNYkcnduFRLpDYowkjhMxHsl","#pop_upped_in_mind

Sometimes I wonder what are my kids to me!

Are they my ‘core attention’ , as I cannot think anything but them? Or they are my ‘core distraction’ who can distract me from all the painful chapters I do bear in my story of life?  

Are they my weakness that is pulling me back from somewhere I wanted to stay?  Or, they are my  strength that can give me peace and contentment wherever life  makes me to stay?

When I think myself as a 90 yrs old lady with hazy sight, with my closed eyes I can see clearly how wonderful time I had with my kids in a super messy, super noisy, small apartment home…  I know do not want to open the eyes soon…  the silence of big ,empty ,well organized home may haunt me!!

I know I have to open that eyes oneday… so I believe its wise to enjoy the dream for now! I have chosen this dream to have! So , is it too odd or illogical if I invest some of my time for that dream? Everybody does this, invest time for the chosen dream! I had the right to choose,isn’t it? 

My kids are ‘My own self’… they are the source of finding myself, exploring myself.. they are the reason to think myself ‘Valuable’ , they are the light that can pull me out from any dark tunnel…My kids are Me, my kids are that special string which has made a magical knot with the man I love! The feelings of being ‘we’ as a singular word was never felt before they arrived!

I selfishly tangling myself with them just beacuse I can ensure when they will busy making memories for their 100 yrs’ hazy eyes’, I atleast have the memories with them, that can stretch my wrinkled skin and I will find myslef smiling…

Can I make a wish?
May Allah make my  reminiscence of closed eyes’ longer than my sights of open eye’s  when i am old and alone… I wish I could ask Allah to bless us all to be with each other so long that we never need to open that lonely hazy eyes… 

I know, I believe, I feel… as long as you have job to to put something in right place, you are not done with life yet! 

Alhamdulillah… I have them… I am blssed to be chosen as the mother of these two precious souls on earth…. Please keep us in your prayers!","2944","14","22"
,"https://www.facebook.com/feroza.b.omar/posts/pfbid02sjmz2BCQWRDPUfD8T4DcUFmPF62NkxzAt8t7hsMxLUpGCZUYFMxdqeRJm3x7zxtHl","হ্যারিকেন হিলারি  যখন তুমুল বৃষ্টির পসরা সাজায়, আমার দুই কন্যা বারান্দায় দাঁড়িয়ে একটু বৃষ্টিছিটা গায়ে মেখে ব্যস্ত হয়ে পড়ে ...
আপা ( বর্ণমালা) ধনরত্ন বের করার খেলায় মেতেছেন... একেকটা পাথর বের করে তার বৃত্তান্ত পড়ে নিচ্ছেন... পরশমণি তো আর বসে থাকতে পারেনা... খাতা কলম নিয়ে আমাম-ফুল ( আগুন-ফুল, fireworks) আঁকছেন...

আজকে সকালটা খুব মনে রাখার মতো ..
সকালে ঘুম থেকে উঠে পরশমণি ওর আপাকে গিয়ে বলসে 'টপটপ (হিসু) কব্বো'... আমি আর চমক তখনও বিছানায়.. আমরা দেখলাম, বড় আপা ছোট জনের প্যান্ট খুলে কমোডে potty সিট বসিয়ে দিলো, পানি ঢেলে দিলো, ছোটজন টিস্যু দিয়ে মুছে নিলো... এরপর ছোটজন ফ্ল্যাশ করে, কমোডের ঢাকনা লাগিয়ে বের হলো...দুজন গল্প করতে করতে হাত ধুয়ে নিলো...বড়ো আপা আবার ছোটবোনকে প্যান্ট পরিয়ে দিলো! 

আমি আর চমক মুগ্ধতা নিয়ে ওদের দেখছিলাম... কি সুন্দর দুজনে মিলে একটা কাজ সম্পূর্ণ করছে, আমাদের সাহায্য ছাড়াই বেশ করে নিচ্ছ!! আগে শুধু একজনকে বড় হতে দেখতাম... 'দুইজনই বড় হয়ে   যাচ্ছে' এমন অনুভূতিটা আগের থেকে আলাদা...

আমার দুইটা মেয়ের জন্য সবাই দোআ করবেন!","4666","15","9"
,"https://www.facebook.com/feroza.b.omar/posts/10161270094014289","মাঝে মাঝেই আমাদের শুনতে হয়- ফেসবুকে দেখি তোমাদের পোস্ট/ ছবি...ভালোই তো আছো! 

Soical media আর reality এর মধ্যে যে বিস্তর তফাৎ থাকে, social mediaর ছবি/কথার মধ্যে যে বিশাল একটা অংশ  অদেখা থাকে, না-বলা থাকে... আজকাল আমরা অনেকেই ভুলে যাই! 

আজকের প্রায় ৭ বছর পর আস্ত তেলাপিয়া মাছ ভাজা করলাম... বর্ণমালা পেটে আসার আগে প্রায়ই করা হতো! এরপর অনেক হাবিজাবি কারণে করা হয় নাই... চমক খুব পছন্দ করতো! আজকে বাচ্চারা যখন dining-living রুমে তুলকালাম চালাচ্ছিল , তার মধ্যেই রান্না করা! সার্ভ করার পর আমার চমকটা খুশি হয়ে ছবি তুলে দিলো... ছবিটা সোশ্যাল মিডিয়ার আদলে তোলা ,মানে,  জীবনের সব আউলাপানাকে সরিয়ে শুধু সুন্দরটুকু টুকে রাখা....

আমি ভাবলাম, দুটা ব্যাপারই থাক ! না হলে হয়তো আমিও ভুলে যাবো, আমার সত্যিকারের জীবনটা কেমন ছিলো ! 

তো, এই হলো আমাদের আউলানো জীবনের একটুকরা আনন্দ, ভাজা আস্ত তেলাপিয়া মাছ! Social মিডিয়ায় রঙ্গ করে বলা যাবে  'Pan fried Whole Tilapia from scratch after 7 crazy years’ … 
 

যা কিছু  ভালো 
তোমাদের তরে থাকুক না হয় তোলা ...

যা কিছু মোদের থাকে এলোমেলো
তোমাদের কাছে সবটুকু থাকে ঘোলা...","4415","32","141"
,"https://www.facebook.com/feroza.b.omar/posts/10161260595344289","#হাওয়া
#ভাল্লাগেনাই 

Spoiler alert!

জীবন থেকে চিপে চিপে সময় বের করে বহুল প্রতীক্ষিত  'হাওয়া' সিনেমা দেখলাম...
এতো বাজে লাগলো  যে  নিজের এই জীবনের জন্যই মায়া লাগছে! 

না আছে গল্পের বুনোট..

না আছে কোনো চরিত্রের গঠন ( ৭-৮ জন মানুষ নিয়ে গল্প, কারো নামই ঠিকমতো সামনে আসে নাই... তাদের জীবন- ব্যক্তিত্ব কিছুই বুঝা যায় নাই) ..

না আছে thrill, relief space, humor, suspense, mystery… even a clean climax … not a single thing that define a story! 

দেবীর অলৌকিকতায় বেদেনী মাছের রূপ নিয়ে নৌকায় আসে, আবার সে মাছের রূপ ধরে পালিয়েও যায়! বুঝলাম, সে প্রতিশোধ নিতে এসেছে.... এরপর কী হলো? বেদেনীটি  ( ওনার নামটিও ঠিক করে জানা হয় নাই) শেষে সাপ হয়ে মাঝিরে  ( বলা বাহুল্য, মাঝির নামটাও জানা যায় নাই) ছোবল দিয়ে মেরে ফেললো! ! আরে !যদি সাপই হওয়া যায়, তাইলে ৩ ঘন্টা নষ্ট না করে , এতগুলা মানুষকে না মেরে শুরুতেই তো মাঝিরে ছোবল দিয়া কাহিনী শেষ করা যেত !!

অনেকে বলবে, cinamatography  ভালো! কয়েকটা সুন্দর ফ্রেমিং আছে, মানলাম! কিন্তু সাগরকে নীল দেখানোর জন্য color grading এমন করা যে মানুষগুলাকে সাপের কামড় খাওয়াই মনে হচ্ছিলো! আর 
সাগর নৌকার সুন্দর ছবি, ভিডিও দেখার জন্য national  geography channel  দেখলেই হয়...সিনেমায়  মানুষ একটা গল্প চায়, কল্পনায় গল্পে হাঁটার সুযোগ চায়... নিজেদের জীবন থেকে বেরিয়ে একটু সময় অন্য জীবনে যেয়ে অন্যরকম ভাবে জীবনটাকে দেখতে চায়! 

এক্কেরে, কী  চেলাম , কী   পেলাম-অবস্থা পুরাই! 

এমন সময় নষ্ট করার উপাদানটির জন্য   ২১ মাস অব্দি sleep deprived আমি কেন ঘুমের সময়টাকে বলি দিলাম! নিজেকে ক্ষমা করতে পারতেসিনা!","1774","85","45"
,"https://www.facebook.com/feroza.b.omar/posts/pfbid0Xr5hYR5QeJWDBBqYoSHJJjpVECJYgdpgVcKaUztw83FpnjtRXpE2rfJUQCUQXPv5l","আমাদের উল্টাপাল্টা জীবনের উরাধুরা এক বেলা...
ঝড়ের বেগে রান্নাবান্না, সাথে গান খেলা আর বই পড়া...

আমাদের পরিপাটি সংসারে সব কিছুই ছ্যাড়াব্যাড়া 
রান্নাবান্না নকল কাজ, আসল শুধু ঘুরাফেরা","16196","35","158"
,"https://www.facebook.com/feroza.b.omar/posts/pfbid0vy5AzyU46USv2Lc53LamK2chRH3HVdLt9AfZY9JFR4mb7VL5RuVivZsL3ifhDusql","Life with বর্ণমালা (সাড়ে ৬ বছর) 

আগস্ট ১০ 
প্রাথমিক বিদ্যালয়ে (Elementary school)এ বর্ণমালার প্রথম দিন!

মনে আছে, ৩.৫ বছর বয়সে যখন ওকে প্রি-স্কুলে পাঠাই , বাচ্চাটা ইংরেজি জানতো না,মা-বাবা ছাড়া কারো কাছে থাকা জানতো না, অন্য সংস্কৃতির কোনো বন্ধুর সাথে কিভাবে মিশতে হয় জানতো না... আমি, চমক কত আশংকা নিয়ে প্রতিদিন অপেক্ষা করতাম, যে না জানি স্কুলে ও কেমন থাকবে! আমাদের সব ভয়, শঙ্কা কে তুড়ি মেরে উড়িয়ে দিয়ে মেয়েটা স্বপ্ন  আর আশার আলো নিয়ে প্রতিদিন স্কুল থেকে ফিরতো ! ওকে আনার সময় রাস্তায়, গাড়িতে থাকা বন্ধুদের চিৎকার করে 'bye Bineeta’ ডাকগুলো জানিয়ে দিতো বন্ধুত্ব তৈরিতে বেশ পাকা হয়েছেন উনি!
এরপর কিন্টারগার্ডেন! প্রথম সেমিস্টারে Academic Excellent Award পেলো আমাদের বর্ণমালা! আমাদের ভেতরের 'ও পারবে তো!' নামক ভয়টা সেদিন জানলো , ও বেশ পারছে! এবার বিদায় হতে হবে! ভয় বিদায় নিলো... মনে একটু খচখচ থাকলো, কারণ ইংরেজি বুঝতে পারা, কথা বলায়  ঠিকঠাক থাকলেও , report card এ লিখা গল্প বলা কিংবা গল্পের আলোচনায় সামান্য একটু পিছিয়ে আছে ও...
আমরা ওকে কিছু বললাম না! অনেক আদর করলাম , আর ওর ভালো প্রাপ্তিগুলোকে এতো এতো বাড়িয়ে বললাম, যেন ওর নিজের উপর বিশ্বাস আর ভালোবাসা দুইটা অনেক বেশি করে গেঁথে যায়! 

আমি নিজ থেকে কিছু কাজ শুরু করলাম ওর সাথে, যেন গল্প ব্যাপারটায় ও সাচ্ছন্দ হয়! ও জানলোনা কেন করছি! সেটা বেশ লম্বা আলাপ! অন্যদিন না হয় করবো সে আলাপ... আল্লাহর কৃপায় কাজ হলো! 
এবার কিন্ডারগার্টেন ফাইনাল গ্রেডশিটে আসলো সব   3/3 and S ( satisfactory)… আরো সুন্দর ব্যাপার হলো, class discussion and math এ আসলো O(Outstanding)! ক্লাসে আলাপ আলোচনায় ও নাকি insightful input  ও দেয় ! ওর ক্লাস টিচার এতো যত্ন করে ওর improvement, involvement, creativity and learning attitude এর কথা লিখেছে, সামনাসামনি কথা বলার সময় বলেছে, আমার চোখ বারবার ভিজে উঠছিলো... সেদিনও অনেক আদর করলাম আমার বাচ্চাটাকে! 

এইটা খুব বড় প্রাপ্তি না,আমি জানি! মাত্র কিন্ডারগার্টেনই তো! কিন্তু ভিনদেশে বাংলাভাষী বাচ্চাটার এইটুকু প্রাপ্তিটাই আমাদের জন্য অনেক বেশি! দুইটা ভিন্ন ভাষা আর সংস্কৃতিকে নিয়ে কোনোরকম অভিযোগ কিংবা বিরক্তি ছাড়া যে আমার বাচ্চাটা এগিয়ে যাচ্ছে- আগ্রহ নিয়ে নিজের অন্যরকম পথটাকে আয়ত্তে আনার চেষ্টা করছে - ওর থেকে এইটুকু  বয়সে এর চেয়ে বেশি আমাদের চাওয়া নাই! 

আজ ওর প্রথম 'সত্যিকার' এর স্কুলের প্রথম দিন... কি দারুণ আত্মবিশ্বাস নিয়ে ও একাএকা হেঁটে গেলো স্কুলের ভিতর ... আমার কেমন যেন লাগলো! 

এই কি তবে শুরু? এখন থেকে দিনের অনেকটা সময় ও স্কুলে কাটাবে, এই 'ওর' সময়টা আস্তে আস্তে বাড়তে থাকবে ... ও নিজের একটা পৃথিবী বানাবে , নিজের মতো স্বপ্ন বুনবে, স্বপ্নের জন্য মেধা-মনন-শ্রম দেবে! আমরা আমাদের পৃথিবীটাকে আস্তে আস্তে ওর পৃথিবী থেকে আলাদা করে নিবো, তবে ওর পাশে রাখবো, যেন হড়কে গেলে ভড়কে গেলে আমরা হাত বাড়িয়ে বলতে পারি- 'আমরা তোর পাশেই আছি মা... তোর স্বপ্নের সাথে, আনন্দের সাথে..সব সময় আছি!' 

আমার মেয়েটার জন্য দোআ করবেন সবাই... সুস্থ সুদীর্ঘ জীবনে ও যেন আনন্দকে অর্জন করে, ওর পৃথিবীকে ও যেন আনন্দময়তা উপহার দেয়! আমরা যেন ওর আনন্দময় জীবনটার সাক্ষী হতে পারি... আমীন!","5906","71","62"
,"https://www.facebook.com/feroza.b.omar/posts/pfbid024QzszXSho11i7WhXnNe7C5oKN72tzW2eEybJULMmMXKEiXfpBimHq3FnoGsZJi67l","Life with পরশমণি  ( ২০ মাস ২৭ দিন) : 

পরশমণি exclusively breastfed বাচ্চা, exclusively এমন যে  কখনও বোতলে pumped breastmilkও খায়নাই ! 
দুধ খাওয়ানো নিয়ে প্রথম ২-৩ মাস কী  এক
বিভীষিকা সময় পার করেছিলাম! আল্লাহ জানে! বোতলে,বুকে কোনো ভাবেই সে খেতে চাইতো না! শেষমেশ যখন বুকের থেকেই খাওয়া শিখলো, বোতলে আর চেষ্টা করা হয়নাই, ভয়ে! তাও গভীর ঘুমে গেলে উনি খেত!

৮ মাসের পর থেকে একটু উন্নতি হওয়া শুরু হয়... ১৩ মাস থেকে ও খাইতে চাওয়া  শিখে! ঘুম ঘুম লাগলে/ জ্বর আসলে, ব্যাথা পেলে  যখন দুধ খাওয়ার ইচ্ছা হয় বলে , ""মাম্মা""! এখন অবশ্য "" মাম্মা দাও, পিছ (প্লিজ)"" কিংবা ""মাম্মা তাবো ( খাবো)"" বলে! আমাকে ও আম্মু ডাকে, বুকের দুধকে ও মাম্মা বলে! 

১৮ মাসের পর থেকে ওকে বুকের দুধের বিকল্প হিসেবে গরুর দুধ দেয়ার চেষ্টা করি ( যদিও ডাক্তার ১ বছরের পরই গরুর দুধ দিতে বলেছিলো..কিন্তু ও আসলে একদমই খেতে চাইতো না..)... ২০ মাসে পড়ার পড় ২ আউন্স গরুর দুধ খাওয়াতে পেরে ভাবলাম আস্তে আস্তে বুকের দুধটা ছাড়ায় দেবো ! ওকে বুঝাবো যে গ্লাস থেকেই যেন দুধটা খায়!

আজকের কথোপকথন তা এমন:

পরশমণি: মাম্মা তাবো  ( খাবো) 
আমি: মাম্মা খাবা? মাম্মা তে কি খাও?
পরশমণি: দুধ 
আমি: তাহলে গ্লাসেই দুধ খাও... পাইপ দিয়ে! ইয়াম্মি , মজা !!
পরশমণি: না, মাম্মা তাবো পিইচ ( প্লিজ 
আমি: কেন, মাম্মা কেন? 

পরশমণি: মাম্মা, ধুকধুক, হার্ট 

আমার বুকটা মোচড় দিয়ে উঠলো... এই বাচ্চাকে আমি বুকের দুধ ছাড়াবো কেমনে? ও যে আমার হৃদয়ের শব্দের সাথে নিজেকে বেঁধে রেখেছে!!

After all those hectics days of her first months, those exhausting sessions of cluster feeding, sleepless nights ( for 20 months), those teething tantrums ( still going)…today , I realized that all worth when she expresses that she feels better when is connected to my heart while having her ‘mamma’… একটা বাচ্চার কাছে একটা মায়ের এইটুকুই তো চাওয়া! গত কয়েক মাস ধরে জীবনের প্রতি একরকম অভিমান হয়ে আসতেসে, কিন্তু আজকে আমার অনেক বেঁচে থাকতে ইচ্ছা করতেসে..

আল্লাহ আমার বাচ্চাটাকে হেফাজত করুক, ওর জন্য হলেও আমাদের হেফাজত করুক! আমীন ! সবাই দোআ করবেন !","8147","41","221"
,"https://www.facebook.com/feroza.b.omar/posts/10161217014334289:651118683621739","তোমার সনে বেঁধেছিনু আমার আমিত্ত্ব 
তোমার সনেই আমার আমি এত আলোকিত

তুমি আমায় শিখিয়েছিলে ভালোবাসার গান 
স্পর্শে তোমার উষ্ণ-শীতল আমার মন-প্রাণ

(ছবি কৃতজ্ঞতা: Shahara Siddiquea আপু )","129","25","2"
,"https://www.facebook.com/feroza.b.omar/posts/10161171439109289:794970368918041","তোমার  সাথে একটা বিকেল হাসবো বলে অপেক্ষাতে থাকি 
তোমার সাথে জোৎস্না  আলোয় মাতবো বলে স্বপ্ন বুনতে থাকি
হাতটা তোমার আজও  আমায় নেশার মত টানে
আজও আমি তোমায় পুঁজি  স্বপনকাননে ;
আজও যখন  জীবন তরী  ঝড়ের মুখে পড়ে 
তুমি আমি এক হয়ে যাই আরো শক্ত করে ;
তাই তো আমি এই আমাদের এত্ত ভালোবাসি,
তাইতো আমি বেলাশেষে তোমার বুকেই আসি|

( ছবি কৃতজ্ঞতা: আমাদের বড় মেয়ে, বর্ণমালা)","137","23","12"
