text,images,videos,gender
"অমর একুশে বইমেলা ২০২৪ এর আদর্শ প্রকাশনীর স্টলে স্টল নং ১৩৫-১৩৮) পাওয়া যাচ্ছে আমার দুইটা বই! 
১. আমার বড় মেয়ে বর্ণমালা বেড়ে ওঠার গল্প 'হাঁটি হাঁটি পা পা' 
২. কৌতূহলী টুটুমের প্রশ্নের সারি নিয়ে সাজানো সিরিজের প্রথম বই 'টুটুম জানতে চায়- মেঘের কথা' … See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/426261723_10161610294409289_2137218218126926376_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=CPaJw_SIIvkAX-_AqJ2&_nc_ht=scontent-ord5-2.xx&oh=00_AfBaXF_NcFualOoqbv-Bbl9gvxK-EuYPZNRawOBcjlRqiw&oe=65F21792'],[],M
"'বোরহানুল হক সম্রাট' একজন ভালো মানুষের প্রতিনিধি, একজন বিচক্ষণ সাংবাদিক যিনি কিনা প্রত্যক্ষ করেছেন সমাজের নানা স্তরের নানারকম গল্পের... যে গল্পের ঝুড়ি নিয়ে লিখেছেন বই 'যে আদালত বসে না কোথাও '
সৌভাগ্যক্রমে উনি আমার চাচা শ্বশুর ... ওনার স্নেহ পরায়ণ নরম আদুরে স্বভাবের সাথে অন্যায়ের প্রতি ওনার বলিষ্ঠ অবস্থান এক বিরল সম্মেলন! আমি কাকুকে অনেক শ্রদ্ধা করি, আমি জানি 'লোকে কি ভাবলো ' এ নিয়ে পড়ে না থেকে ন্যায়ের পক্ষে শক্ত করে কথা বলার মতো কাউকে যদি আমি খুঁজি প্রথমেই ওনার কথা মাথায় আসে! 
তাই ওনাকে দেখলে, ওনার আশেপাশে থাকলে মনে একরকম সাহস কাজ করে! 
কাকু বইটা পড়ার অশেষ আগ্রহ আর এই বইটি প্রকাশ হওয়ায় নিযুত শুভেচ্ছা রইলো!
অনেক কিছু সামনাসামনি বলা হয়না... কিন্তু অগোচরে সত্য বলার মতো তৃপ্তি কি কোথাও আছে? ভালো থাকবেন সমু কাকু! এমন আরো গল্প শুনতে চাই, পড়তে চাই...লেখা চলুক, চলুক প্রকাশনা..",[],[],M
"#এলেবেলে_পাঠশালা
এলেবেলে পাঠশালার বসন্ত ২০২৪ সেশনের ভর্তি প্রক্রিয়া সম্পন্ন হয়েছে! যারা নির্বাচিত হয়েছে ও যাদের ভর্তি নিশ্চিত হয়েছে তাদের অভিভাবকদের ইতোমধ্যে জানিয়ে  দেয়া হয়েছে ! 
পরবর্তী সেশন( গ্রীষ্ম ২০২৪ )- এর আগ অব্দি নতুন ছাত্র ভর্তির ব্যাপারে কিছু বলা যাচ্ছে না! … See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/421249063_10161578021289289_5517830945099611645_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=zFycRLmsP98AX96LwL0&_nc_ht=scontent-ord5-2.xx&oh=00_AfCSkztny-4Zk8RMjZVXjuxmg09Re5NAXCZ2VUuMaU1Aew&oe=65F155CF'],[],M
"সাড়ে ১৩ বছর আগে 
এই গাছের ছায়াতলে 
আমায় বলেছিলে, 
হারাতে চাওনা আমায় কোনোকালে...… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/420152047_10161576432974289_9176925640371071027_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3IXrLR6vh6EAX9Beo0d&_nc_ht=scontent-ord5-2.xx&oh=00_AfDdl95VLYpN7Cxil57tMvM_Yy1sdAKvT_mwuWzeNHJtcg&oe=65F282C5'],[],M
"জলতরঙ্গের সাথে বর্ণমালার ছুটির দিন ...
https://fb.watch/pz1b7G9WUy/?mibextid=1slE9G&fs=e&s=TIeQ9V",[],[],M
"#এলেবেলে_পাঠশালা
আমাদের বসন্ত ২০২৪ সেশন শুরু হতে যাচ্ছে আগামী ২৫শে জানুয়ারি, ২০২৪ থেকে।
ভর্তির অনুরোধ ফর্মটি আগামী ১৮ জানুয়ারি, ২০২৪, বৃহস্পতিবারের মধ্যে জমা দেওয়ার জন্য অনুরোধ করা হলো। ২০ তারিখের মধ্যে নির্বাচিত শিক্ষার্থীদের অভিভাবকদের কে ইমেইল করে  জানিয়ে দেওয়া হবে। ( দয়া করে সঠিক ও সক্রিয় ইমেইলটি দেবেন)
ভর্তি নিশ্চিত করতে আগামী ২১ জানুয়ারির মধ্যে ফি পরিশোধ করতে হবে। 
ভর্তি সঙ্ক্রান্ত অন্যান্য যাবতীয় তথ্য জানতে ভিডিওটি দেখুন। এলেবেলে পাঠাশালার শর্ত-নিয়ামাবলি ও ফর্ম এর লিঙ্… See more",[],['https://www.facebook.com/feroza.b.omar/videos/1376358663071263/?__cft__[0]=AZXhbJQLpXuPHLfebSpBGcrivx9ohjo-ksvapkuM8CX4ssdZD1TqM39F2Bhpbj0oHHPMQ6k0S238aPyEeUdp-Pr-MiySNhgFWhOE-3oruNDbDL1IUfLmVWMa9zQIaz4ukRg1qC94dHcZEPieP3OTr2QD72rhBXOvGdzm-fGTx7UUnA&__tn__=%2B%3FFH-R'],M
"'বোরহানুল হক সম্রাট' একজন ভালো মানুষের প্রতিনিধি, একজন বিচক্ষণ সাংবাদিক যিনি কিনা প্রত্যক্ষ করেছেন সমাজের নানা স্তরের নানারকম গল্পের... যে গল্পের ঝুড়ি নিয়ে লিখেছেন বই 'যে আদালত বসে না কোথাও '
সৌভাগ্যক্রমে উনি আমার চাচা শ্বশুর ... ওনার স্নেহ পরায়ণ নরম আদুরে স্বভাবের সাথে অন্যায়ের প্রতি ওনার বলিষ্ঠ অবস্থান এক বিরল সম্মেলন! আমি কাকুকে অনেক শ্রদ্ধা করি, আমি জানি 'লোকে কি ভাবলো ' এ নিয়ে পড়ে না থেকে ন্যায়ের পক্ষে শক্ত করে কথা বলার মতো কাউকে যদি আমি খুঁজি প্রথমেই ওনার কথা মাথায় আসে! 
তাই ওনাকে দেখলে, ওনার আশেপাশে থাকলে মনে একরকম সাহস কাজ করে! 
কাকু বইটা পড়ার অশেষ আগ্রহ আর এই বইটি প্রকাশ হওয়ায় নিযুত শুভেচ্ছা রইলো!
অনেক কিছু সামনাসামনি বলা হয়না... কিন্তু অগোচরে সত্য বলার মতো তৃপ্তি কি কোথাও আছে? ভালো থাকবেন সমু কাকু! এমন আরো গল্প শুনতে চাই, পড়তে চাই...লেখা চলুক, চলুক প্রকাশনা..",[],[],M
"#এলেবেলে_পাঠশালা
এলেবেলে পাঠশালার বসন্ত ২০২৪ সেশনের ভর্তি প্রক্রিয়া সম্পন্ন হয়েছে! যারা নির্বাচিত হয়েছে ও যাদের ভর্তি নিশ্চিত হয়েছে তাদের অভিভাবকদের ইতোমধ্যে জানিয়ে  দেয়া হয়েছে ! 
পরবর্তী সেশন( গ্রীষ্ম ২০২৪ )- এর আগ অব্দি নতুন ছাত্র ভর্তির ব্যাপারে কিছু বলা যাচ্ছে না! … See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/421249063_10161578021289289_5517830945099611645_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=zFycRLmsP98AX96LwL0&_nc_ht=scontent-ord5-2.xx&oh=00_AfCSkztny-4Zk8RMjZVXjuxmg09Re5NAXCZ2VUuMaU1Aew&oe=65F155CF'],[],M
"সাড়ে ১৩ বছর আগে 
এই গাছের ছায়াতলে 
আমায় বলেছিলে, 
হারাতে চাওনা আমায় কোনোকালে...… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/420152047_10161576432974289_9176925640371071027_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3IXrLR6vh6EAX9Beo0d&_nc_ht=scontent-ord5-2.xx&oh=00_AfDdl95VLYpN7Cxil57tMvM_Yy1sdAKvT_mwuWzeNHJtcg&oe=65F282C5'],[],M
"জলতরঙ্গের সাথে বর্ণমালার ছুটির দিন ...
https://fb.watch/pz1b7G9WUy/?mibextid=1slE9G&fs=e&s=TIeQ9V",[],[],M
