text,images,videos,gender
"#pop_upped_in_mind
Sometimes I wonder what are my kids to me!
Are they my ‘core attention’ , as I cannot think anything but them? Or they are my ‘core distraction’ who can distract me from all the painful chapters I do bear in my story of life?  … See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/371523464_10161292157649289_1209727815859856238_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Uxdr6LVhFXMAX8Ko2ud&_nc_ht=scontent-ord5-2.xx&oh=00_AfBCm1tBtAUumCM-e3hvz-8uqFdi49LfyLS6v83U2o0D1Q&oe=65F0F47B'],[],M
"হ্যারিকেন হিলারি  যখন তুমুল বৃষ্টির পসরা সাজায়, আমার দুই কন্যা বারান্দায় দাঁড়িয়ে একটু বৃষ্টিছিটা গায়ে মেখে ব্যস্ত হয়ে পড়ে ...
আপা ( বর্ণমালা) ধনরত্ন বের করার খেলায় মেতেছেন... একেকটা পাথর বের করে তার বৃত্তান্ত পড়ে নিচ্ছেন... পরশমণি তো আর বসে থাকতে পারেনা... খাতা কলম নিয়ে আমাম-ফুল ( আগুন-ফুল, fireworks) আঁকছেন...
আজকে সকালটা খুব মনে রাখার মতো ..
সকালে ঘুম থেকে উঠে পরশমণি ওর আপাকে গিয়ে বলসে 'টপটপ (হিসু) কব্বো'... আমি আর চমক তখনও বিছানায়.. আমরা দেখলাম, বড় আপা ছোট জনের প্যান্ট খু… See more",[],['https://www.facebook.com/feroza.b.omar/videos/252598914363222/?__cft__[0]=AZWgUOT-HFr3RHsMo64ATsPc1hdLRttVxrD007rBoYPjdP8Kv7zljrR9fadKAIoCGZdlcV_Z7lkuY_3TKlJBo3lcFwkpIzu3f0P0idS8pWJBQ2sPOuNloSRNvgesGEX4YSIbjbNRSr4mfYWvY-WjeXtq7NeJQai_6n_2_x4g-VtzTg&__tn__=%2B%3FFH-R'],M
"মাঝে মাঝেই আমাদের শুনতে হয়- ফেসবুকে দেখি তোমাদের পোস্ট/ ছবি...ভালোই তো আছো! 
Soical media আর reality এর মধ্যে যে বিস্তর তফাৎ থাকে, social mediaর ছবি/কথার মধ্যে যে বিশাল একটা অংশ  অদেখা থাকে, না-বলা থাকে... আজকাল আমরা অনেকেই ভুলে যাই! 
আজকের প্রায় ৭ বছর পর আস্ত তেলাপিয়া মাছ ভাজা করলাম... বর্ণমালা পেটে আসার আগে প্রায়ই করা হতো! এরপর অনেক হাবিজাবি কারণে করা হয় নাই... চমক খুব পছন্দ করতো! আজকে বাচ্চারা যখন dining-living রুমে তুলকালাম চালাচ্ছিল , তার মধ্যেই রান্না করা! সার্ভ করার … See more","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/368284910_10161270090799289_8752045368395163695_n.jpg?stp=dst-jpg_p526x395&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=AJkOgaBkAncAX-7Lp6F&_nc_ht=scontent-ord5-2.xx&oh=00_AfADJr-KhLhb07b2aBhyNyz7P8pbXEp1d5Yyc2GpXcG1xw&oe=65F0AA75', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/368333574_10161270090604289_4736707539511461091_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=1FODTuOyOmAAX8K0rNR&_nc_ht=scontent-ord5-1.xx&oh=00_AfAO3ga6npf4XLUnS3goEwTJSwHdCalhToHDK0gqd7dhaQ&oe=65F1C9FF']",[],M
"#হাওয়া
#ভাল্লাগেনাই 
Spoiler alert!
জীবন থেকে চিপে চিপে সময় বের করে বহুল প্রতীক্ষিত  'হাওয়া' সিনেমা দেখলাম...
এতো বাজে লাগলো  যে  নিজের এই জীবনের জন্যই মায়া লাগছে! 
না আছে গল্পের বুনোট..
না আছে কোনো চরিত্রের গঠন ( ৭-৮ জন মানুষ নিয়ে গল্প, কারো নামই ঠিকমতো সামনে আসে নাই... তাদের জীবন- ব্যক্তিত্ব কিছুই বুঝা যায় নাই) ..
না আছে thrill, relief space, humor, suspense, mystery… even a clean climax … not a single thing that define a story! 
দেবীর অলৌকিকতায় বেদেনী মাছের রূপ নিয়ে নৌকায় আসে, আবার সে মাছের রূপ ধরে পালিয়েও যায়! বুঝলাম, সে প্রতিশোধ নিতে এসেছে.... এরপর কী হলো? বেদেনীটি  ( ওনার নামটিও ঠিক করে জানা হয় নাই) শেষে সাপ হয়ে মাঝিরে  ( বলা বাহুল্য, মাঝির নামটাও জানা যায় নাই) ছোবল দিয়ে মেরে ফেললো! ! আরে !যদি সাপই হওয়া যায়, তাইলে ৩ ঘন্টা নষ্ট না করে , এতগুলা মানুষকে না মেরে শুরুতেই তো মাঝিরে ছোবল দিয়া কাহিনী শেষ করা যেত !!
অনেকে বলবে, cinamatography  ভালো! কয়েকটা সুন্দর ফ্রেমিং আছে, মানলাম! কিন্তু সাগরকে নীল দেখানোর জন্য color grading এমন করা যে মানুষগুলাকে সাপের কামড় খাওয়াই মনে হচ্ছিলো! আর 
সাগর নৌকার সুন্দর ছবি, ভিডিও দেখার জন্য national  geography channel  দেখলেই হয়...সিনেমায়  মানুষ একটা গল্প চায়, কল্পনায় গল্পে হাঁটার সুযোগ চায়... নিজেদের জীবন থেকে বেরিয়ে একটু সময় অন্য জীবনে যেয়ে অন্যরকম ভাবে জীবনটাকে দেখতে চায়! 
এক্কেরে, কী  চেলাম , কী   পেলাম-অবস্থা পুরাই! 
এমন সময় নষ্ট করার উপাদানটির জন্য   ২১ মাস অব্দি sleep deprived আমি কেন ঘুমের সময়টাকে বলি দিলাম! নিজেকে ক্ষমা করতে পারতেসিনা!",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/366815912_10161260620099289_4794459624243619328_n.jpg?stp=dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=QElwfRDVWU4AX_8iQ04&_nc_ht=scontent-ord5-2.xx&oh=00_AfAYEO9-ddSLRxDv2sl9LG6mpl3l8ko9O4qRVgMmGEv_aw&oe=65F21107'],[],M
"আমাদের উল্টাপাল্টা জীবনের উরাধুরা এক বেলা...
ঝড়ের বেগে রান্নাবান্না, সাথে গান খেলা আর বই পড়া...
আমাদের পরিপাটি সংসারে সব কিছুই ছ্যাড়াব্যাড়া 
রান্নাবান্না নকল কাজ, আসল শুধু ঘুরাফেরা",[],['https://www.facebook.com/feroza.b.omar/videos/192723443799984/?__cft__[0]=AZWWVmk_PgJR2Fq-eDC-aUTg3p6M5uhoZI12HENLPI5RZSHfyXvz4TVw_wMFtljDI-I6fUyjVaZ6gvR2R9M4mRLGevGcJc6k_YO-WRaiUCqEZnn0s8VcmwGM6wZDcAAFAgz2uEoBIL3AoY2YyxX-s1-gUZe4tTZWr92pvKymw45C2xR6sboMhPgXN89trjW8dVU&__tn__=%2B%3FFH-R'],M
"Life with বর্ণমালা (সাড়ে ৬ বছর) 
আগস্ট ১০ 
প্রাথমিক বিদ্যালয়ে (Elementary school)এ বর্ণমালার প্রথম দিন!… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/366365312_10161252792389289_1241393660747445703_n.jpg?stp=dst-jpg_p843x403&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jVbX3zhAvrAAX-SHPNg&_nc_ht=scontent-ord5-2.xx&oh=00_AfC90ck7xHZyeMbz_xnLxrg1NE3-WXjOoPgy0b4GFeJieA&oe=65F20608'],[],M
"Life with পরশমণি  ( ২০ মাস ২৭ দিন) : 
পরশমণি exclusively breastfed বাচ্চা, exclusively এমন যে  কখনও বোতলে pumped breastmilkও খায়নাই ! 
দুধ খাওয়ানো নিয়ে প্রথম ২-৩ মাস কী  এক
বিভীষিকা সময় পার করেছিলাম! আল্লাহ জানে! বোতলে,বুকে কোনো ভাবেই সে খেতে চাইতো না! শেষমেশ যখন বুকের থেকেই খাওয়া শিখলো, বোতলে আর চেষ্টা করা হয়নাই, ভয়ে! তাও গভীর ঘুমে গেলে উনি খেত!… See more",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/365298751_10161234579999289_7846618502251735990_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=UEh6P2RPctsAX-nMTNm&_nc_ht=scontent-ord5-1.xx&oh=00_AfAmV88NQOHobc8DDD7j15xJr0c7GmSMKMchVOstRUFlow&oe=65F23A42'],[],M
"কুমড়া কুমড়া মুখটা আমার 
মিষ্টি কিংবা টক,
মিষ্টি দুইটা ছানা  আমার 
পোজ দিয়েছে ব্যাপক!",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/313860699_10160533406279289_8389724907683830494_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=UEHJyZXYsWYAX-Sb19I&_nc_ht=scontent-ord5-1.xx&oh=00_AfBaGJV5kN96jc3ETDRmZRIHCILEDygNqcfjBMe2hkYANA&oe=65F28105'],[],M
"RSV (Respiratory syncytial virus)
১৬ দিন আগে বর্ণমালা স্কুল থেকে আসার পর বলে 'কেমন যেন খারাপ লাগছে' ... আমি খুব পাত্তা দিলাম না; রোজকার নিয়মে গোসল করিয়ে খাওয়ায় ঘুম পাড়ায় দিলাম |  বিকালে ঘুম থেকে উঠে বেশ স্বাভাবিকই ছিলো , 'কিছু খেতে ভালো লাগছেনা' ছাড়া তেমন কোনো সমস্যার কথা বলে নাই. এমনিতেই খাওয়াদাওয়ায় আগ্রহ কম ওর, তাই এ নিয়েও বেশি ভাবিনি.. 
রাত ৩:০০ টার দিকে আমি পরশমণিকে বুকের দুধ খাওয়াচ্ছি, দেখলাম ও ছটফট করছে.. আমি চমককে ধাক্কা দিয়ে জাগিয়ে বললাম, বর্ণমালার কি শীত লাগছে কিনা দেখতে! গায়ে হাত দিয়ে চমক বলে, ওর তো জ্বর! চমক মেপে দেখলো ১০১! ততক্ষণে ও জেগে গিয়েছে, আমি তখনো খাওয়াচ্ছি ছোট বাবুকে! চমক ওষুধ খাওয়ালো... কিছুক্ষণ পর জ্বর কমলো .. পরদিন  স্কুলে দিলাম না... 
সারাদিন জ্বর জ্বর ভাব আর 'কিছু ভাল্লাগেনা' অবস্থা গেলো. রাতে আবার জ্বর আসলো... সেদিন ও স্কুলে দিলাম না...
পরদিন শুরু হলো সর্দি... কিন্তু জ্বর আর আসেনাই! স্কুলে জানালাম! বললো, ২৪ ঘন্টা ওষুধ না খেয়ে জ্বর ছাড়া থাকলে স্কুলে পাঠাতে... তাই পরদিন স্কুলে গেলো! রাতে একটা অনুষ্ঠানেও গেলাম...
পরদিন কাশি শুরু... ভাবলাম, রাতে অনুষ্ঠানে বাইরে খেলেছে, এইজন্য হয়তো!
এরপর সর্দি কাশি একটু একটু ভালোর দিকে যাচ্ছে, ভাবলাম, season change হচ্ছে, তাই এমন হয়েছে হয়তো! 
এর দুইদিন পর রাতে পরশমনির জ্বর আসলো, সাথে আমার সর্দি... ভাবলাম, কী আর! ঠান্ডা লেগেছে আর কি! কিন্তু আমি ভয়াবহ দুর্বলতা অনুভব করছিলাম, পরদিন আমার মাথা ব্যাথা, গায়ে ব্যাথা শুরু হলো .. আর পরশমনির সর্দি কাশি জ্বর একসাথে হলো... ওর চোখ টলটল করছে, ফুলে গেসে... না দুধ টানতে পারছে, না solid খাওয়া খাচ্ছে... ডাক্তার কাছে নিয়ে গেলাম...
Nasal swab টেস্ট করে ধরা পড়লো RSV . ডাক্তার বললেন এটা বর্ণমালার স্কুল থেকে এসেছে... ভীষণ ছোঁয়াচে এই রোগ আর ২ বছরের কম বয়সের বাচ্চাদের জন্য খুব ভয়াবহ হতে পারে... পরশমণির তখন ৪র্থ দিন! ডাক্তার বললেন, ৫ম দিন পর্যন্ত ভয়ের... এরপর আস্তে আস্তে কমতে থাকে... আল্লাহকে ডাকতে বললেন আর খেয়াল রাখতে বললেন... 
সেদিন রাত থেকে আমার সর্দি, কাশি বাড়া শুরু হলো, চমকের সর্দি শুরু হলো...
আল্লাহর রহমতে খুব ভয়াবহ অবস্থায় যায়নি পরশমণির অবস্থা... কিন্তু আমাদের মধ্যে ওর ভোগান্তিই সবচেয়ে বেশি হচ্ছে...
আমরা এখনো পুরো সুস্থ হয়ে উঠিনি... শুধু বর্ণমালা আল্লাহর রহমতে ভালো আছে এখন... আমি চমক ধাক্কায় ধাক্কায় একেকটা একেকটা দিন  পার করছি... Covid এও এতদিন ভুগি নাই আসলে! প্রবাস জীবনে দুই অসুস্থ বাচ্চা নিয়ে নিজেরা অসুস্থ হয়ে দিনাপাত করা কত কষ্টের সেটা শব্দ দিয়ে বুঝানো দায় ! আমাদের জন্য দোআ করবেন সবাই! 
এতো বড় লিখাটা লিখলাম RSV নিয়ে কেউ যেন অবহেলা না করে সেটা জানানোর জন্য! আমেরিকার অনেক শিশু হাসপাতালে জায়গা পূর্ণ হয়ে যাচ্ছে এর প্রকোপে... ২ বছরের কম বয়সের বাচ্চাদের সাধারণ সর্দি কাশি জ্বর হলেও ডাক্তারের কাছে নিয়ে যাবেন...
মহান স্রষ্ঠা  বাচ্চাগুলোকে ভালো রাখুক, ভালো রাখুক তাদের পরিবারকেও ! আমীন",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/312833806_10160505970619289_5743388558248487754_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=zyazEPOm7qcAX-yDDfN&_nc_ht=scontent-ord5-2.xx&oh=00_AfDtF1KvDG-G58kKdz9Cp1sCrSc_NhJW5KthUy3wNjmy3w&oe=65F0D0E9'],[],M
"ওরা যখন কাছে থাকে, আষ্টেপিষ্টে মিশে থাকে, 
এক টুকরো মর্তমাটি স্বর্গ হয়ে ছবি আঁকে!",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/305410792_10160405144949289_8106930755520428642_n.jpg?stp=dst-jpg_p180x540&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=iISLn41vleMAX9CMXq8&_nc_ht=scontent-ord5-1.xx&oh=00_AfCKR_AEzB01C7amoml9INaQe7w-3Y4cQzIzdZ9XTyISqg&oe=65F23759'],[],M
