text,images,videos,gender
First golfing experience! ,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/378813486_10230718720182710_2532084623652251159_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=GEcx8vbC1OQAX9ulHoU&_nc_oc=AQl6OAAq-0QWCvW7kATErawgf8RwtAkv8ExNCPBZh9IYMr-z3zi62ocp-B1nD8m2uJo&_nc_ht=scontent-ord5-1.xx&oh=00_AfCD9WOrIRtZ6EH7iL34KGaBoJ75P0OUslKG7IqWJUmb8w&oe=65F9F336', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/378796820_10230718720902728_4989088263123701793_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=tOjJ_EjMSQcAX_OmM1V&_nc_ht=scontent-ord5-1.xx&oh=00_AfCexWlNJoJJpJQ4lndL2LfdXDyXyijn6KceHvb6xNnFiQ&oe=65FA1271', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/378821939_10230718721302738_8899951443717435542_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=MAo5uQEW0pUAX80LPWO&_nc_ht=scontent-ord5-1.xx&oh=00_AfB_nEWs8fEiv9n0TY6uJVzpqNx97swPWDORqupRYYjIkw&oe=65FB90D6', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/378813281_10230718721462742_7129698012134853974_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ljS1qHDg0fgAX83_r6G&_nc_ht=scontent-ord5-2.xx&oh=00_AfA55xsqHvvoHyoXjRbw-TnOHCW9OIz52lf1GorXWVbZhg&oe=65F9EFFC']",[],M
Got an opportunity to visit a beautiful farm,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/358055933_10231301430181800_6787513419597215208_n.jpg?stp=cp6_dst-jpg_p261x260&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=8Wyuc_RNUkkAX9dw9_w&_nc_ht=scontent-ord5-1.xx&oh=00_AfDz8n1_77DyZCv2OWkfeBFqFDLAbnVBkpl3-OJsLkAI7g&oe=65FA0DAC', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/358110155_10231301430501808_1166298165543603992_n.jpg?stp=cp6_dst-jpg_p261x260&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=SCmTd0MuvGcAX_JMVEd&_nc_ht=scontent-ord5-2.xx&oh=00_AfAOo7oIS7kUEMIBT5qI7PGBeb2d23wehMwE49IGHi8L1g&oe=65FA6C32', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/358082093_10231301431901843_1565860246948333792_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hdN6oqP7DowAX9MIU9d&_nc_ht=scontent-ord5-2.xx&oh=00_AfDVf0ccdVnRMDeHpjsn1sF6mwa6qzblZ7xbANX_FyafgA&oe=65F9FEFF', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/358090520_10231301432221851_8020503921846878302_n.jpg?stp=cp6_dst-jpg_p261x260&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OKsSoZQS4dEAX-4M3yF&_nc_ht=scontent-ord5-1.xx&oh=00_AfCdy0y94xKX8mRZ6z7o78no10NX54fSb0_JJ9PTtcDrNA&oe=65FBCEF7', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357467679_10231301432501858_2795058910031751431_n.jpg?stp=cp6_dst-jpg_p261x260&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=nv1-EEq40AsAX_a5xCP&_nc_ht=scontent-ord5-1.xx&oh=00_AfC1NOJzvWa9kYqBeEswkIjtN8W6zH0lOlDhQN7RiuoKbg&oe=65FBC697']",[],M
"To improve work-life balance and increase productivity, Daraz Bangladesh has introduced a new office schedule for general shift employees effective June 2023, where employees will work from Monday through Thursday at the office and on Friday from home. The new timing is from 7-8 a.m. and will close at 3.30-4.30 p.m. Saturday and Sunday will be the weekends.
It was like making a history in the employment sector ! Thanks to Syed Bhai ( Managing Director, Daraz Bangladesh) for … See more","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/352800949_7164998973526537_1696926448833882678_n.jpg?stp=dst-jpg_p526x395&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=QTHbW993nE0AX8rKXbI&_nc_ht=scontent-ord5-1.xx&oh=00_AfAb2p5zGx1JC44BsAsQUu82yVJ2KgvPC169zJEftrK7KA&oe=65FAC69B', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/350529246_7164999166859851_4202239510831889365_n.jpg?stp=dst-jpg_p526x395&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=tT-2ZhRL2QUAX91xc-Z&_nc_ht=scontent-ord5-2.xx&oh=00_AfBMCufjRoHJ3v5qTUBtddh2kSFIQA8wZuG41SGg4idhSw&oe=65FBD80C']",[],M
"When I first joined Daraz Online Shopping  back in 2019, I came to know a genius who can convert any difficult task into easy one. The excel guru. The Bot guru. The Big data guru, what not!!!! Simply a magician who can convert any big data into useful information but very down to earth person who always ready to help everyone saying ""JI BHAIYA"". 
He is going to pursue his dream Masters in USA. Very proud of you Md Ishtiak Hossain . We firmly believe that you will make your u… See more","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/345632732_239893922073755_5366980771091574384_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=kIeEq-97BT8AX8M4rtH&_nc_ht=scontent-ord5-2.xx&oh=00_AfC10LuMD3g0YJ1S_Y6D2oayWMf5l1tB38IiCjqhrvmvJg&oe=65FAFCC5', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/345038167_626631405787393_8203415421163342958_n.jpg?stp=cp6_dst-jpg_p280x280&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=zA3jyuD3_mwAX-_280l&_nc_ht=scontent-ord5-2.xx&oh=00_AfC-SY0l-sBBIOQguxQRvUc_-vKyuek6mOfvqIroMi8zhQ&oe=65FB657F', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/349183182_631457135514222_3761922084001367949_n.jpg?stp=cp6_dst-jpg_p280x280&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=HlHSrAEiD1YAX8f4JQp&_nc_ht=scontent-ord5-2.xx&oh=00_AfAu5he0wMXCP1oHF0-9BDY-uq2kJ3Pi6acqlUSEwIcD4w&oe=65FAE47C', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/346874659_689323622933176_7183127136540416008_n.jpg?stp=cp6_dst-jpg_p280x280&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=GNvf213qsSgAX-IOHi9&_nc_ht=scontent-ord5-2.xx&oh=00_AfCKC6DbnxFBRLr0H-TXWdGG24gjjy7P7NMO4nLbrnTlUw&oe=65FA177A', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/345216956_247797417839929_6734772741813540217_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=-OOZKdDuzjMAX8Nunu6&_nc_ht=scontent-ord5-2.xx&oh=00_AfBdQYj8tEcSJnTt422jjpWMVIfJWq5ZZZlhduMXhFR9Gg&oe=65FBA16F']",[],M
One. Last. Time.,[],[],M
 Home Sweet Home ,[],[],M
"মেঘালয়, শিলং, চেরাপুঞ্জি, ShnongPdang......
নামগুলার মতই অসাধারণ সুন্দর এই জায়গা গুলো ঘুরে দেখার সুযোগ হল!","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/312092589_10229524643323239_2723567660464139039_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=C6gGQ0yMPLAAX8U14Zb&_nc_ht=scontent-ord5-1.xx&oh=00_AfBTo-PeZdNDy8VbMPB0LsoEWyPpkgGkNBZGSWnUbzgyfQ&oe=65FAE2F3', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/312264886_10229524644923279_7810259267525032644_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=WqbyO8k1zpEAX8xPw88&_nc_ht=scontent-ord5-2.xx&oh=00_AfDgSJkpObufCye2Ygg8Tue9FqA7mODmObZvle99KsQzvw&oe=65FB70C1', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/312664470_10229524645763300_7089109006374030977_n.jpg?stp=dst-jpg_p280x280&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Z0UROhUgPzsAX-wy3YX&_nc_ht=scontent-ord5-2.xx&oh=00_AfAyNtmktjqZ0paQt3iNV3qJPou8wIfX9PZE5uYhz2zTmQ&oe=65FB93B3', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/312096213_10229524646323314_4250054242555317878_n.jpg?stp=dst-jpg_p240x240&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=JgUJgaZFhHMAX-5HR3t&_nc_ht=scontent-ord5-2.xx&oh=00_AfBjfxOOjwrZtgoXuuQzL_cpEtcXoZXU7J7i6n31Eji-dA&oe=65FA483A', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/312222175_10229524646643322_1298579964111805031_n.jpg?stp=dst-jpg_p370x247&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=RUHslW9Kp3sAX8d4Z3X&_nc_ht=scontent-ord5-1.xx&oh=00_AfAbbhIFITimo7Zoz7Zuxk1Ye6ca4tEJflH1amUY_SkkgA&oe=65FA1720']",[],M
Cherapunji 2022,"['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/312625271_10228318833867052_2580780764206969110_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=w41AvKyXf34AX-ciIdQ&_nc_ht=scontent-ord5-2.xx&oh=00_AfD6TQbPOIjDA0dL1-JXv7Ii_tuufK2hRLmw0pgRnIPlxw&oe=65FB71B5', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/311233888_10228318828866927_1062856039722099117_n.jpg?stp=dst-jpg_p600x600&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=1sAbuUAr7WUAX9Pr-ci&_nc_ht=scontent-ord5-1.xx&oh=00_AfAhn7ouhjhm2XlVRREkDR4OgqBWxtM9ImgtjsbCOYx6EA&oe=65FA5AEA', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/311480644_10228318834987080_3423920336467387125_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=v1nEltn1WLUAX8iNlcR&_nc_ht=scontent-ord5-2.xx&oh=00_AfCH_D_x3kdtzVqsxXmnuOtpooDRE2pOump6laFU4rvL6A&oe=65FA31A8', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/312861417_10228318835547094_2019411295809953786_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=IO12ybtKKS4AX_UKCmW&_nc_ht=scontent-ord5-1.xx&oh=00_AfBwKmrX41IPpvln7mSzTr_L-UdOdfDqKL-c6GQ-6FY3yg&oe=65FBCD2F']",['https://www.facebook.com/1565356606/videos/pcb.10228318839667197/673389714068233?__cft__[0]=AZVQ_OR_JDo9ebYvd-1I06stOr25guxcU0P0HjuVvTyXecQRn51GUsKSLXCTfxMjkBqnoajgCTNyPMHymIoYf0DN8Nf4PwxlZIMoiYGHsDfkbiIlUgp_yCLO-LIot2Oj3g_CbtPZHTw65t54mhqHc36rDbX_IE2vT32TWDbWTZ5dbg&__tn__=*bH-R'],M
Mesmerizing beauty and peace of mind at last ,"['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/310732012_10229219123565436_5972952079407712535_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=TWRYng-cZLoAX-NHfZ9&_nc_ht=scontent-ord5-2.xx&oh=00_AfAREnZTHraSK7qSyKPFRJ8ITJwRIPXXwl0-DnKnSd_3-g&oe=65FB1AB3', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/311134167_10229219124205452_6585349162577916949_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=7U-kA3p-L-cAX83kPEd&_nc_ht=scontent-ord5-2.xx&oh=00_AfA31NZPgVCcGYJLb8qnPx7d6FVQZbihsN_-G0i90XwIrQ&oe=65FB4400', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/310915441_10229219125565486_6964063479600803000_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=FAHNh4tIV2YAX8eiJvX&_nc_ht=scontent-ord5-1.xx&oh=00_AfAu7qnjBEEDmQ5hwSVNMw8VcHb7Fm2MtNdQeTlvyUN2iw&oe=65FAAFE7']",[],M
On a date with Le Husband after a long time ,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/307692041_10229128446098556_6532533870324466265_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Pc8esg8Y_kwAX8oCCNo&_nc_ht=scontent-ord5-1.xx&oh=00_AfDdU0P2PIZXYLNQTOcU_BSny-GIAwGOvXqk_PMHImAtWw&oe=65FA62E8', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/306824164_10229128447938602_5576939228872485478_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ksnvmIo9tCoAX_AZbyT&_nc_ht=scontent-ord5-1.xx&oh=00_AfAwIMknyJc7WZvfKt74DiCh7WfdQaDpW1JsQYZZfEMLuw&oe=65F9F90E', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/307969294_10229128447178583_1549673055745223290_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=zyISblRR8KEAX_dv1lI&_nc_ht=scontent-ord5-2.xx&oh=00_AfCWZ6R3uY9a4J2uGGnb35eJ6dZPxVLrBHXLZWzybnh_FQ&oe=65FAD904']",[],M
