text,images,videos,gender
"8 Best Places to Visit in Lumut, Perak
#PromisingPerak",[],['https://www.facebook.com/khalid.rukon/videos/237771489399739/?__cft__[0]=AZXcvDeizz-7pzrycXS-IQ10l23tYBYLRnaU0EW63xegA1pJ9HdxU05NWY8-r2RBYLfbYU9wFwE7hQCqgsZcQGOyLy-Xr6fh5L91AzVMB18nd5lKafR6H3V6yseMzma4j-hQBjpb1WTFahQU18iEDb0RRTw7kNhx6gIjSowrLavY_N7ZRGzvxOR7RPa53erwFpA&__tn__=%2B%3FFH-R'],M
"8 Best Places to Visit in Lumut, Perak
#PromisingPerak",[],['https://www.facebook.com/khalid.rukon/videos/237771489399739/?__cft__[0]=AZXcvDeizz-7pzrycXS-IQ10l23tYBYLRnaU0EW63xegA1pJ9HdxU05NWY8-r2RBYLfbYU9wFwE7hQCqgsZcQGOyLy-Xr6fh5L91AzVMB18nd5lKafR6H3V6yseMzma4j-hQBjpb1WTFahQU18iEDb0RRTw7kNhx6gIjSowrLavY_N7ZRGzvxOR7RPa53erwFpA&__tn__=%2B%3FFH-R'],M
One of the most memorable road trips,[],['https://www.facebook.com/khalid.rukon/videos/763377401304307/?__cft__[0]=AZXdHyz19alA4mDYAEm6u3weN3jMu_wDG_Dr9HIAcPkeMSIr6i4lvmAb1P2zDkruYEBWt3mTNf7PILb2FnVk56uiI91xX3MGWZBKudBkJJyr5hvN2tSVTnQc3znUhbNpyaphH0516AiRFPW0bKkLlGQL1Yv7eusg_Hk3YZ6sZCR3hyTDSgnt9tE-K_35HvCKinkf-OHdTn6T0vMdm9BOvj6v&__tn__=%2B%3FFHH-R'],M
Discovering Johor Bahru: A Mesmerising Mersing Trip Unveiled!,[],['https://www.facebook.com/khalid.rukon/videos/732596648833952/?__cft__[0]=AZVJorIQ_2PgHNU86aG7BsTsjzFa-IvZoi2J-YXxpSuBBz9OZ7pS-8GUwIcRnOeuAupxuL7-Su8iDTlMbP-9TA3Speo_MTOMg2ZgQYpKPrnLUxhKTL4oEJaoMXoe-Y_JTTWCtoo7oCQUi8AHKOozyJdxeR1pZAS_zJDMiy3BwLt39EHZ3sPtV_VyqQwQ3Yc7-zY&__tn__=%2B%3FFH-R'],M
"৩০ তম পারা | সূরা গশিয়াহ | দুনিয়ার ব্যস্ততা সহ সব কিছুকে আচ্ছন্ন করে দিতে আসছে হতবিহবলকারী ঘটনা
আপনি যতই আনন্দে বা খুশিতে থাকেন না কেন, কারোও সামান্য কটু কথাও অনেক সময় আপনার সমস্ত খুশি নষ্ট করে দিতে পারে। আর সেজন্যই জান্নাতের অনেক নিয়ামতের মধ্যে অন্যতম একটি নিয়ামত হচ্ছে সেখানে আমাদেরকে কারো কোন কটু কথা, অনর্থক কথা শুনতে হবে না।  হাজার হোক জান্নাতবাসীরা হচ্ছেন উঁচু স্ট্যান্ডার্ডের মানুষ। তারা দুনিয়াতে থাকতেই দিনরাত অনর্থক কথা, অশান্তির কথা বলে বেড়াতেন না। জান্নাতে তো কখনই বলব… See more",[],['https://www.facebook.com/khalid.rukon/videos/1353265965367839/?__cft__[0]=AZWgU3XBkftPiaDYTMGr51pKsE4do5Um_BmofzFqG6BhP8kn576dkb1sfoSKkm9G-Inx_aV5Vo1272m88gvNJQkyz4i1uhtjhEjgkgp-2etTC3Ncw0BJ_DFkipn_rH404SzhylF_aAgdqOnEFgGbzz1rrDzBWN0u4R-_dqeWGgQ4vIunqk9OWcKDCDb_VRV96wU&__tn__=%2B%3FFH-R'],M
One of the most memorable road trips,[],['https://www.facebook.com/khalid.rukon/videos/763377401304307/?__cft__[0]=AZXdHyz19alA4mDYAEm6u3weN3jMu_wDG_Dr9HIAcPkeMSIr6i4lvmAb1P2zDkruYEBWt3mTNf7PILb2FnVk56uiI91xX3MGWZBKudBkJJyr5hvN2tSVTnQc3znUhbNpyaphH0516AiRFPW0bKkLlGQL1Yv7eusg_Hk3YZ6sZCR3hyTDSgnt9tE-K_35HvCKinkf-OHdTn6T0vMdm9BOvj6v&__tn__=%2B%3FFHH-R'],M
Discovering Johor Bahru: A Mesmerising Mersing Trip Unveiled!,[],['https://www.facebook.com/khalid.rukon/videos/732596648833952/?__cft__[0]=AZVJorIQ_2PgHNU86aG7BsTsjzFa-IvZoi2J-YXxpSuBBz9OZ7pS-8GUwIcRnOeuAupxuL7-Su8iDTlMbP-9TA3Speo_MTOMg2ZgQYpKPrnLUxhKTL4oEJaoMXoe-Y_JTTWCtoo7oCQUi8AHKOozyJdxeR1pZAS_zJDMiy3BwLt39EHZ3sPtV_VyqQwQ3Yc7-zY&__tn__=%2B%3FFH-R'],M
"৩০ তম পারা | সূরা গশিয়াহ | দুনিয়ার ব্যস্ততা সহ সব কিছুকে আচ্ছন্ন করে দিতে আসছে হতবিহবলকারী ঘটনা
আপনি যতই আনন্দে বা খুশিতে থাকেন না কেন, কারোও সামান্য কটু কথাও অনেক সময় আপনার সমস্ত খুশি নষ্ট করে দিতে পারে। আর সেজন্যই জান্নাতের অনেক নিয়ামতের মধ্যে অন্যতম একটি নিয়ামত হচ্ছে সেখানে আমাদেরকে কারো কোন কটু কথা, অনর্থক কথা শুনতে হবে না।  হাজার হোক জান্নাতবাসীরা হচ্ছেন উঁচু স্ট্যান্ডার্ডের মানুষ। তারা দুনিয়াতে থাকতেই দিনরাত অনর্থক কথা, অশান্তির কথা বলে বেড়াতেন না। জান্নাতে তো কখনই বলবেন না। এই একটি জিনিস না থাকার কারণেই জান্নাতবাসীদের শান্তি বহুগুণে বেড়ে যাবে।",[],['https://www.facebook.com/khalid.rukon/videos/1353265965367839/?__cft__[0]=AZWgU3XBkftPiaDYTMGr51pKsE4do5Um_BmofzFqG6BhP8kn576dkb1sfoSKkm9G-Inx_aV5Vo1272m88gvNJQkyz4i1uhtjhEjgkgp-2etTC3Ncw0BJ_DFkipn_rH404SzhylF_aAgdqOnEFgGbzz1rrDzBWN0u4R-_dqeWGgQ4vIunqk9OWcKDCDb_VRV96wU&__tn__=%2B%3FFH-R'],M
"Hidden gem in Seminyih, Malaysia 
Tasik Biru | Blue Lake",[],['https://www.facebook.com/khalid.rukon/videos/263750549926389/?__cft__[0]=AZWTAok2Qyy0w3eisfBFuBM5keiZ6qA5NxPL2st1muRC3_dlq8zKVCeMPtAzRcg4QFxfvdwhSVlXh-tAE3MErTfs2_u9puFMBGSnPneSbxfXaf6WDBz090kBeeIjHsxvXL7TYERwYETP-iY_MxW4BJuMXwYxY4Qjwb1Ft2rEWdUTCuHPlWqUdBb4BDZPMFlBRks&__tn__=%2B%3FFH-R'],M
"৩০ তম পারা | সূরা গশিয়াহ | দুনিয়ার ব্যস্ততা সহ সব কিছুকে আচ্ছন্ন করে দিতে আসছে হতবিহবলকারী ঘটনা
আপনি যতই আনন্দে বা খুশিতে থাকেন না কেন, কারোও সামান্য কটু কথাও অনেক সময় আপনার সমস্ত খুশি নষ্ট করে দিতে পারে। আর সেজন্যই জান্নাতের অনেক নিয়ামতের মধ্যে অন্যতম একটি নিয়ামত হচ্ছে সেখানে আমাদেরকে কারো কোন কটু কথা, অনর্থক কথা শুনতে হবে না।  হাজার হোক জান্নাতবাসীরা হচ্ছেন উঁচু স্ট্যান্ডার্ডের মানুষ। তারা দুনিয়াতে থাকতেই দিনরাত অনর্থক কথা, অশান্তির কথা বলে বেড়াতেন না। জান্নাতে তো কখনই বলবেন না। এই একটি জিনিস না থাকার কারণেই জান্নাতবাসীদের শান্তি বহুগুণে বেড়ে যাবে।",[],['https://www.facebook.com/khalid.rukon/videos/1353265965367839/?__cft__[0]=AZWgU3XBkftPiaDYTMGr51pKsE4do5Um_BmofzFqG6BhP8kn576dkb1sfoSKkm9G-Inx_aV5Vo1272m88gvNJQkyz4i1uhtjhEjgkgp-2etTC3Ncw0BJ_DFkipn_rH404SzhylF_aAgdqOnEFgGbzz1rrDzBWN0u4R-_dqeWGgQ4vIunqk9OWcKDCDb_VRV96wU&__tn__=%2B%3FFH-R'],M
