"thumb","url","text","likes","comments","shares"
,"https://www.facebook.com/chamokh/posts/pfbid02bLfZB9DBLZor2pQZNHZA1mBBdoo7ysAadP356US3PWX7BvzvbMLiZEWymwRCAafhl","ভর্তির অনুরোধ ফর্ম: https://forms.gle/JGqy85WVJaZrmnPs8
আগামী ৩০ সেপ্টেম্বর থেকে শুরু হতে যাচ্ছে বহ্নির পরিচালনায় ‘এলেবেলে পাঠশালা’, দেশের বাইরে থাকা বাচ্চাদের অনলাইনে গল্প-গানে বাংলা শেখার স্কুল। সেই স্কুল নিয়ে বহ্নি তাঁর ভাবনাগুলো ভাগ করে নিয়েছে এখানে। প্রথমে সীমিত সংখ্যক বাচ্চা নিয়ে এই আয়োজন শুরু হচ্ছে। যেসব অভিভাবক তাদের বাচ্চাদের এখানে যুক্ত করতে চান, তারা ওপরের লিঙ্ক থেকে ভর্তির অনুরোধ জানাতে পারবেন।","6528","129","97"
,"https://www.facebook.com/chamokh/posts/pfbid02a5bxeKerRDzetUWFSzodC42pr83igsfbgmUgozq55RASEDNMRTKwsXzuGdWdojxzl","খুব শিগগিরই বহ্নির একটা নতুন উদ্যোগ আসছে- এলেবেলে পাঠশালা। প্রবাসে যেসব বাংলা ভাষাভাষী মানুষ আছেন তাদের ছেলেমেয়েদেরকে অনলাইনে বাংলা শেখাতে চায় ও। বিস্তারিত পরিকল্পনা নিয়ে একটা ভিডিও তৈরি করা হচ্ছে। আগামী কয়েকদিনের ভেতর ভিডিওটা আপ করা হবে। 

বহ্নি গত কয়েকবছর ধরে এখানে একটা অনলাইন বাংলা স্কুলের সঙ্গে যুক্ত ছিল (স্যান ডিয়েগো ভিত্তিক অঙ্কুর বাংলা স্কুল)। সেখানে ওর বাংলা শেখানোর অভিজ্ঞতা ছিল খুবই চমৎকার। ও যখন ক্লাস নিত, ওর চোখে-মুখ একটা আনন্দের আভা জ্বলজ্বল করতে দেখতাম। শেষ ক্লাসে ওর আমেরিকাতে বেড়ে ওঠা ছাত্রছাত্রীরা যখন বাংলায় একে অন্যকে চিঠি লিখে সেটা আবার পড়ে শোনাচ্ছিল- তখন ওর সে কী গর্ব, সে কী আনন্দ! সেই দৃশ্য এখনও আমার চোখে লেগে আছে। সাম্প্রতিক সময়ে আর কোনো কিছুতে বহ্নিকে এতটা খুশি হতে দেখিনি! 

সেই অভিজ্ঞতা এবং অনুভূতিকে সাথে নিয়ে এখন বহ্নি চাইছে আরেকটু স্বাধীনভাবে, নিজের সুবিধাজনক সময়ে, নিজের মতো করে একটা স্কুল পরিচালনা করতে। ছোট পরিসরে অল্প কিছু ছাত্রছাত্রী নিয়ে ও শুরু করতে চায়। কারা কারা ক্লাস করতে পারবে, কতজন ক্লাস করবে, সম্মানী কেমন হবে- সেগুলো জানা যাবে বহ্নির ভিডিও এবং পরবর্তীতে ওর লেখা থেকে। এছাড়া নতুন ওয়েবসাইট এবং ফেসবুক পেজের কাজ চলছে। কাজ শেষ হলে সেগুলো থেকেও সব তথ্য পাওয়া যাবে।

এই বাংলা শেখানোর পেছনে বহ্নির ভীষণ মমতায় মাখা খুব ব্যক্তিগত কিছু ভাবনা আছে, যেখানে জড়িয়ে আছে বর্ণমালা আর পরশমণিও। সেসব শোনা যাবে ওর ভিডিও-বক্তব্যে। সাথেই থাকুন!","6317","239","44"
,"https://www.facebook.com/ashiplu/posts/pfbid0yijjE3FTXgk7c5sCwkL6e9DWQikRaaCvapotGomxedwTGoyhRAaDpXo1rT5kCAU3l","জন্মদিনের সেরা উপহার পেয়ে গেলাম। আম্মাজানেরা সুদূর ক্যালিফর্নিয়া থেকে পাঠিয়েছে।  এমন উপহার রোজ রোজ পাওয়া যায়না। পাঁচ বছর আগে একবার পেয়েছিলাম।আল্লাহ উনাদের সুস্থ রাখুন।","552","62","4"
,"https://www.facebook.com/chamokh/posts/10231642584588068","বাবার কাছে 'হাজমোলা' খেতে চায় পরশমণি। এর একটা পটভূমি আছে। 

কয়েকদিন আগে পরশমণির একটু বমি বমি ভাব হচ্ছিল। তখন বহ্নির মনে পড়ে যে বাসায় বাংলাদেশী দোকান থেকে আনা হাজমোলা আছে। ছোটবেলায় নাকি বহ্নির বমিভাব হলে হাজমোলা খেলেই ঠিক হয়ে যেত। সেই ভেবে পরশমণিকে  অল্প একটুখানি হাজমোলা (একটা ট্যাবলেটের দশ ভাগের এক ভাগ- এইরকম) খেতে দেওয়া হয়। ওতে কাজ হয়।

এরপর হাজমোলাতে মজা পেয়ে গেছে ও। এমনি এমনি খেতে চায়। বহ্নির কাছে প্রায়ই আবদার করে, সে বেশি পাত্তা দেয় না। তখন বাবার কাছে আবদার করে। আমিও চেষ্টা করি কঠিন থাকার কিন্তু এমন আদর-আদর করে বললে কতক্ষণ না করা যায়! অনুমতি পাওয়ার পর তার যে আনন্দ, সেটা দেখাটা আমার আনন্দ...","45530","822","574"
,"https://www.facebook.com/feroza.b.omar/posts/pfbid021Bp4RvBtjEA2spyH14rWSxkioCugoSeXwYXBQK1ZifJGgMuRyZkCmTnKKy42bGKJl","মাঝে মাঝেই আমাদের শুনতে হয়- ফেসবুকে দেখি তোমাদের পোস্ট/ ছবি...ভালোই তো আছো! 

Soical media আর reality এর মধ্যে যে বিস্তর তফাৎ থাকে, social mediaর ছবি/কথার মধ্যে যে বিশাল একটা অংশ  অদেখা থাকে, না-বলা থাকে... আজকাল আমরা অনেকেই ভুলে যাই! 

আজকের প্রায় ৭ বছর পর আস্ত তেলাপিয়া মাছ ভাজা করলাম... বর্ণমালা পেটে আসার আগে প্রায়ই করা হতো! এরপর অনেক হাবিজাবি কারণে করা হয় নাই... চমক খুব পছন্দ করতো! আজকে বাচ্চারা যখন dining-living রুমে তুলকালাম চালাচ্ছিল , তার মধ্যেই রান্না করা! সার্ভ করার পর আমার চমকটা খুশি হয়ে ছবি তুলে দিলো... ছবিটা সোশ্যাল মিডিয়ার আদলে তোলা ,মানে,  জীবনের সব আউলাপানাকে সরিয়ে শুধু সুন্দরটুকু টুকে রাখা....

আমি ভাবলাম, দুটা ব্যাপারই থাক ! না হলে হয়তো আমিও ভুলে যাবো, আমার সত্যিকারের জীবনটা কেমন ছিলো ! 

তো, এই হলো আমাদের আউলানো জীবনের একটুকরা আনন্দ, ভাজা আস্ত তেলাপিয়া মাছ! Social মিডিয়ায় রঙ্গ করে বলা যাবে  'Pan fried Whole Tilapia from scratch after 7 crazy years’ … 
 

যা কিছু  ভালো 
তোমাদের তরে থাকুক না হয় তোলা ...

যা কিছু মোদের থাকে এলোমেলো
তোমাদের কাছে সবটুকু থাকে ঘোলা...","4408","32","141"
,"https://www.facebook.com/feroza.b.omar/posts/pfbid02bPitTahmVWYxsH8WGjy7GTUqagdW3Hnft6zNC5mzjzjYNZX1YHHcf3oTLF6wZQfel","আমাদের উল্টাপাল্টা জীবনের উরাধুরা এক বেলা...
ঝড়ের বেগে রান্নাবান্না, সাথে গান খেলা আর বই পড়া...

আমাদের পরিপাটি সংসারে সব কিছুই ছ্যাড়াব্যাড়া 
রান্নাবান্না নকল কাজ, আসল শুধু ঘুরাফেরা","16152","35","160"
,"https://www.facebook.com/chamokh/posts/pfbid02ech3FnT2hUBUXzXr3bgz2VREHKFMtSkgdgokkShnf2ohxctaweds41puKU2WKpRml","ডলফিনের অপূর্ব নাচ, Killer Whale Orca-র বুদ্ধিদীপ্ত লাফ, Sea-Lion-এর মজার কৌতুক-অভিনয়, পানির নিচে কাচের সুড়ঙ্গ দিয়ে হাঙর মাছ দেখা- কী অসাধারণ সব ব্যাপার! San Diego SeaWorld ভ্রমণের স্মৃতি মনের ভেতর উজ্জ্বল হয়ে রইবে বহুদিন।  
বর্ণমালার বর্ণনায়, সে দিনের টুকরো টুকরো ভিডিও আর ছবি নিয়ে আমাদের এই পরিবেশনা...","2129","44","13"
,"https://www.facebook.com/chamokh/posts/pfbid037sQ2Xxqt5fr2ojVRJWyXki4StSDxCAMd6UH99fVHdeEvug96FZmew7279weFBTgZl",":: বাবার জন্মদিনে বর্ণমালার চিঠি ::
 সপ্তাহখানেক আগে ছিল আমার জন্মদিন। অনেক অনেক দিন পর আমার এবারের জন্মদিনটা বেশ ঘটনাবহুল ছিল। স্যান ডিয়েগো শহরে বেড়াতে গিয়েছিলাম ঐ সময়। ছিলাম তন্বী আপু রজতদাদের বাসায়। খুব অল্প সময়ের মাঝে ওনাদের পরিবারের সঙ্গে দারুণ সখ্যতা হয়েছে আমাদের। স্যান -ডিয়েগো শহরে আমাদের খুব কাছের কিছু বন্ধুরও বাসা। ওরাও হাজির হয়ে গিয়েছিল। অতিরিক্ত আড়ম্বর ছিল না, কিন্তু ছোট্ট সুন্দর একটা আয়োজন করেছিল সবাই মিলে। তন্বী আপু-রজতদাদের বাড়িতেই হয়েছে সবকিছু, সবচেয়ে বেশি ঝুট-ঝামেলা ওনাদেরকেই পোহাতে হয়েছে। অবশ্য ওনাদের হাসিমুখ দেখে ঝুট-ঝামেলা বোঝার কোনো উপায় ছিল না।
-
এদিকে বন্ধু নুভা খুঁজে খুঁজে আমার সবচেয়ে প্রিয় কেক (Tres Leches) এনেছে। আমার অনুরোধে বাসা থেকে রওনা হয়ে যাওয়ার পরেও আবার গাড়ি ঘুরিয়ে গিটার নিয়ে এসেছে ও আর অমি। বন্ধু রিফাত আর বন্ধুপত্নী স্বর্ণা তাদের দুই আদুরে যমজ বাচ্চা রাফাজ-সারিনকে সাথে নিয়ে চলে এসেছে। ওরা আনন্দ-মুখর করে রেখেছে চারপাশ । বন্ধু সাহিল-নিশা আর তাদের কন্যা নুহাও এসেছে।  কেক, মিষ্টি আর মজার সব খাইদাইয়ের আয়োজন করেছিল সবাই মিলে। খাইদাই পর্ব শেষে বেশ রাত পর্যন্ত গানের আড্ডা হয়েছে। বহুকাল পরে বন্ধুদের সাথে নিয়ে এমন রাত-অব্দি গানের আড্ডা হলো!  
-
অনেকদিন পর আমি ভীষণ দামী কিছু উপহার পেয়েছি। আর সেই দামী উপহারগুলো হলো বন্ধু আর প্রিয় মানুষদের হাতে লেখা চিঠি! বর্ণমালা মায়ের সাহায্য নিয়ে আমাকে বাংলাতে চিঠি লিখেছে। সেটা আবার আমাকে পড়েও শুনিয়েছে। সে কয়েকদিন আগেই বাংলা লিখতে পড়তে শিখেছে। [প্রবাসে থেকে বাংলা লিখতে -পড়তে শেখানোর দুরূহ ঘটনাটা ঘটিয়ে ফেলেছে ওর মা। মাত্র কদিন আগে শিখেছে বলে বর্ণমালা এখনও পুরো স্বচ্ছন্দ না, কিন্তু ওর আগ্রহ বা ভালোবাসার কমতি নেই।]
-
ওর মা, আমার সহমানুষ বহ্নি নিজেও অনেক মায়া নিয়ে সুন্দর একটা চিঠি লিখেছে। বন্ধু অমি তো দারুণ একটা একটা ছড়া লিখে ফেলেছে চিঠিতে। নুভাও অনেক মমতা নিয়ে লিখেছে বন্ধুত্বের গল্প। বন্ধু রিফাত, বন্ধুপত্নী স্বর্ণা, সাহিল, নিশা, তন্বী আপু, রজতদা, তাদের মেয়ে তটিনী- ওরাও চিঠি লিখেছে- আমাকে নিয়ে ওদের নানান স্মৃতি আর অনুভূতির পসরা সাজিয়ে।  তন্বী আপুর চার বছর বয়সী ছেলে শরৎ-ও অনেক রঙের কালিতে হিজিবিজি এঁকে আমাকে দিয়েছে। সেটাও আমার কাছে অমূল্য।  আমি প্রতিটা চিঠিই বেশ কয়েকবার করে পড়েছি। যারা যারা লিখেছে- সবাইকে আমার অন্তর থেকে কৃতজ্ঞতা জানাচ্ছি। আর বিশেষ ধন্যবাদ জানাচ্ছি বহ্নিকে- যে এই চিঠি-পর্বের উদ্যোক্তা ছিল। সে-ই সবাইকে অনুরোধ করে চিঠি লিখিয়েছে!
-
এছাড়া সামাজিক মাধ্যমে, মুঠোফোনে ক্ষুদেবার্তায় অনেক মানুষ শুভেচ্ছা জানিয়েছেন।  ভ্রমণে থাকার কারণে সবাইকে আলাদা করে ধন্যবাদ জানাতে পারিনি। দেরিতে হলেও সবাইকে অন্তরের অন্তস্তল থেকে ধন্যবাদ ও কৃতজ্ঞতা জানাই।","9599","170","41"
,"https://www.facebook.com/chamokh/posts/10231472388093262","শুভ জন্মদিন প্রিয় ভাই আমার। ভুলে গিয়েছিলাম 😍😍😍","1","1","0"
,"https://www.facebook.com/chamokh/posts/pfbid0326n5czLRZEmMVWz45s3QoWoqufBQYiXekwL6PE1n4L6oCsQR8ujWsLYJpNH3oExFl","পরশমণির বয়ানে চা তৈরির প্রণালী!! বহ্নি চা বানানোর সময় পরশমণি পাশে বসে থাকে, কীভাবে চা তৈরি হচ্ছে সেটা দেখার কৌতূহলে। এসময় বহ্নিও মহা আনন্দে ধারা বিবরণী দিতে থাকে। আর মায়ের থেকে বর্ণনা শুনতে শুনতে পরশমণি শিখে গেছে কোনটার পরে কী দিতে হবে 🥰","33089","694","465"
