"thumb","url","text","likes","comments","shares"
,"https://www.facebook.com/Muhammad.Solaiman/posts/pfbid0hW7RzvzoAJB3TvUUAGcPvoBWT5GJESnZRJrftG1LUrFBddkPYKdFn6bUVURVRA6gl","সব ঠিক আছে শুধু কালারটা নিয়েই কনফিউসড এখনো","25","1","0"
,"https://www.facebook.com/Muhammad.Solaiman/posts/10159792865702794","Gotta be in time 🕰️","128","3","0"
,"https://www.facebook.com/Muhammad.Solaiman/posts/pfbid0Njca9huzG7e11qrE5P1roSZ5kimhgaCeP6sXonqxVBpjjyoeaiTorrqqApatZH7Wl","Wonderful time with JCI 

Thanks Joey Hasan & JCI Dhaka Excellence","627","4","3"
,"https://www.facebook.com/Muhammad.Solaiman/posts/pfbid0uUFVfrTE3L4uPHMTkzJ8nARDtpErwnGyWTdNeRMMuuEZM6gxB4eq9XcbAQBbj2v1l","একতারায় একটু টুংটাং ,হালকা নৌকা ভ্রমণ আর একটু সিঙ্গারা আর সেলফি,মাঝখান থেকে ১০টা এয়ারবাস প্লেন বেচে দিলেন। 

সেলসম্যানশীপ","5687","113","142"
,"https://www.facebook.com/Muhammad.Solaiman/posts/pfbid0qJgGuYykV46TjhVeP54du6tWJxuCXYJMbZThs6mmqPGNHQgubr5TEy5n2C4YSbRzl","These most important soft skills, according to employers are missing greatly among many of our graduates  

-Communication, 
-Time management, 
-Problem-solving, 
-Teamwork and leadership, 
-Critical thinking, 
-Professional networking skills 
-Creativity.

Source CPD","351","4","10"
,"https://www.facebook.com/Muhammad.Solaiman/posts/pfbid0iXQsRkBKRmEKTcqRJHJngmommACESLcSJtV6DwH5J7tJXRgmcSqoXE44vv5sJC78l","স্কুল পাস না করা ছেলেটাও মাস্টার্সের শেষ বর্ষের বড় ভাইকে আর আপুকে  নিয়ে ফেসবুকে মতামত দিয়ে দিচ্ছে কিছু না বুঝেই ,জীবনে যে গান গায়নি বা গানের সারেগামার স ও বুঝে না সেও কিনা  ২০ বছর ধরে গানের জগতে কাজ করা বরেণ্য শিল্পীর কাজ নিয়ে অশালীন মতামত দিয়ে  ফেসবুকে ভিডিও আপ করে মতপ্রকাশের স্বাধীনতার  বারোটা বাজাচ্ছে ,এখনো কোনো কর্পোরেট জবেই  ঢুকে নি যে সেও ১৫ বছর ধরে ৯ টা  ৫ টা  অফিস করে জীবন তেজপাতা করে ফেলা কাউকে নিয়ে ক্যারিয়ার সামারি ভিডিও বানিয়ে ""#আমি_খুব_বুঝি ট্যাগ লাইনের স্টেটাস পোস্ট করে দিচ্ছে ,রাজনীতির ধরে কাছেও ছিলেন না যিনি আর মিছিল দেখলেই  গলির ভেতর ঢুকে #চাচা_আপন_প্রাণ_বাঁচা ডিএনএর মানুষটাও  ইচ্ছা মতো বিশেষজ্ঞ মতামত দিয়ে ব্যক্তিগত আক্রমণে ভরা লিখা ভাইরাল করে দিচ্ছেন ওয়ালে ওয়ালে।

পরিবার থেকে বছরের পর বছর দূরে থেকে মরুভূমির নির্মম রোদ মাথায় নিয়ে কাজ করতে কতটা কষ্ট হয় সেটা না বুঝেই অনেকে প্রবাসীদের নিয়ে কটুক্তি করে ফেলছেন শুধুমাত্র এয়ারপোর্টে তাদের একটু শোরগোল দেখে।সবাই নিজেকে বিজ্ঞ প্রমানের চেষ্টায় কয়েক টাকার  ডাটা কিনে ফেসবুকে হাতি ঘোড়া মেরে ফেলছেন। নিজের গাড়িটা উল্টা পথে এনে হরদম রাস্তা আটকে দেয়া মানুষটাও সুযোগ পেলেই ঘর্মাক্ত ট্রাফিক পুলিশ শুধু টাকা খায় নামের ট্রল শেয়ার করে দিচ্ছেন বীরের মতো। 

নিজে উচ্চ শিক্ষার সর্বোচ্চ শিখরে পৌঁছেও যিনি একবারের জন্যেও ঢাকার বাইরের কোনো জেলা, উপজেলায় বা গ্রামের ছেলেমেয়েদের সাথে অভিজ্ঞতা শেয়ার করার চেষ্টা করেননি তিনিও কড়া  ইংরেজিতে দেশ থেকে কয়েক হাজার মাইল  দূরে বসে #সব_শেষ_হয়ে_গেলোরে টাইপের বাণী দিয়ে যাচ্ছেন,যোগ্যতা নিয়ে প্রশ্ন তুলে অনেক লাইক আশা করছেন। ঢাকার ৩০ % রিক্সাওয়ালা জন্ডিসে আক্রন্ত হয়েও দিনরাত কিভাবে মানুষ হয়েও মানুষকে টেনে নিয়ে যাচ্ছেন সেটা না বুঝেই আমরা #তুই_একটা_রিক্সাওয়ালা নামের মিম শেয়ার করে খুব মজা নিচ্ছেন। জোস্  হয়েছে দোস্ত বলে আবার অনেকে সেখানে কমেন্টও  করছে অট্টহাসির ইমোজি দিয়ে। #সবাই_আলেসান্দ্রো_ডেল_পণ্ডিতো 

অপমান সংস্কৃতি একটা বিষাক্ত মাদকের মত। খুব সহজ আর নোংরা ধরনের আনন্দদায়ক। বয়সে আর অভিজ্ঞতায় বড় কাউকে নিয়ে, কোন বিষয়ে নিয়ে মতামত দিতেও একটা যোগ্যতা লাগে ,যোগ্যতা ছাড়া মত প্রকাশ হলো  মত প্রকাশের স্বাধীনতার সরাসরি অপব্যবহার। 

সবাই রাষ্ট্রপতি না যে সব বিষয়ে মতামত থাকতেই হবে বা দিতেই হবে। 

বয়স হতে দাও , অভিজ্ঞতা আসতে  দাও জীবনে , অপমান নয় উৎসাহ হউক আমাদের সামাজিক যোগাযোগ মাধ্যম  ব্যবহারের প্রথম উদ্দেশ্য :)","1729","24","91"
,"https://www.facebook.com/Muhammad.Solaiman/posts/pfbid02Ppr1Kq1LMeHidTrnBhkLQdrxa5BwiE7DZVizEGb87gRhMaGwV3xesLANncejRF53l","Thank you Bangladesh Army for PROYASH","721","5","3"
,"https://www.facebook.com/Muhammad.Solaiman/posts/pfbid02EuQdbb59jwrmnUh3UZChe5oZF9mpDJ5iCtSkwDdvkHMgF9EXeAszs6ohAncNLRPEl","দেশের প্রায় ১৭% মানুষ কোনো না কোনো মানসিক ব্যাধিতে ভুগছেন আর প্রতি একলাখ মানুষের জন্যে মানসিক স্বাস্থ্য কর্মীর সংখ্যা মাত্র ১.১৭ জন । 

Source TBS","1844","11","30"
,"https://www.facebook.com/Muhammad.Solaiman/posts/pfbid06pa47zXwXGyPo1iEn27NJ7PKTFyWG3DsW8TB4TGX3TU6XTQoVu15cuqHkhRnheSfl","যার বাক্স যত ছোট ""আউট অফ দি বাক্স"" চিন্তা করাও তার জন্যে ততটাই কঠিন। 

আমাদের এই বাক্স বা বৃত্তটাকে আমরাই ধীরে ধীরে ছোট করে ফেলি। ৫ /৬ বছর পর্যন্ত আমরা শুধুই মানুষ থাকি, তারপর থেকে বলা শুরু হয়ে যায় আমরা ছেলে অথবা মেয়ে ,তারপর স্কুল থেকে নতুন বৃত্তায়ন ,বাংলা মিডিয়াম নয় ইংরেজি নয় আরবি মিডিয়াম ,তারপর একটা সময় বৃত্তের ব্যসার্ধ আরকটু কমে হয়ে যায় সাইন্স কিংবা আর্টস কিংবা কমার্স।

এরপর হয় পাবলিক নতুবা প্রাইভেট ইউনিভার্সিটি ,তারপর আমরা নিজেদের জন্যে আরো ছোট ছোট বাক্স এর সুব্যবস্থা করি ,নিজেকে তখন শুধু একজন ডাক্তার বা প্রকৌশলী কিংবা আইনজীবী হিসেবে ভাবি এবং পৃথিবীটাকেও সেভাবেই দেখি। 

বড় হতে হতে আমাদের বাক্সটা আমাদের বৃত্তটা শুধু আয়তনে কমতেই থাকে।তখন আমরা আর শুধু মানুষ না  থেকে শুধুমাত্র পেশাজীবী হয়ে যাই। নিজে যে পেশায় থাকি দিনরাত শুধু সেটার ভালো মন্দ ছাড়া আর কিছু ভাবতে পারি না বা চাইও না। বনানী থাকলে ভাবি শুধু মাত্র বনানী বাসীর মত আর নিলফামারী থাকলে শুধু সেখানকার সুবিধাটাই আগে ভাবতে ভালো লাগে  ....

....এজন্যেই জ্যাম এ  বসে রিকশাযাত্রী ভাবতে থাকে সব দোষ ওই প্রাইভেটকার মালিকদের আর গাড়ির যাত্রীরা অবহেলার দৃষ্টি দিয়ে আয়েশ করে ঘাড় বাকিয়ে ভাবে  এই পৃথিবীতে রিকশা হলো একদম অপ্রয়োজনীয় একটা বাহন, এভাবেই বাক্স বন্ধি হয়ে যায় আমাদের আপাত বুদ্ধিমান মস্তিস্ক।এজন্যেই ইউরোপ ভাবে আফ্রিকা বর্বর ,আফ্রিকা ভাবে ইউরোপ চতুর ,আমেরিকা ভাবে পৃথিবীতে শুধু একটাই মহাদেশ আছে.. নর্থ আমেরিকা। 

আর আমরাও নিজের ক্ষুদ্রাতি ক্ষুদ্র বৃত্তটাকেই ভাবি মহাকাশের মত বিশাল। এজন্যেই পাশের বৃত্তের কারো সুখ ,দুঃখ, ক্ষোভ আমাদের স্পর্শ করে না। 

নিজের গন্ডির বাইরে যেতে না পারাটা একজন মানুষের জীবনের একটা নির্মম ব্যর্থতা। 

জীবনের শেষ দিনগুলোতে অনেকেই আফসোস করে বৃত্ত আকা ঠিক মত শেখেনি বলে। 

তাই আমি জ্যমিতি ভালবাসার চেষ্টা করছি ,একটা বিশাল বৃত্ত আকতে চাই ,একটা অনেক বড় বাক্স এ থাকতে চাই , যেটার উপরে শুধু একটা শব্দই  লিখা থাকবে....

 ""মানুষ ""","406","6","14"
,"https://www.facebook.com/Muhammad.Solaiman/posts/pfbid0LJd8x4Ywjp6MXob2TL4ntM7VUAwWxwbjgYYSmAJVHdNasfDH3NopQYsDGgv7qfQml","Looking forward to Learn or Unlearn JCI Dhaka Excellence","101","1","0"
