text,images,videos,gender
My Valentine ,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427899108_7595169500494601_29896675575296742_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=3635dc&_nc_ohc=6rBS0q2MXEsAX_QQyZb&_nc_ht=scontent-ord5-1.xx&oh=00_AfAD6Sz_rX3ZnnFMnCczf3Sc1k-jA8LWLS2Zr2joEmhiCw&oe=65D7430D'],[],M
শুভ ৫ম বিবাহবার্ষিকী নেপথ্য নিবর্তক এর আব্বু-আম্মু।,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/409168870_7324985637512990_5610240846119319807_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=3635dc&_nc_ohc=YQ0XeaVFzx4AX_ml06v&_nc_ht=scontent-ord5-1.xx&oh=00_AfDNAdIJP8PYJFbBJ5Ua3abEJmcFkot2q81e5V9hCJeczw&oe=65D77C48'],[],M
রোশনীকে দেখবেন ১:৩৫ মিনিটে আর আমাকে দেখবেন ৪:৫০ মিনিটে।,[],['https://www.facebook.com/dailyjanakanthabd/videos/843639233908353/?__cft__[0]=AZUhD6sKxP6hjMvtGmYBSObV6nX1e12K4hDMUnacjbzhxeu3_yalHaInWYIKf4T3Be4LVvT-Pug301CHTz0ybFsdxIHw3vfoswTmI7-6XI8sN9Svo5cJWoOEQyFRSgmB8iF9xydNi7qTYEBSksOGEX-m3oYrHUj5MZa11nasC__lVgcuG6ZnMAeyRhbUtBGM8vKqqfcd8tjpJtA6Jyu-5MuJ&__tn__=%2B%3FFH-y-R'],M
শুভ জন্মদিন বার্থডে গার্ল। নেপথ্য নিবর্তক এবং আমার পক্ষ থেকে তোমার জন্মদিনে জানাই অসীম ভালোবাসা। তোমার প্রতিটি দিন হোক সুন্দর এবং আনন্দময়।,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/377709260_6984315364913354_8699017086011347357_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=wucwTM6mDfgAX__40Ob&_nc_ht=scontent-ord5-2.xx&oh=00_AfAMzOnsAyLArdZ8cgf7S1rAUuf3PcJsOfwE784QoSw5Xg&oe=65D80B6B'],[],M
শুভ ৫ম বিবাহবার্ষিকী নেপথ্য নিবর্তক এর আব্বু-আম্মু।,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/409168870_7324985637512990_5610240846119319807_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=3635dc&_nc_ohc=YQ0XeaVFzx4AX_ml06v&_nc_ht=scontent-ord5-1.xx&oh=00_AfDNAdIJP8PYJFbBJ5Ua3abEJmcFkot2q81e5V9hCJeczw&oe=65D77C48'],[],M
রোশনীকে দেখবেন ১:৩৫ মিনিটে আর আমাকে দেখবেন ৪:৫০ মিনিটে।,[],['https://www.facebook.com/dailyjanakanthabd/videos/843639233908353/?__cft__[0]=AZUhD6sKxP6hjMvtGmYBSObV6nX1e12K4hDMUnacjbzhxeu3_yalHaInWYIKf4T3Be4LVvT-Pug301CHTz0ybFsdxIHw3vfoswTmI7-6XI8sN9Svo5cJWoOEQyFRSgmB8iF9xydNi7qTYEBSksOGEX-m3oYrHUj5MZa11nasC__lVgcuG6ZnMAeyRhbUtBGM8vKqqfcd8tjpJtA6Jyu-5MuJ&__tn__=%2B%3FFH-y-R'],M
শুভ জন্মদিন বার্থডে গার্ল। নেপথ্য নিবর্তক এবং আমার পক্ষ থেকে তোমার জন্মদিনে জানাই অসীম ভালোবাসা। তোমার প্রতিটি দিন হোক সুন্দর এবং আনন্দময়।,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/377709260_6984315364913354_8699017086011347357_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=wucwTM6mDfgAX__40Ob&_nc_ht=scontent-ord5-2.xx&oh=00_AfAMzOnsAyLArdZ8cgf7S1rAUuf3PcJsOfwE784QoSw5Xg&oe=65D80B6B'],[],M
"আলহামদুলিল্লাহ। অবশেষে গ্রিনলাইন।
এতোদিন চারপাশের ওয়ানপ্লাস ব্যবহারকারীদের সুন্দর স্নিগ্ধ গ্রিন লাইন দেখে মনটাই খারাপ হয়ে যেতো। ভাবতাম, ইশ! আমার ফোনে যদি ওরকম একটা গ্রিনলাইন থাকতো! কতোইনা ভালো লাগতো।
অবশেষে আমার দোয়া কবুল হয়েছে।",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/376619436_6975100905834800_7090259694873742718_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=111&ccb=1-7&_nc_sid=3635dc&_nc_ohc=3HJ_xoFKtRUAX_j5wpr&_nc_ht=scontent-ord5-1.xx&oh=00_AfDP8upIxk50PB7SL_XdHrSKqGnJehorp9BNa_tOmiAOJw&oe=65D83713'],[],M
শুভ জন্মদিন বার্থডে গার্ল। নেপথ্য নিবর্তক এবং আমার পক্ষ থেকে তোমার জন্মদিনে জানাই অসীম ভালোবাসা। তোমার প্রতিটি দিন হোক সুন্দর এবং আনন্দময়।,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/377709260_6984315364913354_8699017086011347357_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=wucwTM6mDfgAX__40Ob&_nc_ht=scontent-ord5-2.xx&oh=00_AfAMzOnsAyLArdZ8cgf7S1rAUuf3PcJsOfwE784QoSw5Xg&oe=65D80B6B'],[],M
"আলহামদুলিল্লাহ। অবশেষে গ্রিনলাইন।
এতোদিন চারপাশের ওয়ানপ্লাস ব্যবহারকারীদের সুন্দর স্নিগ্ধ গ্রিন লাইন দেখে মনটাই খারাপ হয়ে যেতো। ভাবতাম, ইশ! আমার ফোনে যদি ওরকম একটা গ্রিনলাইন থাকতো! কতোইনা ভালো লাগতো।
অবশেষে আমার দোয়া কবুল হয়েছে।",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/376619436_6975100905834800_7090259694873742718_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=111&ccb=1-7&_nc_sid=3635dc&_nc_ohc=3HJ_xoFKtRUAX_j5wpr&_nc_ht=scontent-ord5-1.xx&oh=00_AfDP8upIxk50PB7SL_XdHrSKqGnJehorp9BNa_tOmiAOJw&oe=65D83713'],[],M
