text,images,videos,gender
"Congratulations Junior Tigers 
,,,,,",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/409872596_6911274955593992_5337926922997383588_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=81_LmTqp2AUAX_goPsB&_nc_ht=scontent-ord5-1.xx&oh=00_AfDgPBQTLRFl0mLAV7oFQBSHXP9seVQ6ToJZwkrEM9bVYg&oe=65F36C18'],[],M
"সব হলুদ জার্সিই অস্ট্রেলিয়া হয়না,
                 আর
সব নীল জার্সিই  আর্জেন্টিনা হয়না।।
       বোঝেন নাই ব্যাপার টা",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/404695216_6819257628129059_4496686564838282218_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=EjvOYWhByesAX-8d27R&_nc_ht=scontent-ord5-1.xx&oh=00_AfCV6do6sUyUkhApm5Ym-utBzfFao5taHCthOKavdgt1FQ&oe=65F3D746'],[],M
"বাবা আর আমি ট্রেন 
 দেখি,,,,,","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/402633026_6787739067947582_6634281516936621386_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=7kXvTabK3REAX8D703I&_nc_ht=scontent-ord5-2.xx&oh=00_AfADCN_AfQ2XL9yjqRLulHokNcX8mUZiaQIoooG_Hr1XBg&oe=65F4B4C7', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/401424963_6787739304614225_2585515226107752732_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=PJz84Qi7O4oAX_lEhta&_nc_ht=scontent-ord5-2.xx&oh=00_AfBvmI1FelcQmffE9I2x2-rgQhYrIojaq4UVbUMssa1m9Q&oe=65F48A02', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/401016368_6787739491280873_7932946498664086432_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=nv2NZVK0LYYAX_lslLn&_nc_ht=scontent-ord5-2.xx&oh=00_AfCkO37gjGYRb6ehTlW63d7bpdKx1NfGJaUPwlZ3_txCnw&oe=65F4C22B', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/400051026_6787738524614303_1306301348650525967_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=6AxnbV46RWEAX8ccbwB&_nc_ht=scontent-ord5-1.xx&oh=00_AfC5wOtCCdSQ2pBmGR5yhKvm2dTnBaQ-sRAdWRUSMQiIww&oe=65F37A87', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/401471295_6787739747947514_3869416164117239759_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=yw51iJhnmWAAX9dg5Ta&_nc_ht=scontent-ord5-2.xx&oh=00_AfB5sT3q_mfcvXG-mDn53MlbUE0DYRr2Zce4WQCOHshl0A&oe=65F3B1C6']",[],M
"Masjid-e-kiblatain""
(Two kiblah mosque )
Second picture is our present Kiblah and Third picture is our old Kiblah.
This is the masjid in madina where our kiblah was changed in either zohar or asar namaz when rasool allah (pbuh) prayed to ALLAH to change our kiblah from masjid-e-aqsa as it was the jews kibllah also, so ALLAH sent the wahi through jibrael  a.s and made our kibblah as kabbah mukkarrama and after that the remaining two rakats were prayed in the direction of kabb… See more","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/399866420_6776573862397436_3401358699158003130_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=X81su4lBVgsAX9mMFhO&_nc_ht=scontent-ord5-2.xx&oh=00_AfCfYjhsvRbu0qxf4wqVgTI6i8BOKzGpCiPoB_2N4GjJiQ&oe=65F34034', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/401009897_6776574905730665_7751993513299369891_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=E0KK-pSiTPYAX8xtg2M&_nc_ht=scontent-ord5-2.xx&oh=00_AfDuJqx3aWgeUjEvqWnTknesPxmdWvEsmCobgDXg4PqxWQ&oe=65F39E8F', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/400099779_6776574072397415_8545148040892279822_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=wyhwdvH3IxsAX8Z8vis&_nc_ht=scontent-ord5-2.xx&oh=00_AfAocD_zWb3oJaTwUaza9i2ddY6FtzGd9icOgZ2GSxebew&oe=65F3F2BF', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/400996469_6776575319063957_7581447598565096039_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=zj6mZmqKriAAX8a8WS8&_nc_ht=scontent-ord5-2.xx&oh=00_AfCaSD7YfWVn1b_hmFGLYHUlSpiKmixaw9vmjknZzqUWNw&oe=65F4CD1F', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/401031723_6776575515730604_2746135335704721439_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=HXOBm_tK_9MAX9dBsn0&_nc_ht=scontent-ord5-1.xx&oh=00_AfAb3WgmeOG9rw-xgIJNjZev2QWlvCJy9IGI2UZsa1pR2Q&oe=65F49909']",[],M
,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/398660446_6751566428231513_8154476410739710435_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=op3S7KvP_-wAX9ji78K&_nc_ht=scontent-ord5-1.xx&oh=00_AfA6xWY53QYAE_9D2mrGbIJ1VI2TUBCO8p7nV3z8DZRimQ&oe=65F42195', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/398672862_6751567531564736_8618593284417678248_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=AOMHByZdV90AX-m6mzc&_nc_ht=scontent-ord5-1.xx&oh=00_AfDuGHWMmZOMV32i8YftdmUw3VqGNy8t6KBqmVPVcsm8Yg&oe=65F32D0D', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/398650607_6751568091564680_2403393957120569232_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Xq2ZFtvl7IMAX-As3BK&_nc_ht=scontent-ord5-2.xx&oh=00_AfBto4gJOUNb0mumjYoKsmMjY2Z9Vbp3W7LMfEaKh5JNkQ&oe=65F3673C', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/398738619_6751568678231288_6912961051774175914_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=CMH7nQj5SMgAX9jpKix&_nc_ht=scontent-ord5-2.xx&oh=00_AfBW_TOIgZukYeYtKB16Ds8ayDT5WgIMr9N4EiXCweJEHw&oe=65F481AE', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/398697648_6751575464897276_41689735177035717_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=zH7c11rLh8MAX-SxgAe&_nc_ht=scontent-ord5-1.xx&oh=00_AfC6LBZFAldc7cW7hYItqLNVzgzEpNGIDGwzM3G_a3hbMA&oe=65F3FEA7']",[],M
,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/391676963_6673638062691017_1309869755593877223_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lwqz-NZELm0AX85YeJ8&_nc_ht=scontent-ord5-1.xx&oh=00_AfA-Jck31oi-gZr0LQdLBBIiMucOV_TFsthMKhgDQtAC5g&oe=65F42286', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/391682709_6673638219357668_1733698270505349465_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hFGL0Dsn_NAAX_XHn5R&_nc_ht=scontent-ord5-2.xx&oh=00_AfA_iXdO3Bb7yrCT0WDNhZGWjCh0vLOSiIx3QBhdT7kMfg&oe=65F41239', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/391713762_6673638422690981_9123072713220717566_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=cyMWtuIB_ToAX_mm9mj&_nc_ht=scontent-ord5-1.xx&oh=00_AfDnt3kH4lbHTZamdzNowd_-hFdR-hCpEzu1Ekoqw4eXnQ&oe=65F48043']",[],M
"Night view of 
#Ruppur_Nuclear_Power_Plant","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/391686332_6672496506138506_8486449095387002955_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lE_2LxP90ZMAX-PEW9v&_nc_ht=scontent-ord5-2.xx&oh=00_AfChc3ghc8yv-HJ3GLgciMUD5PrzE2mMe3a8jNVXTFt_Ng&oe=65F4092B', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/391688188_6672496642805159_1187710662842653112_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=WLQeZgs7YdAAX-bAlOV&_nc_ht=scontent-ord5-1.xx&oh=00_AfDhtBRYPx2BtfWbwSwjvSBHBd3LMNoEMiNuxkVzNuzdvw&oe=65F3B377', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/391703447_6672496739471816_897080921707120963_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=nI7gpxMxCDAAX9asX2b&_nc_ht=scontent-ord5-2.xx&oh=00_AfDeSCe9zYzw-tQh5aBWzjgr6eFCm349iRajZ9WsTj34Pg&oe=65F4DFE1']",[],M
"Incepta pau family 
QA Department. 
Shammi Binte Bashar 
Biplob Hossen 
Md. Faridul Islam Polash",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/350343389_914378052961014_4222152558479746429_n.jpg?stp=dst-jpg_p526x296&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=FgirdLB5jsUAX9xBMG6&_nc_ht=scontent-ord5-1.xx&oh=00_AfBplcBg5YxTzOicDc8B9h-20yfaYt_fkuPC-64Onf3NQg&oe=65F4949A'],[],M
"আজ ""বিশ্ব মা দিবস""
শুধু 'মা দিবস' এ নয়, 
মায়ের প্রতি শ্রদ্ধা ও ভালোবাসা জ্ঞাপনের দিন হোক- প্রতিদিন।
  সকল মায়ের প্রতি রইল বিনম্র শ্রদ্ধা ",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/346499952_243378888365909_4010835313224945998_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=6WD7xd-XVg0AX-XKc0g&_nc_oc=AQmEHNFhhM2hfaPnaQvtukiRKRexv6kC5ucVxCXkTmtiolWa78wS33Xwnkh2yLGFYu8&_nc_ht=scontent-ord5-2.xx&oh=00_AfDFRq2S7nDqZJLfGuuDphea8WD-jQh2qgdHKb-9rbMYOg&oe=65F437A3'],[],M
‘দুনিয়ার সবচেয়ে গুরুত্বপূর্ণ ব্যাপার হচ্ছে পরিবার’,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/346809175_160665806956507_3291567739108808819_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=wx7Ast3HZAkAX8BrPjO&_nc_ht=scontent-ord5-2.xx&oh=00_AfAmFvh_JBY2nokzEEsnNdoZ2kWlxs5FMlyfUVz43cG13A&oe=65F4C445'],[],M
