text,images,videos,gender
"Yesterdaay's sunset in Sweet Home Alabama! শেষ বিকেলের আলো, মোক্ষম জায়গাতে থাকা মেঘ, আর বাতাসের স্রোত — সব মিলে অপূর্ব।",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428452699_10161345745213670_6226097899356647290_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=109&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=nbnfd_WZHAEAX9SrxFV&_nc_ht=scontent-ord5-1.xx&oh=00_AfDFckT3jy8r6xEdEgNyaoMdXecL--P6xIIe5N9X7x5ImQ&oe=65D96CE7'],[],M
"~ আমেরিকায় উচ্চশিক্ষা - স্টেটমেন্ট অফ পারপাস কীভাবে লিখবেন?~ 
স্টেটমেন্ট অফ পারপাস — এ এমন এক রচনা, যার উপরে উচ্চতর পর্যায়ে ভর্তির অনেক কিছুই নির্ভর করছে। মার্কিন বিশ্ববিদ্যালয়গুলোর নিয়ম হলো, মাস্টার্স বা পিএইচডি পর্যায়ে পড়ার আবেদন করার সময়ে নিজের উপরে একটা রচনা লিখতে হয়। এতে বলতে হয় নিজের সম্পর্কে, কেন এই বিশ্ববিদ্যালয়ে বা এই বিষয়ে পড়তে আগ্রহী, এসব কিছু। 
সমস্যা হলো, স্কুল কলেজ থেকেই আমরা ""নতুন বাংলা রচনা"" ধাঁচের লেখা মুখস্ত করে চলি, কাজেই নিজে থেকে রচনা লেখার অভ্যাসটা অনেকেরই থাকে না। কিন্তু ভর্তির আবেদনের এই স্টেটমেন্টটা অবশ্যই লিখতে হবে নিজেকে, একেবারে প্রথম থেকে শেষ পর্যন্ত। তাই এখানে তুলে ধরছি এই গুরুত্বপূর্ণ রচনাটি লেখার জন্য কিছু পরামর্শ। 
** করবেন না কপিপেস্ট 
বহুকাল আগে যখন ভর্তিযুদ্ধ নিয়ে ব্যস্ত ছিলাম, তখন দেখতাম, বুয়েটে আমার সহপাঠী কিংবা সিনিয়র ভাইদের কম্পিউটারে বিভিন্ন ততোধিক সিনিয়র ভাইদের স্টেটমেন্টের কপি (""চোথা"") থাকতো। সময় বাঁচাতে অনেকেই আরেকজনের স্টেটমেন্ট এদিক সেদিক করে চালিয়ে দিতো। কিন্তু মার্কিন বিশ্ববিদ্যালয়ের ভর্তির লোকজন এতো বোকা নয় মোটেও। বছরের পর বছর ধরে একই লেখা দেখতে দেখতে তারাও বিরক্ত, কাজেই এরকম রিসাইকেল করা লেখা পেলে সেটার ফল কী হয়, বলাই বাহুল্য। 
কাজেই স্টেটমেন্ট লেখার জন্য প্রথম পরামর্শ হলো, অন্য কারো নমুনাকে এদিক সেদিক করে চালাবার কাজটা কখনোই করবেন না। নিজে লিখুন। 
** বিরত থাকুন GRE-বিদ্যা জাহির করা থেকে 
স্টেটমেন্ট লেখার সময় আরেকটা ভুল হলো, বিশাল বড় বড় সব বাক্য, আর জিআরইতে সদ্য শেখা জটিল সব শব্দের ব্যবহার। একটা ধাক্কা যুক্তরাষ্ট্রে এসে সবাই খায়, তা হলো, আমাদের দেশে শেখা ""ভালো ইংরেজি"" এখানে অনেকটা অচল। আমরা বিশাল বিশাল, একাধিক বাক্যাংশের যে রীতিতে বাক্য লিখতে শিখি, মার্কিনীরা তা মোটেও পছন্দ করে না। কাজেই এক বাক্য এক লাইনের বেশি গেলেই ওদের পড়তে/বুঝতে সমস্যা হয়, খেই রাখতে পারে না। কাজেই বাক্য যথাসম্ভব সংক্ষিপ্ত রাখতে হবে, আর একাধিক বাক্যাংশের জটিল বাক্যগঠনের অভ্যাস বাদ দিতে হবে। শব্দ চয়নের ক্ষেত্রেও তাই। জিআরই-এর জন্য যেসব শব্দ শেখা হয়, ওগুলো বাস্তব জীবনে কেউ ব্যবহার করে কি না সন্দেহ, তাই নিজের বাহাদুরি দেখাতে গিয়ে ওসব শব্দ ব্যবহার করলে পাঠক চরম বিরক্ত হবে নিঃসন্দেহে। 
** তাহলে কী লিখবেন? 
স্টেটমেন্টে তাই লিখুন নিজের কথা। কেন পড়তে আগ্রহী হলেন আপনার বিষয়টি। বিশ্ববিদ্যালয়ে পড়ার সময়ে কোন কোর্স কেন ভালো লাগলো, কীরকম কাজ করেছেন তা গল্পের ভাষায় (সিভিতে কোর্সের বিশাল বৃত্তান্ত আছেই, কাজেই এখানে গল্পাকারে লিখতে হবে)। কেন উচ্চতর শিক্ষা চান (চাপা না মেরে লিখুন), কেন বেছে নিলেন এই বিশ্ববিদ্যালয়। আসলে, এটা লেখার সময়ে ধরে নিন, আপনার সামনে বসে আছে ভর্তি কমিটি, তাদের পটিয়ে ভর্তি হতে হবে, কাজেই নিজেকে যথাযোগ্য প্রার্থী হিসেবে উপস্থাপনের চেষ্টা করতে মাত্র ৫ মিনিট কথা বলার সুযোগ পাবেন। সেই সময়ে কী বলবেন, তাই লিখতে হবে আপনার স্টেটমেন্টে। 
*** লিখুন সময় নিয়ে 
স্টেটমেন্টটা কিন্তু হুট করে লিখে ফেলার কিছু না। এটা লেখার জন্য ২/৩ সপ্তাহ সময় নিন। একবার লিখুন, তার পর কয়েকদিন পরে পড়ে দেখুন পাঠকের দৃষ্টিতে, কী লিখেছেন। দরকার হলে বন্ধু বা সিনিয়র কাউকে দেখান। যারা ইতিমধ্যেই উচ্চতর পর্যায়ে আছেন, তাদের বলুন একটু দেখে দিতে। বানান শুদ্ধ রাখুন। বানান বা ব্যকরণ ভুল হলে কিন্তু সুন্দর করে লেখা একটি স্টেটমেন্টও কাজ দেবে না। স্পেল চেকারের উপরে ভরসা করবেন না, স্টেটমেন্ট লিখে প্রিন্ট করে তার পর কাগজটা লাইন বাই লাইন পড়ে দেখুন ঠিক আছে কি না। 
*** ফরম্যাটিং 
আর স্টেটমেন্ট দেখতে কেমন, তাও কিন্তু অনেক ক্ষেত্রে গুরুত্বপূর্ণ। ফন্ট খুব বেশি ছোট ব্যবহার করবেন না। ১১ বা ১২ হলে ভালো। অনেক প্রফেসরের বয়সই কিন্তু ৪০ এর উপরে, আর চশমার কারণে তারা ১০ ফন্টের লেখা পড়তে পারেন না বা অনেক কষ্ট করে পড়েন। টেক্সট লেফট জাস্টিফাইড, আর স্পেসিং সিঙ্গল বা ১.৫ স্পেসিং দিলে ভালো। ৫/৬ প্যারার বেশি না লেখাই ভালো। সব মিলিয়ে দেড়পৃষ্ঠার মধ্যে শেষ করা উচিৎ। এর বেশি আসলে কেউ পড়ার ধৈর্য্য রাখতে পারেনা। 
স্টেটমেন্ট অফ পারপাস ভর্তির একটি গুরুতপূর্ণ নিয়ামক। কাজেই সময় নিয়ে, চিন্তা ভাবনা করে, তবেই লিখুন। 
(লেখাটি আমার আমেরিকায় উচ্চশিক্ষা বই থেকে নেয়া। বইটির পেইজে এর অনেক লেখা দেয়া আছে) 
#আমেরিকায়উচ্চশিক্ষা",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428421165_10161345265948670_601116166947775779_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=3635dc&_nc_ohc=jpXk1k4Ec_0AX_uAxN4&_nc_ht=scontent-ord5-2.xx&oh=00_AfAPJgW3O3FtJbO6yPJcZtW4K1xSZ22AMDGkxRXidOJymQ&oe=65D83D89'],[],M
"গবেষণা, উচ্চশিক্ষা, কিংবা শিশু কিশোরদের জন্য বিজ্ঞানের উপরে লেখা আমার ৮টি বই পাওয়া যাবে একুশে বইমেলায় আদর্শের ১৩৫-১৩৮ নং স্টলে। 
Adarsha",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/427745826_10161344486038670_3112682427561395013_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=QlFawaMjUV8AX8Wgv9y&_nc_ht=scontent-ord5-2.xx&oh=00_AfBhupDYOYmjqCMyH53d3lC9an6OyvPsabcYRH_rTGPtQw&oe=65D949C6'],[],M
"~গবেষণাপত্র বা রিসার্চ পেপার লিখবেন কীভাবে?~ 
নবীন গবেষক ও শিক্ষার্থীদের জন্য গবেষণার একটি ভীতিকর অংশ হলো গবেষণালব্ধ ফলাফলকে গবেষণাপত্র বা রিসার্চ পেপার আকারে লিখা। আমার পিএইচডি বা মাস্টার্স ছাত্রদের হাতে ধরে ধরে সেটা শিখাই। এই পোস্টে কীভাবে রিসার্চ পেপার লিখা শুরু করতে হবে, তাই নিয়ে সংক্ষিপ্ত আকারে লিখছি।
রিসার্চ পেপারের মূল উদ্দেশ্য হলো গবেষণায় কী পেয়েছেন, সেটাই সংক্ষিপ্ত আকারে জানানো। খেয়াল রাখবেন, আপনি হয়তো বছর খানেক কাজ করেছেন, তাই সবকিছুর খুঁটিনাটি জানেন ঠোটস্থ ভাবে… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428190655_10161342936508670_6677347368226159799_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=3635dc&_nc_ohc=9Sm4-VBUOQ0AX-oLGUq&_nc_ht=scontent-ord5-2.xx&oh=00_AfAgPnTnrq3So6WfyKzGduOtdPhNsQRhKuvcp-0T7BZjUQ&oe=65D8725C'],[],M
"বন্ধু Golam Kawsar আর সুপারকপ Mashroof Hossain — এই দুই প্রিয় মানুষ আমার দুটি বইয়ের সাথে যখন বইফি তুলে পাঠায়, পৃথিবীর অপর প্রান্তে থেকেও মনটা ভরে যায় আনন্দে!
বইমেলা্য় Adarsha এর স্টল থেকে!",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428397014_10161342230143670_4299315891749622826_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=lWVgGlxLbsIAX_sEFDz&_nc_ht=scontent-ord5-2.xx&oh=00_AfC4fOrwnZAaGPFGFMzt6P_eTwdglNRxFmyYg0_uuimTcw&oe=65D83FFC'],[],M
"~ আমেরিকায় উচ্চশিক্ষা - স্টেটমেন্ট অফ পারপাস কীভাবে লিখবেন?~ 
স্টেটমেন্ট অফ পারপাস — এ এমন এক রচনা, যার উপরে উচ্চতর পর্যায়ে ভর্তির অনেক কিছুই নির্ভর করছে। মার্কিন বিশ্ববিদ্যালয়গুলোর নিয়ম হলো, মাস্টার্স বা পিএইচডি পর্যায়ে পড়ার আবেদন করার সময়ে নিজের উপরে একটা রচনা লিখতে হয়। এতে বলতে হয় নিজের সম্পর্কে, কেন এই বিশ্ববিদ্যালয়ে বা এই বিষয়ে পড়তে আগ্রহী, এসব কিছু। 
সমস্যা হলো, স্কুল কলেজ থেকেই আমরা ""নতুন বাংলা রচনা"" ধাঁচের লেখা মুখস্ত করে চলি, কাজেই নিজে থেকে রচনা লেখার অভ্যাসটা অনেকেরই থাকে না। কিন্তু ভর্তির আবেদনের এই স্টেটমেন্টটা অবশ্যই লিখতে হবে নিজেকে, একেবারে প্রথম থেকে শেষ পর্যন্ত। তাই এখানে তুলে ধরছি এই গুরুত্বপূর্ণ রচনাটি লেখার জন্য কিছু পরামর্শ। 
** করবেন না কপিপেস্ট 
বহুকাল আগে যখন ভর্তিযুদ্ধ নিয়ে ব্যস্ত ছিলাম, তখন দেখতাম, বুয়েটে আমার সহপাঠী কিংবা সিনিয়র ভাইদের কম্পিউটারে বিভিন্ন ততোধিক সিনিয়র ভাইদের স্টেটমেন্টের কপি (""চোথা"") থাকতো। সময় বাঁচাতে অনেকেই আরেকজনের স্টেটমেন্ট এদিক সেদিক করে চালিয়ে দিতো। কিন্তু মার্কিন বিশ্ববিদ্যালয়ের ভর্তির লোকজন এতো বোকা নয় মোটেও। বছরের পর বছর ধরে একই লেখা দেখতে দেখতে তারাও বিরক্ত, কাজেই এরকম রিসাইকেল করা লেখা পেলে সেটার ফল কী হয়, বলাই বাহুল্য। 
কাজেই স্টেটমেন্ট লেখার জন্য প্রথম পরামর্শ হলো, অন্য কারো নমুনাকে এদিক সেদিক করে চালাবার কাজটা কখনোই করবেন না। নিজে লিখুন। 
** বিরত থাকুন GRE-বিদ্যা জাহির করা থেকে 
স্টেটমেন্ট লেখার সময় আরেকটা ভুল হলো, বিশাল বড় বড় সব বাক্য, আর জিআরইতে সদ্য শেখা জটিল সব শব্দের ব্যবহার। একটা ধাক্কা যুক্তরাষ্ট্রে এসে সবাই খায়, তা হলো, আমাদের দেশে শেখা ""ভালো ইংরেজি"" এখানে অনেকটা অচল। আমরা বিশাল বিশাল, একাধিক বাক্যাংশের যে রীতিতে বাক্য লিখতে শিখি, মার্কিনীরা তা মোটেও পছন্দ করে না। কাজেই এক বাক্য এক লাইনের বেশি গেলেই ওদের পড়তে/বুঝতে সমস্যা হয়, খেই রাখতে পারে না। কাজেই বাক্য যথাসম্ভব সংক্ষিপ্ত রাখতে হবে, আর একাধিক বাক্যাংশের জটিল বাক্যগঠনের অভ্যাস বাদ দিতে হবে। শব্দ চয়নের ক্ষেত্রেও তাই। জিআরই-এর জন্য যেসব শব্দ শেখা হয়, ওগুলো বাস্তব জীবনে কেউ ব্যবহার করে কি না সন্দেহ, তাই নিজের বাহাদুরি দেখাতে গিয়ে ওসব শব্দ ব্যবহার করলে পাঠক চরম বিরক্ত হবে নিঃসন্দেহে। 
** তাহলে কী লিখবেন? 
স্টেটমেন্টে তাই লিখুন নিজের কথা। কেন পড়তে আগ্রহী হলেন আপনার বিষয়টি। বিশ্ববিদ্যালয়ে পড়ার সময়ে কোন কোর্স কেন ভালো লাগলো, কীরকম কাজ করেছেন তা গল্পের ভাষায় (সিভিতে কোর্সের বিশাল বৃত্তান্ত আছেই, কাজেই এখানে গল্পাকারে লিখতে হবে)। কেন উচ্চতর শিক্ষা চান (চাপা না মেরে লিখুন), কেন বেছে নিলেন এই বিশ্ববিদ্যালয়। আসলে, এটা লেখার সময়ে ধরে নিন, আপনার সামনে বসে আছে ভর্তি কমিটি, তাদের পটিয়ে ভর্তি হতে হবে, কাজেই নিজেকে যথাযোগ্য প্রার্থী হিসেবে উপস্থাপনের চেষ্টা করতে মাত্র ৫ মিনিট কথা বলার সুযোগ পাবেন। সেই সময়ে কী বলবেন, তাই লিখতে হবে আপনার স্টেটমেন্টে। 
*** লিখুন সময় নিয়ে 
স্টেটমেন্টটা কিন্তু হুট করে লিখে ফেলার কিছু না। এটা লেখার জন্য ২/৩ সপ্তাহ সময় নিন। একবার লিখুন, তার পর কয়েকদিন পরে পড়ে দেখুন পাঠকের দৃষ্টিতে, কী লিখেছেন। দরকার হলে বন্ধু বা সিনিয়র কাউকে দেখান। যারা ইতিমধ্যেই উচ্চতর পর্যায়ে আছেন, তাদের বলুন একটু দেখে দিতে। বানান শুদ্ধ রাখুন। বানান বা ব্যকরণ ভুল হলে কিন্তু সুন্দর করে লেখা একটি স্টেটমেন্টও কাজ দেবে না। স্পেল চেকারের উপরে ভরসা করবেন না, স্টেটমেন্ট লিখে প্রিন্ট করে তার পর কাগজটা লাইন বাই লাইন পড়ে দেখুন ঠিক আছে কি না। 
*** ফরম্যাটিং 
আর স্টেটমেন্ট দেখতে কেমন, তাও কিন্তু অনেক ক্ষেত্রে গুরুত্বপূর্ণ। ফন্ট খুব বেশি ছোট ব্যবহার করবেন না। ১১ বা ১২ হলে ভালো। অনেক প্রফেসরের বয়সই কিন্তু ৪০ এর উপরে, আর চশমার কারণে তারা ১০ ফন্টের লেখা পড়তে পারেন না বা অনেক কষ্ট করে পড়েন। টেক্সট লেফট জাস্টিফাইড, আর স্পেসিং সিঙ্গল বা ১.৫ স্পেসিং দিলে ভালো। ৫/৬ প্যারার বেশি না লেখাই ভালো। সব মিলিয়ে দেড়পৃষ্ঠার মধ্যে শেষ করা উচিৎ। এর বেশি আসলে কেউ পড়ার ধৈর্য্য রাখতে পারেনা। 
স্টেটমেন্ট অফ পারপাস ভর্তির একটি গুরুতপূর্ণ নিয়ামক। কাজেই সময় নিয়ে, চিন্তা ভাবনা করে, তবেই লিখুন। 
(লেখাটি আমার আমেরিকায় উচ্চশিক্ষা বই থেকে নেয়া। বইটির পেইজে এর অনেক লেখা দেয়া আছে) 
#আমেরিকায়উচ্চশিক্ষা",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428421165_10161345265948670_601116166947775779_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=3635dc&_nc_ohc=jpXk1k4Ec_0AX_uAxN4&_nc_ht=scontent-ord5-2.xx&oh=00_AfAPJgW3O3FtJbO6yPJcZtW4K1xSZ22AMDGkxRXidOJymQ&oe=65D83D89'],[],M
"গবেষণা, উচ্চশিক্ষা, কিংবা শিশু কিশোরদের জন্য বিজ্ঞানের উপরে লেখা আমার ৮টি বই পাওয়া যাবে একুশে বইমেলায় আদর্শের ১৩৫-১৩৮ নং স্টলে। 
Adarsha",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/427745826_10161344486038670_3112682427561395013_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=QlFawaMjUV8AX8Wgv9y&_nc_ht=scontent-ord5-2.xx&oh=00_AfBhupDYOYmjqCMyH53d3lC9an6OyvPsabcYRH_rTGPtQw&oe=65D949C6'],[],M
"~গবেষণাপত্র বা রিসার্চ পেপার লিখবেন কীভাবে?~ 
নবীন গবেষক ও শিক্ষার্থীদের জন্য গবেষণার একটি ভীতিকর অংশ হলো গবেষণালব্ধ ফলাফলকে গবেষণাপত্র বা রিসার্চ পেপার আকারে লিখা। আমার পিএইচডি বা মাস্টার্স ছাত্রদের হাতে ধরে ধরে সেটা শিখাই। এই পোস্টে কীভাবে রিসার্চ পেপার লিখা শুরু করতে হবে, তাই নিয়ে সংক্ষিপ্ত আকারে লিখছি।
রিসার্চ পেপারের মূল উদ্দেশ্য হলো গবেষণায় কী পেয়েছেন, সেটাই সংক্ষিপ্ত আকারে জানানো। খেয়াল রাখবেন, আপনি হয়তো বছর খানেক কাজ করেছেন, তাই সবকিছুর খুঁটিনাটি জানেন ঠোটস্থ ভাবে… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428190655_10161342936508670_6677347368226159799_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=3635dc&_nc_ohc=9Sm4-VBUOQ0AX-oLGUq&_nc_ht=scontent-ord5-2.xx&oh=00_AfAgPnTnrq3So6WfyKzGduOtdPhNsQRhKuvcp-0T7BZjUQ&oe=65D8725C'],[],M
"বন্ধু Golam Kawsar আর সুপারকপ Mashroof Hossain — এই দুই প্রিয় মানুষ আমার দুটি বইয়ের সাথে যখন বইফি তুলে পাঠায়, পৃথিবীর অপর প্রান্তে থেকেও মনটা ভরে যায় আনন্দে!
বইমেলা্য় Adarsha এর স্টল থেকে!",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428397014_10161342230143670_4299315891749622826_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=lWVgGlxLbsIAX_sEFDz&_nc_ht=scontent-ord5-2.xx&oh=00_AfC4fOrwnZAaGPFGFMzt6P_eTwdglNRxFmyYg0_uuimTcw&oe=65D83FFC'],[],M
"~আমেরিকায় পিএইচডি বা মাস্টার্সে ফান্ডিং এর নানা উপায়~ 
উচ্চ শিক্ষার খরচ যুক্তরাষ্ট্রে বেশ বেশি, কাজেই নিতান্ত উচ্চবিত্ত ছাড়া নিজের পয়সায় পড়াটা কঠিন। রাজ্য সরকারের বিশ্ববিদ্যালয়ে খরচ কম। তবে রাজ্যের বাসিন্দাদের জন্য যে সুযোগ সুবিধা ও ফি-মাফ রয়েছে, সেটা বিদেশী ছাত্ররা পায় না। কাজেই বিদেশে পড়তে আসার আগে ভর্তির পাশাপাশি ফান্ডিং জোগাড় করাটা খুব দরকার।
** কী রকম খরচ হবে?
দেখা যাক টিউশন ফি-র ব্যাপারটা। অধিকাংশ সরকারী বিশ্ববিদ্যালয়ে মাস্টার্স বা পিএইচডি পর্যায়ে প্রতি সেমিস্টারে টিউশন ফি দেয়া লাগে কয়েক হাজার ডলার। যেমন, ফুল কোর্স লোড নিলে ইউনিভার্সিটি অফ টেক্সাসে গ্রাজুয়েট পর্যায়ে ইঞ্জিনিয়ারিং এ লাগে প্রতি সেমিস্টারে প্রায় ১২ হাজার ডলার, ইউনিভার্সিটি অফ ইলিনয়েও তাই লাগে। কিন্তু বেসরকারী বিশ্ববিদ্যালয়ের ফি-টা এর প্রায় ২ গুণ — যেমন জন্স হপকিন্স মাস্টার্সেই লাগে ২১ হাজার। আমি এখন ইউনিভার্সিটি অফ অ্যালাবামা অ্যাট বার্মিংহাম এর অধ্যাপক হিসাবে কর্মরত, এটি স্টেইট ইউনিভার্সিটি হওয়ায় এখানে খরচ প্রতি সেমিস্টারে ৮-১০ হাজার ডলার, কিন্তু সেটাও বাংলাদেশের হিসাবে অনেক।
এতো গেলো কেবল টিউশন। থাকা-খাবার জন্য খরচটা জায়গা ভেদে নানা রকম। বড় বড় অনেক শহরে খরচ ব্যাপক। কারো সাথে রুম শেয়ার করে থাকলেও হয়তো বাড়িভাড়া বাবদ মাসে ৪০০/৫০০ ডলার চলে যাবে। মিডওয়েস্টের ছোট শহর গুলোতে খরচ কম। সেখানে ৩০০/৪০০ ডলারে আস্ত ১ রুমের অ্যাপার্টমেন্ট নিয়ে থাকা চলে। দক্ষিণের দিকে খরচ অনেক কম। খাবার খরচ একা মানুষের ২০০-২৫০ ডলারে হয়ে যাবার কথা, চেষ্টা করলে আরো কমানো যায়। আর দূরে কোথাও না গেলে এবং শহরে বাস সার্ভিস ভালো থাকলে গাড়ির দরকার নেই। সব মিলে একা কারো জন্য জায়গাভেদে ৭০০-১২০০ ডলার থাকা-খাবার খরচে যাবে। বিশ্ববিদ্যালয় বেছে নেয়ার সময়ে তাই টিউশন ছাড়াও লিভিং কস্ট খেয়াল করে নিতে হবে।
** খরচ যোগাবেন কীভাবে?
পিএইচডি পর্যায়ে প্রায় সবাই কোনো না কোনো উপায়ে ফান্ডিং পায়। ভর্তির সময়েই বিশ্ববিদ্যালয় থেকে ফান্ডের গ্যারান্টি দেয়। মাস্টার্স পর্যায়ে ফান্ডিং শুরুতে কমই পাওয়া যায়। তবে একবার এসে যাবার পরে ২য় সেমিস্টার নাগাদ চেষ্টা করে ফান্ড জোগাড় করা সম্ভব।
টিউশন ফি মাফ করার বেশ কিছু উপায় আছে। অনেক বিশ্ববিদ্যালয়ে মেধার ভিত্তিতে টিউশন ওয়েইভার বা ফি-মাফ দেয়া হয়। মাস্টার্স বা পিএইচডি পর্যায়ে টিচিং অ্যাসিস্টান্ট বা রিসার্চ অ্যাসিস্টান্ট হিসেবে বিশ্ববিদ্যালয়ে কাজ পেলে বেতন পাওয়ার সাথে সাথে টিউশন মাফ হতে পারে, বা কম দিতে হতে পারে। আবার মেধাবী ছাত্রদের ভর্তির সময়ে ফেলোশিপ বা স্কলারশিপ দেয়ারও ব্যবস্থা আছে। কিছু নির্দিষ্ট বৃত্তিতে বাংলাদেশের ছাত্ররা বেশ ভালো সুযোগ পায়। যেমন, ""আব্বাসী ফেলোশিপ"" নামে একটা বৃত্তি ইউনিভার্সিটি অফ ইলিনয়ের ভারত, পাকিস্তান, ও বাংলাদেশের ছাত্র/ছাত্রীরা পায়। আবার দেশ থেকে ফুলব্রাইট নিয়েও অনেকে ইদানিং আসছেন।
অ্যাসিস্টান্টশিপ পেলে সপ্তাহে ১০ থেকে ২০ ঘণ্টা শিক্ষকতায় সহায়তা (যেমন, স্নাতক পর্যায়ে ক্লাস নেয়া, খাতা দেখা) অথবা প্রফেসরের গবেষণায় সহায়তা করতে হবে। টিচিং অ্যাসিস্টান্টশিপ বা টি এ পেতে হলে ডিপার্টমেন্টের অফিসে খোজ নিতে হবে সে ব্যাপারে। অনেক জায়গায় এজন্য টোফেল এর স্পিকিং অংশে ভালো স্কোর চায়। রিসার্চ অ্যাসিস্টান্টশিপ বা আর এ নির্ভর করে প্রফেসরের উপরে। ভর্তির আবেদন করার আগে থেকে প্রফেসরের সাথে যোগাযোগ করে সেটার ব্যবস্থা করা সম্ভব, অথবা ১ম সেমিস্টারে কারো সাথে ফ্রি কাজ করে ভালো কাজ দেখিয়ে পরে তার কাছ থেকে আরএ পাওয়া যেতে পারে। খেয়াল রাখতে হবে, আরএ দের বেতন প্রফেসরের নিজের রিসার্চ ফান্ড থেকে আসে, আর সেটা পাওয়া না পাওয়া প্রফেসরের মর্জির উপরে নির্ভর করে। কাজেই ভালো কাজ দেখানো, গবেষণা ঠিকমতো করা, এগুলো ভালোভাবে করতে হবে। প্রফেসরদের সাথে ইমেইলে যোগাযোগ করা নিয়ে আরেকদিন লিখবো।
এছাড়াও উপার্জনের আরেকটা উপায় হলো ক্যাম্পাসের নানা জায়গা, যেমন লাইব্রেরিতে ঘণ্টা হিসাবে কাজ করা।
অফ ক্যাম্পাস কাজ শুরুতে করা যায় না। কাজ হতে হবে পড়াশোনার সাথে সম্পর্কিত। প্রথম ৯ মাসের পর থেকে  সেটার অনুমতি মিলে (তবে কিছু কিছু জায়গায় ডে ওয়ান সিপিটি বলে কিছু কাজের অপশন আছে শুরু থেকেই)। সেমিস্টার চলা কালে অন বা অফ ক্যাম্পাসে সপ্তাহে মোট ২০ ঘণ্টার বেশি কাজ করা যায় না। তবে গ্রীষ্মকাল বা দুই সেমিস্টারের মাঝের বন্ধে ৪০ ঘন্টা কাজ করা চলে।
উপরের সব পদ্ধতিতেও ফান্ড জোগাড় না হলে সর্বশেষ তরিকা হলো শিক্ষা ঋণ নেয়া। মার্কিনীদের জন্য সেটা ডাল ভাত, কিন্তু বিদেশী ছাত্রদের জন্য সেটা বেশ কঠিন। পরিচিত কেউ মার্কিন নাগরিক হলে এবং ঋণে কো-সাইন করলে (মানে ঋণের অংশীদার/জামিনদার হলে) তবেই ঋণ মিলতে পারে। আবার কিছু কোম্পানি (যেমন mPower) ইদানিং বিদেশী ছাত্রদের ঋণ দেয়া শুরু করেছে, তবে বাছা কিছু ইউনিভার্সিটির ক্ষেত্রে । অনেক ক্ষেত্রে সেটা ছাড়া হয়তো উপায় থাকে না, যেমন কেবল কাজ করে দামি প্রাইভেট ইউনিভার্সিটির বছরে ৪০ হাজার ডলার টিউশন দেয়াটা প্রায় অসম্ভব — সেক্ষেত্রে টিউশন ওয়েইভার বা ঋণ ছাড়া উপায় নেই।
এই হলো পিএইচডি বা মাস্টার্সে ফান্ডিং এর নানা উপায়। আরেক লেখায় লিখবো, ফান্ডিং না পেলে কীভাবে পড়ার খরচ জোগাড় করা যায়। এই সব লেখাই আমার বই ""আমেরিকায় উচ্চশিক্ষা"" থেকে নেয়া, যার অনেক অংশ বইয়ের পেইজে আছে। 
#আমেরিকায়উচ্চশিক্ষা",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428397012_10161341421558670_4880184286448574270_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=111&ccb=1-7&_nc_sid=3635dc&_nc_ohc=TsP1q-3N_moAX8-xl_k&_nc_oc=AQmfIfJxFbvctLesfj0Wsdd7GGh62eIeCRZvJiXxU9BnwvbRDgftZn52xT_PGvkkOdg&_nc_ht=scontent-ord5-1.xx&oh=00_AfDtm5p_ldSQ5pD746lPysDnowQG3mUidTLnrOtzzUDn6g&oe=65D80580'],[],M
