text,images,videos,gender
"ক্লিনিকাল ডিপ্রেশন হলে সবসময় কিন্তু মন খারাপ হয় না। 
নিচের ৬ রকম সমস্যাও ডিপ্রেশন থাকলে হতে পারে - 
১. বাসা থেকে একদমই বের হতে ইচ্ছা হয়না..… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/417796580_1816948642076848_8250115307634790333_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=wrbNpOpYZK0AX-5FDGE&_nc_ht=scontent-ord5-2.xx&oh=00_AfDuznW1y1tAo4yKxL0jkt-SFzWSQ3OU5r8u5D1Bge8eHg&oe=66046215'],[],M
"এখানে ভীষণ নেমেছে আঁধার
যায় না কিছুই চেনা
বাঁচার ক্ষণিক ইচ্ছেরা সব
মৃত্যু দিয়েই কেনা।… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/417722885_1816655932106119_856983844062514334_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=BdkTDc2CoCIAX8IGWPR&_nc_oc=AdhHuePcejoLlFcwudw1cbtAJvP6APytMJV3ArVN4GRTHBbemlz--D_n89x2KjmtGtg&_nc_ht=scontent-ord5-2.xx&oh=00_AfBRL_HGgYWfdkbWYenhBW-ixK2iHQDtzIakPw9CVL-oZQ&oe=66042924'],[],M
"*** তাবিজ কবজের মাধ্যমে অথবা জাদুটোনা করে বিয়ে ভেঙে দিয়েছে - এমন ঘটনা আমি দেখেছি। 
বর্তমানে ডিভোর্সের মাত্রা অনেক বেড়ে গেছে ।সমাজবিজ্ঞানীরা অনেক মত প্রকাশ করেছেন। কিন্তু এতটা বাড়ার কারণ কি হতে পারে ?
অথচ একটা জিনিসকে সবাই উপেক্ষা করে গিয়েছে যেটা হলো ব্ল্যাক ম্যাজিক বা সিহর। অবশ্য আমাদের দেশের মুসলিম সমাজের সিংহভাগই এটাকে হেসে খেলে উড়িয়ে দেয়। … See more",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/415488349_1812644945840551_8598838851080757808_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3Ara0t8F4McAX-lh0Ed&_nc_ht=scontent-ord5-1.xx&oh=00_AfDunZeiIJd41bUk3YEbwpEeUvvX8wQIJTR7jBBfAKEzLg&oe=660504DE'],[],M
“সুখ কখনও সম্পত্তি বা অর্থের ওপর নির্ভর করে না। সুখের বাস আত্মার গহীনে”,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/411140768_1804792809959098_3683837090610978101_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=iydwT6xTnJoAX-2FHgn&_nc_ht=scontent-ord5-1.xx&oh=00_AfAFu_hOXhBYcGbRl-A6v-0C-BCw81dA5JWlGAU3pLNKVw&oe=6603281D'],[],M
"বিয়ে আর প্রেম সম্পূর্ণ দুটো ভিন্ন ব্যাপার।
প্রেমের ফ্যাসিনেশন নিয়ে বিয়ে করতে গেলে আপনি পস্তাবেন নিশ্চিত থাকুন।
আপনারা একই প্যারেন্টিং-এর আন্ডারে, একই রেস্ট্রিকশনে, একই পরিবেশে বড় হওয়া ভাইবোন নন।… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/407573056_1796604687444577_4286577650128227305_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=KQgMqSTBXPwAX9QtsXj&_nc_ht=scontent-ord5-2.xx&oh=00_AfDh3bKHxCBOc1XQs2NTuhjNUZT_Vxw9r6GJT49aksB8vw&oe=66045EB5'],[],M
"আমার আরেকজন বান্ধবী (নাম প্রকাশে অনিচ্ছুক) তিন হাজার টাকা পাঠিয়েছে সেই টাকা দিয়ে ওর গতকাল এক প্যাকেট দুধ দিয়েছি।আজ একটা কম্বল কিনেছি আগামীকাল দিব।
দোয়া করবেন বাচ্চা টার জন্য।","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/406326681_1794647904306922_8348738424337015277_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=A3RIYKz98noAX9RJ_K7&_nc_ht=scontent-ord5-1.xx&oh=00_AfAb1VKjpGgWmqiX6umv_xQOnt0n8WKPTWKov3c7m-J4_Q&oe=66043304', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/406321515_1794647944306918_4234516225028204547_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=LbijckfVbpEAX8qFb5s&_nc_ht=scontent-ord5-2.xx&oh=00_AfCZHYzB14uv1RDtBZc6Bh-8MKbBpMgIZAv5E1Fc6p4VNQ&oe=66043CA0']",[],M
"সাদা চামড়া যদি সৌন্দর্যকে প্রকাশ করে, 
তবে ধবল রোগী দেখলে এড়িয়ে যাও কেন?
কালো রং যদি এতোই কুৎসিত হয়, 
তবে কালো চুলের মায়ায় কেন পড়ো?",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/398684756_1779894855782227_3309558513473338752_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_0CHP0AC8pcAX_hWrgJ&_nc_ht=scontent-ord5-1.xx&oh=00_AfAwseXqUNsG9QpSSh7da8FPPkS46gx24UPl1M2Xr9CeLw&oe=660449EF'],[],M
"The moon 
 shines in my mind.I'll keep holding on and love you forever 
15 years....","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/398053010_1778709872567392_397976315701887496_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=URmmsRlPI5YAX-m1cv5&_nc_ht=scontent-ord5-1.xx&oh=00_AfCe0pd3EDu6qamYGHqoAtlx60dxONB-dpuDefYR6hYIbw&oe=660364C8', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/398031333_1778709932567386_4207963921758901911_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hb1xSs1dwmEAX9TTXEF&_nc_ht=scontent-ord5-1.xx&oh=00_AfDHJn7WyuPOjwaFV7BJAL-RvwTADKoCZG-AXkjNpSpBPw&oe=66035E81']",[],M
"এই মৃত্যু উপত্যকা আমার দেশ না 
-নবারুণ ভট্টাচার্য",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/396535835_1777936335978079_6977758882073258330_n.jpg?stp=dst-jpg_p843x403&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=vYaYUSHMlBYAX8grvn9&_nc_ht=scontent-ord5-2.xx&oh=00_AfCk7NcwBwaK0IekYBP2VAHEB3FxE2v0VY7GObIUaoMDpQ&oe=6603C317'],[],M
"অক্টোবরের শেষের দিকে সন্ধ্যার বাতাসে শীত শীত একটা গন্ধ পাওয়া যায়। এটা পৃথিবীর সবচেয়ে রহস্যময় সুবাস।
এই সুবাসে অনাগত ভবিষ্যত জানার তীব্র আকাঙ্ক্ষা থাকে, অজানা বিষন্নতা থাকে। মন খারাপ আর মন ভালো করার মাঝামাঝি তীব্র ইউফোরিক একটা সময় এই শেষ অক্টোবর।",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/393769385_1773243673114012_2374696622075545340_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=h8d78IZuXGYAX_06wXd&_nc_ht=scontent-ord5-1.xx&oh=00_AfDNEhheAeRLUK2udZFuHvHgVcePuEqmoBPVdtKcOmUqZw&oe=660428CF'],[],M
