text,images,videos,gender
"A very happy anniversary to my dearest abbu - ammu 
35 years of togetherness! May Allah SWT bless them with many more happy years together. 
27.02.24","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/392879351_3601095100160728_5152006972478782830_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=oN50_zNHvHsAX_ithvP&_nc_oc=AQmzzasSy3U1x29HhwBU0uPLi64goY6g2PN5NaYOqPpnHv2qscwlxXkiiy9GsS2kpUY&_nc_ht=scontent-ord5-2.xx&oh=00_AfAPco2V7eh2EA107MVuWvw24hI2XfElCNQYz--58KE05g&oe=65E25482', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/429575546_3601095166827388_3624849698982347088_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=JIjsdW3tEHwAX8uKKEN&_nc_ht=scontent-ord5-2.xx&oh=00_AfDD5g50fS-bHYMD_iscNqd8a-pEwUsLddaDwl5RIMXTkA&oe=65E114B9', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/392878782_3601095236827381_152845685152627943_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=AmxJz0Tw3EUAX9OgkOJ&_nc_ht=scontent-ord5-1.xx&oh=00_AfDCE_ojVkWvTkJ9zDaO415vSUHCC92n1cUov9F4nYyiyA&oe=65E1A25D', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/429564545_3601095300160708_1091588462366676822_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=9PcN5sC_gT8AX8P4yib&_nc_ht=scontent-ord5-2.xx&oh=00_AfBFFlAOeluX7pqrKpLG9qi_y0RCMWjSGmMJlyZezAvcnQ&oe=65E1D3EF']",[],M
"A quality article.
I think key to Peter Thiel's point isn't just getting people out of institutions. He attacks with few justifiable, and often relatable, points:
1. Universities might not be suitable and/or required for everyone to be productive.… See more",[],[],M
Very agreeable position.,[],[],M
"One of my fav journalists atm is Fintan O'Toole from Irish Time.
This is more because his position is topic oriented, his writing really doesn't stem from aristocracy or place of authority. He is rather a centerist reflection on topic and writes things as I think a silent majority can understand.
Another lovely piece from him:… See more",[],[],M
https://www.youtube.com/watch?v=kkVEt5tC2xU,[],[],M
"https://finance.yahoo.com/.../alphabets-culture-issue...
Leaving it here. See if this kills or not...",[],[],M
"Imagine Google stuck with Google Glasses. 
This is just obvious.",[],[],M
"One of my fav journalists atm is Fintan O'Toole from Irish Time.
This is more because his position is topic oriented, his writing really doesn't stem from aristocracy or place of authority. He is rather a centerist reflection on topic and writes things as I think a silent majority can understand.
Another lovely piece from him:… See more",[],[],M
https://www.youtube.com/watch?v=kkVEt5tC2xU,[],[],M
"https://finance.yahoo.com/.../alphabets-culture-issue...
Leaving it here. See if this kills or not...",[],[],M
"Imagine Google stuck with Google Glasses. 
This is just obvious.",[],[],M
"Ways to set ""self-fulfilling prophecy"" in motion.",[],[],M
Part 2 and final part of my experience of masters in computer science from ASU.,[],[],M
Great cover on immigration.,[],[],M
In the open...,[],[],M
Classic Professor Christensen.... beautiful.,[],[],M
Steve Quake is someone I found from Stanford Engineering podcast. Love his work and his takes.,[],[],M
"Imagine Google stuck with Google Glasses. 
This is just obvious.",[],[],M
"Ways to set ""self-fulfilling prophecy"" in motion.",[],[],M
Part 2 and final part of my experience of masters in computer science from ASU.,[],[],M
Great cover on immigration.,[],[],M
In the open...,[],[],M
Classic Professor Christensen.... beautiful.,[],[],M
