text,images,videos,gender
"আমরা বাংলা বই পেয়ে অনেক খুশি
।ধন্যবাদ Hilary আন্টি
সায়াফ আরেফিন","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/385861268_6779206958806562_7832755011431547149_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=GT4U6SBez8AAX9-Ighq&_nc_ht=scontent-ord5-1.xx&oh=00_AfCBUMC3bMipHz3-5XlYHvkoDuN83hja3tdMJ1ouhmj8TA&oe=65FB2962', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/387064282_6779207048806553_676864768600995954_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=-GaKflHpHQwAX8OMtTq&_nc_ht=scontent-ord5-2.xx&oh=00_AfBNesP3a_M87UiJUnVpKwQ_iEWLt9nE092voYEopRpymQ&oe=65FB4CA6', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/386313669_6779207128806545_7629827814882248022_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=JpZQ_KflbAgAX-8GJRo&_nc_ht=scontent-ord5-2.xx&oh=00_AfDlG6aTMkeTjAkqTjqT05EPElywWHS76Oe8PmH5KSdCHg&oe=65FA9292']",[],M
Happy Birthday Diya,[],[],M
#EndOfSummerBarBQ,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/365770694_6563436490383611_7089295719804827342_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rmCy78bcudMAX9Rlz_m&_nc_ht=scontent-ord5-1.xx&oh=00_AfCLdu-0FAPHsxSNwNJrgwOkkS9Pl4OpZ0r2zvaBF3VEgA&oe=65FA247B', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/365768992_6563436750383585_1270793462687909688_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=9d76_CVwXyAAX_4cbRl&_nc_ht=scontent-ord5-1.xx&oh=00_AfAnoHENfXD0v40p2Ef6LkqoXMjfJ6MdXvqd_ZXBYm4ESg&oe=65FB3694', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/365741346_6563436513716942_8055921517795584268_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=yr95flKg6EMAX8PduO9&_nc_ht=scontent-ord5-2.xx&oh=00_AfDDOwvdOUugE_ACc9w6PrAnMJLPMM91VX9OiAW9fVZmfA&oe=65FA6EA4', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/365677984_6563436640383596_6434680734633730132_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=tIey7VAdTu0AX_EKAma&_nc_ht=scontent-ord5-1.xx&oh=00_AfAwhphH589oy6dOPpRYmW2E_0aMjbv-rlOOWTy91nksGA&oe=65FA3044', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/365680667_6563436607050266_3358839688573389190_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=61Kqs4dqV_sAX-WQ0bh&_nc_ht=scontent-ord5-2.xx&oh=00_AfBwwto_T6rxSbP9PrrpoFIRy80ymoDTtnPNgu2VskCfnw&oe=65F9A3D5']",[],M
6 years!!!,"['https://scontent-ord5-1.xx.fbcdn.net/v/t1.18169-9/19905256_1485320254861952_7763734011213874449_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hxPl0zimbE4AX_rFwh2&_nc_ht=scontent-ord5-1.xx&oh=00_AfCI_CMj-oXUJH6bcD-UcnjFEzIySpcI0G-GrWs2GqsCeg&oe=661CD788', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.18169-9/20106815_1485320294861948_1040457289031391199_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hyA1wCaP4f4AX8HYR7c&_nc_ht=scontent-ord5-2.xx&oh=00_AfDtd6v_kcKaRFGIPbxODmj2Rx5azkBfby2tHQKTnsS49g&oe=661CE1BC', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.18169-9/20046421_1485320351528609_8528705964618627686_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=gmuV9cR_vV8AX8FUSp8&_nc_ht=scontent-ord5-2.xx&oh=00_AfB_ryasgkUMFEas3WnQ6JRqYwpVCyJKH_eBZBXDN27pgg&oe=661CF4B3', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.18169-9/19989670_1485320498195261_5060311917405607414_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=2DZCNEy5o_AAX9ywGft&_nc_ht=scontent-ord5-2.xx&oh=00_AfCKOT0pz4Mkix_3M4_gKtKtgVarRXIZAcbMNraingXcEQ&oe=661CCFC9', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.18169-9/20031649_1485320531528591_1407943386415439862_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=QO2N687nkTcAX9QFtmG&_nc_ht=scontent-ord5-2.xx&oh=00_AfBvqxsXJpn1dGgNONOGuQQFDf5OJdxrdzOy_KAjCVtY7g&oe=661CD093']",[],M
Had a great summet trip with family and friends,"['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/359177830_6471455559581705_8921254261165293024_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OsiGDOWqLs0AX_jUBDe&_nc_ht=scontent-ord5-2.xx&oh=00_AfBrQk2uZllsO8YDbGuJuLBvrSLpusbRLw6GuojtGE8iAg&oe=65F96F63', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/358643337_6471537752906819_4279670978993669551_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_9b3keM8GnUAX9Skvkp&_nc_ht=scontent-ord5-2.xx&oh=00_AfDjnNJso2eI6jTBdGcOtLG29Lo-8SyzUSyEKID0vh9zYQ&oe=65FB449A', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/358412301_6471537772906817_7441641315610511788_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=EVVupg24zV0AX8biuwS&_nc_ht=scontent-ord5-2.xx&oh=00_AfCO1gTOzPJ7y7Es_svQyW4M6plZ1RxRutD6adeFr1ccGg&oe=65F9E99C', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/359375089_6471455832915011_5287276014069298699_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=yMO-OcuVVzgAX91ouo8&_nc_ht=scontent-ord5-2.xx&oh=00_AfDLNazl3AME4dpr27OrbCgaiGc-9uQTkVrsEHIScrezrg&oe=65F993A2', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/359038460_6471537642906830_6017820613618114889_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=EsuEyJt1X4UAX_F7Bpz&_nc_ht=scontent-ord5-1.xx&oh=00_AfBzW9S1mwuMTGMjSUdKDlig4suYEhATp24_u5CNInRuug&oe=65F9C279']",[],M
"When your friend drives a thousand mile to celebrate Eid together,  it becomes more special…","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/357467067_6445524588841469_2945601580588216051_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Lueqxdi9sQ4AX-V6Mx4&_nc_ht=scontent-ord5-2.xx&oh=00_AfDT2dnxm-JWrITkC9k52psq-TOW8XbJeG1i4e2aOTBaKA&oe=65FA8A11', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/357364825_6445524648841463_232158937212638576_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=31SYHNh-P8YAX_SnMzU&_nc_ht=scontent-ord5-1.xx&oh=00_AfB-JU9Klcb5VwIIyrx3rFxakkx3L7qP7phk08L4LQ6iGw&oe=65F96E2C', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/357457105_6445524612174800_7632151826157008046_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=iUfzrMUK9f4AX9qcIDI&_nc_ht=scontent-ord5-2.xx&oh=00_AfDZ_9z1BjipVc7ITjOtGaLJnleiiywgYDMVoNGVP0kQXw&oe=65FA990A']",[],M
Having a great summertime. Fun time with Prof and mates and family,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356866655_6431316293595632_4472881191373030693_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=kN3lnIrLQSUAX9gZwA_&_nc_ht=scontent-ord5-1.xx&oh=00_AfCWsI7o77gPvKHjbcKUgNEkq7b3aK-C6VWzsuIJGMtAbQ&oe=65FB0302', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356663012_6431316316928963_1388303794655040839_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=7EwSPEw1jgEAX-Ihsi9&_nc_ht=scontent-ord5-2.xx&oh=00_AfAU8ofLwdRV_XY-q9_QcIH8kAdgN1Uf51bbI7zEvUG6sw&oe=65FA7FD0', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356913905_6431316366928958_7569816320701615673_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=7AYiKsoyKAkAX_WEZxK&_nc_ht=scontent-ord5-2.xx&oh=00_AfC8vtS6nKkI50QAtxlVVPUDm3LSpStx8O2jQS0cSrA_NA&oe=65FAE9B3', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/356821030_6431316516928943_8652725076169337984_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=tx99aoAjjx8AX_Ia7oL&_nc_ht=scontent-ord5-2.xx&oh=00_AfCUebkxhByldRLCv3KqPZxzw6TXlyLyFGad_0DKjYNxiA&oe=65FA6FA8', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/356677319_6431316710262257_7981431625311319428_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=daJjJjoiQR8AX_Su4Wk&_nc_ht=scontent-ord5-1.xx&oh=00_AfDHZhKVa9ThxqvVLbzeejd3ycs2IuCApFfst44Z29z1AQ&oe=65FA3681']",[],M
আজব তো,[],['https://www.facebook.com/channel24live/videos/1406091653510464/?__cft__[0]=AZUttbqj7HFt1bakRRPLIN4eFehXRL0wdO9TjrJqL3GQ3Tlp7sijNTq-3VB8bTVOvQ9wgEdYGuQ7Minl9r5nrigbm5JNLHCtXNm3eLiQ_-xWemv6pZCkxqkqyR4ryrBBBiTKvOwKs35nAzV4VbWhGOHJRkOnoGWemn5OBqyLXpq4vUG37hcvYNgJW8yB31koNt2hVEM-jkN3KeLHjB9ufGyw&__tn__=%2B%3FFH-y-R'],M
"কি হাইসে, ষেরা",[],[],M
"Rain (Snow
) drop falling on my head.....","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/327271236_840666070331972_453713125086694717_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=iky6xrsbY-IAX_Hm6L6&_nc_ht=scontent-ord5-2.xx&oh=00_AfAVt9M_8IisJrPBYBIFfuyij-FCfybuiBNW4_EhZEmfNA&oe=65FA2472', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/327065504_761655705378446_3854282658094270645_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=vZi-MEWf8PQAX_Id4Gj&_nc_ht=scontent-ord5-2.xx&oh=00_AfCDTPnFmUYnNPPDJEFTcpt0wJg4yifBU3uOsw108d7Z0Q&oe=65F9FA67']",[],M
