text,images,videos,gender
"The last grand international bazaar before covid-19 
 #memoriesforlife","['https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/52451521_2523296717698058_7381742965737127936_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=0bb214&_nc_ohc=6vXLqJziOUQAX8uElUw&_nc_ht=scontent-ord5-2.xx&oh=00_AfDylMz0e5B-TUaq1mIyWpxR9psxpWs2-_LLDMofwEPcSQ&oe=65F79D00', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/52143698_2523287427698987_450944327397408768_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=0bb214&_nc_ohc=P1sLwRrQ9fEAX8OCXeh&_nc_ht=scontent-ord5-2.xx&oh=00_AfAGFF4eGt4o_Wh1g16p9YCjKoTAxZI2N2kuDmPgprCAKQ&oe=65F775F8', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/52682535_2523287391032324_5432881922881617920_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=0bb214&_nc_ohc=kyiTNh1f3RcAX-nA43e&_nc_ht=scontent-ord5-2.xx&oh=00_AfAXqs5k8nRlgOKPtgIGIjJNFW_UxhDm6b1zD46gGsrSfA&oe=65F770DA', 'https://scontent-ord5-1.xx.fbcdn.net/v/t1.6435-9/52263819_2523287514365645_1068011641842434048_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=0bb214&_nc_ohc=_sxJ-RmKgesAX9-joHq&_nc_ht=scontent-ord5-1.xx&oh=00_AfBtVTX_jhn0Be0vA8cu0RZBFFuCySvdpLeMZ7m-wUXQWw&oe=65F775BE', 'https://scontent-ord5-1.xx.fbcdn.net/v/t1.6435-9/52598248_2523287467698983_4764374214629130240_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=0bb214&_nc_ohc=y4-eSrtQ_t4AX-_VjTU&_nc_ht=scontent-ord5-1.xx&oh=00_AfAaOD09Ep8qFVe6XGB8j8Rc2VW3ntbc-N_ImWZLX6x4IQ&oe=65F7A0A4']",[],M
"Happy 9th Birthday Arshan
 Alhamdulliah and May Allah bless you with lots of love, happiness, good  health and prosperity. Yesterday was his birthday  and some of our friends surprised Arshan with a cake and gifts. Thank you so much Sadia Afrin Nourin, Shaeke Salman Ovee, Tasneem Rahman Ela and Forhan Bin Emdad Romy
.","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428378310_10232089103147625_2121975104356129122_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=dgA97sP0oAkAX_sZaPK&_nc_ht=scontent-ord5-1.xx&oh=00_AfBJMV_C4P3Z8IUK_gOLcr_YcN27D-ojQtlLaJeA5LCV1w&oe=65D57C36', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427997400_10232089103827642_5943736600177333455_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=XrgF6SegaBkAX8Xbrgu&_nc_ht=scontent-ord5-1.xx&oh=00_AfC-hd_W_FNs0hBKfoZBQbit4wxMr21TfvAHxQ05oUigqw&oe=65D4A2BE', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428388613_10232089103667638_8660404812945200666_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=gzhymYzuKlIAX9jfXcs&_nc_ht=scontent-ord5-2.xx&oh=00_AfBlqtpEHNLqh0tlAj6HzZccAXc634ZWR9mhp2kRnZUt8g&oe=65D59239', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428373924_10232089103987646_5878256194378705999_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=DBH8z_L27FcAX8_6zsf&_nc_oc=AQlK6NahSIDe10ZTRQU2_dohRMwIS7T8AB0iKaBg4li7iTAMf4YxKZu4OL1A4J8BN5I&_nc_ht=scontent-ord5-2.xx&oh=00_AfDr0wYbB2S7BjSIfgMoYmPFHD40_OFCuhehSXuosvXtfQ&oe=65D48D1F', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428405201_10232089103747640_6367403432465559182_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=xMEtJZ6UkOoAX-ZIUBn&_nc_ht=scontent-ord5-1.xx&oh=00_AfBN1g9uMEuFW5WfD5QvBa4MSsTzzkxXuzSj81mmcp87Ow&oe=65D58912']",[],M
"বসন্ত এসে গেছে 
 Sunday can’t get any better 
#bosonto #bsa #fsu #nushmoni #diaries #aveendiaries #friends #family #love","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/427975204_7805610209466656_6781254378415734516_n.jpg?stp=dst-jpg_p480x480&_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=_urNbuRDn9gAX88vstz&_nc_ht=scontent-ord5-2.xx&oh=00_AfC_I9c3CIsaCKWOIUcGHp8ZiHcNlVls0-lPQI0TyFdGzw&oe=65D5E884', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/427840101_7805610199466657_969652478004321890_n.jpg?stp=dst-jpg_p480x480&_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=TkKKmahoM4YAX8kPkAV&_nc_ht=scontent-ord5-2.xx&oh=00_AfCNKU9HWDdrKuabdsLU9Uj4BehWDegh4tZ4KYq0TlmHlg&oe=65D4B389', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427805874_7805610182799992_7777554587140598200_n.jpg?stp=dst-jpg_p480x480&_nc_cat=111&ccb=1-7&_nc_sid=3635dc&_nc_ohc=HhVW8LeVPpkAX8ubrl1&_nc_ht=scontent-ord5-1.xx&oh=00_AfDpNSFL3-eFEVPvPaMKkeIQLC5LThe6H7Pw7GBkiFKtOg&oe=65D56CFD', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427811222_7805610192799991_4599834865096169273_n.jpg?stp=dst-jpg_p480x480&_nc_cat=101&ccb=1-7&_nc_sid=3635dc&_nc_ohc=lWOj88GFO9QAX8hQ46L&_nc_oc=AQkPXC_DwEqmP47qhI3wlGMf4U8BA1Na2plCOAtwhg-mQN75WRHmDlvXmZxMRJ5D-pQ&_nc_ht=scontent-ord5-1.xx&oh=00_AfDR0xLu8YUCth9Nvhynmu_vEBx3WLvbvh0Dhd-rk36V3A&oe=65D5D57B', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/427806153_7805610186133325_4260470957847951609_n.jpg?stp=dst-jpg_p480x480&_nc_cat=103&ccb=1-7&_nc_sid=3635dc&_nc_ohc=hRfGwbMfxa0AX8W8f8l&_nc_ht=scontent-ord5-2.xx&oh=00_AfAGTXjTI1ALisreHUsXTpVYAu9Vvh2gl0xSHJ1qreScRw&oe=65D466F6']",[],M
"Happy 9th Birthday Arshan
 Alhamdulliah and May Allah bless you with lots of love, happiness, good  health and prosperity. Yesterday was his birthday  and some of our friends surprised Arshan with a cake and gifts. Thank you so much Sadia Afrin Nourin, Shaeke Salman Ovee, Tasneem Rahman Ela and Forhan Bin Emdad Romy
.","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428378310_10232089103147625_2121975104356129122_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=dgA97sP0oAkAX_sZaPK&_nc_ht=scontent-ord5-1.xx&oh=00_AfBJMV_C4P3Z8IUK_gOLcr_YcN27D-ojQtlLaJeA5LCV1w&oe=65D57C36', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427997400_10232089103827642_5943736600177333455_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=XrgF6SegaBkAX8Xbrgu&_nc_ht=scontent-ord5-1.xx&oh=00_AfC-hd_W_FNs0hBKfoZBQbit4wxMr21TfvAHxQ05oUigqw&oe=65D4A2BE', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428388613_10232089103667638_8660404812945200666_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=gzhymYzuKlIAX9jfXcs&_nc_ht=scontent-ord5-2.xx&oh=00_AfBlqtpEHNLqh0tlAj6HzZccAXc634ZWR9mhp2kRnZUt8g&oe=65D59239', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428373924_10232089103987646_5878256194378705999_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=DBH8z_L27FcAX8_6zsf&_nc_oc=AQlK6NahSIDe10ZTRQU2_dohRMwIS7T8AB0iKaBg4li7iTAMf4YxKZu4OL1A4J8BN5I&_nc_ht=scontent-ord5-2.xx&oh=00_AfDr0wYbB2S7BjSIfgMoYmPFHD40_OFCuhehSXuosvXtfQ&oe=65D48D1F', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428405201_10232089103747640_6367403432465559182_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=xMEtJZ6UkOoAX-ZIUBn&_nc_ht=scontent-ord5-1.xx&oh=00_AfBN1g9uMEuFW5WfD5QvBa4MSsTzzkxXuzSj81mmcp87Ow&oe=65D58912']",[],M
"বসন্ত এসে গেছে 
 Sunday can’t get any better 
#bosonto #bsa #fsu #nushmoni #diaries #aveendiaries #friends #family #love","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/427975204_7805610209466656_6781254378415734516_n.jpg?stp=dst-jpg_p480x480&_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=_urNbuRDn9gAX88vstz&_nc_ht=scontent-ord5-2.xx&oh=00_AfC_I9c3CIsaCKWOIUcGHp8ZiHcNlVls0-lPQI0TyFdGzw&oe=65D5E884', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/427840101_7805610199466657_969652478004321890_n.jpg?stp=dst-jpg_p480x480&_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=TkKKmahoM4YAX8kPkAV&_nc_ht=scontent-ord5-2.xx&oh=00_AfCNKU9HWDdrKuabdsLU9Uj4BehWDegh4tZ4KYq0TlmHlg&oe=65D4B389', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427805874_7805610182799992_7777554587140598200_n.jpg?stp=dst-jpg_p480x480&_nc_cat=111&ccb=1-7&_nc_sid=3635dc&_nc_ohc=HhVW8LeVPpkAX8ubrl1&_nc_ht=scontent-ord5-1.xx&oh=00_AfDpNSFL3-eFEVPvPaMKkeIQLC5LThe6H7Pw7GBkiFKtOg&oe=65D56CFD', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427811222_7805610192799991_4599834865096169273_n.jpg?stp=dst-jpg_p480x480&_nc_cat=101&ccb=1-7&_nc_sid=3635dc&_nc_ohc=lWOj88GFO9QAX8hQ46L&_nc_oc=AQkPXC_DwEqmP47qhI3wlGMf4U8BA1Na2plCOAtwhg-mQN75WRHmDlvXmZxMRJ5D-pQ&_nc_ht=scontent-ord5-1.xx&oh=00_AfDR0xLu8YUCth9Nvhynmu_vEBx3WLvbvh0Dhd-rk36V3A&oe=65D5D57B', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/427806153_7805610186133325_4260470957847951609_n.jpg?stp=dst-jpg_p480x480&_nc_cat=103&ccb=1-7&_nc_sid=3635dc&_nc_ohc=hRfGwbMfxa0AX8W8f8l&_nc_ht=scontent-ord5-2.xx&oh=00_AfAGTXjTI1ALisreHUsXTpVYAu9Vvh2gl0xSHJ1qreScRw&oe=65D466F6']",[],M
"When they're both around 1.5 years old 
 #bigsisterlittlebrother #lifelines",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/426599480_25056017710650224_8818953058948657477_n.jpg?stp=cp6_dst-jpg_s640x640&_nc_cat=108&ccb=1-7&_nc_sid=783fdb&_nc_ohc=cRR7WH_YL4cAX8G5Kym&_nc_ht=scontent-ord5-1.xx&oh=00_AfAdxdwRcjTj2cJZQwU9EBTo7qMnfrkgyCjocljX2_HPEw&oe=65D4E04B'],[],M
"@ Deba apu’s baby shower! Congratulations and best wishes for the little one 
 #sundayafternoon #babyshower #program #goodtimeswithgoodpeople #weekendvibes #friends #family #nushmoni #diaries #aveendiaries #love","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/419645690_7694431803917831_5372040530358450796_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=-3B78INMEfUAX_hGELf&_nc_ht=scontent-ord5-2.xx&oh=00_AfA3UV88KovtOmPmkhEQNxGak7fe0jWYhiKca4yCufiBUA&oe=65D4A1AC', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/419692387_7694432270584451_6342296091588399619_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=GOHNVlGwNssAX8xoEIE&_nc_ht=scontent-ord5-1.xx&oh=00_AfCiKaIDYbsYC6DpmbjbXwqgI5NbLKJW6QEo8U3P1rxktA&oe=65D4FAAA', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/419887616_7694432400584438_7893500773112107675_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=EZozTqq9axIAX-QLBdO&_nc_ht=scontent-ord5-2.xx&oh=00_AfAf5li8iBOlMHWbLdNVhCAclOCP1byrWmpbRQ0_P2bdHw&oe=65D46B99', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/419902057_7694431953917816_3594347805067720007_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=DRiTwKYRZucAX9qMjMP&_nc_ht=scontent-ord5-1.xx&oh=00_AfCf12--mK8-1Cn3tq6PtLUrxTUEyUxEDO3PlZwL8ZfsWQ&oe=65D5C507', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/419884932_7694432050584473_3186489572227169627_n.jpg?stp=cp6_dst-jpg_p480x480&_nc_cat=107&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=Nd2Ys24-ibcAX-lA4vD&_nc_ht=scontent-ord5-2.xx&oh=00_AfADMiTeR3RK72_nCpym9_00pbXmsYV7EIc9XMdzdKgUJA&oe=65D4C9AD']",[],M
,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/419799927_24886549694263694_4720856883789686043_n.jpg?stp=c0.58.526.526a_dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=efb6e6&_nc_ohc=FsY7LClLj6EAX_9ysa2&_nc_ht=scontent-ord5-2.xx&oh=00_AfDiUTZwJHsEPDNd7tivkbem3ENq-u49YitutC8yjUD_zg&oe=65D5814B'],[],M
,"['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/419421703_794875966010447_4879383418044862869_n.jpg?stp=dst-jpg_p526x395&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=pMrx2wnZC0wAX-njOmL&_nc_ht=scontent-ord5-2.xx&oh=00_AfCPg0rckmqfHgHFrU57nk9717ddHVSHE_MihN8K3U0olg&oe=65D4AE34', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/419868959_794876002677110_2977958000892864077_n.jpg?stp=dst-jpg_p480x480&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=DDyxDYJbii0AX9ouq6m&_nc_ht=scontent-ord5-2.xx&oh=00_AfCdtEXaT9t7KnLypc2KqjNni9SgShSWu5aMUqLOrHVodQ&oe=65D5E0D9']",[],M
"we should have danced, certainly ....
Shaeke Salman OveeJafrul Islam RajonMd Saidur RahmanTanmay Sarkerজয়ধৃতি চৌধুরীAhtaysham NahinMutiul Md MuhaiminForhan Bin Emdad Romy",[],['https://www.facebook.com/morshedniaz/videos/391521106605267/?__cft__[0]=AZXGouiU73IhiL0y5nLrW7yr98rmk8y40BYHv7jno2Vx6HZQ55fI03VswYejBJzMelqxIBKHtKxJgw42goorl1kuuWoyWN6NSg-tUYVGg-WAol7HippsrZ4z9q76RDvhAMIcgnJ5Dy81L_8iKDUJsSiW1jSnoeZSpdtxz3wxzU7SdNCma2UK7SQzkFg5O6mAa94&__tn__=%2B%3FFH-R'],M
