text,images,videos,gender
"লাউঞ্জে বসে আছি। আজ আর আমরা কেউ কিছু খেতে পারছি না। সবাই রোজা। রোজা রেখে আমার এটা প্রথম বিদেশে গমন।
ফি আমানিল্লাহ। আমার সাথে আছে Atik Mollick আর জাহিদ ভাই।","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/432627289_10159989340048596_3369642935496468972_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=tVccvxF_nAgAX_Mfirx&_nc_ht=scontent-ord5-1.xx&oh=00_AfDsQksdbhzwsdHRjoLPUK87AHVnCadohX1AzkhaWuA0Aw&oe=65FACDC1', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/432569240_10159989340118596_3226155341325191594_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=AdAAtDeQMmgAX9QI9cM&_nc_ht=scontent-ord5-2.xx&oh=00_AfDSKzxECpHwaXkl7B_csT7XjVavwARL1BH6Hjixp7ur8A&oe=65FB20ED', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/433112891_10159989340058596_1578244980976592013_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=dV3zxeMCgAUAX-b5K4c&_nc_ht=scontent-ord5-2.xx&oh=00_AfCn-6x5pjD-UJeRCCYg-o0Quno1UyQeA9IP22R_kZWoXg&oe=65FC1FA3', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/433059379_10159989340083596_4802641187307649585_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_oUqNamLPp8AX91-6Yq&_nc_ht=scontent-ord5-2.xx&oh=00_AfAXzemDkd_vTUmZKASrL6Q_qAh5zCrzYdalr_dqY3IMEg&oe=65FB4CA7']",[],M
"Good Morning Dhaka!!
Heading to the Regional conference 2024 on Rain Water harvesting and Management in Kathmandu Nepal!!!
Fe Amanilllah!!!",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/431859480_10159989265068596_1394116043801746383_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rn3kZMA6J6YAX_FuicL&_nc_ht=scontent-ord5-2.xx&oh=00_AfDkNsuVWcwWn3pzMAGh5xdXi12GfNPFIRdQ31zjYmMZgA&oe=65FAAA4C'],[],M
"Project Meeting : DRONE OPERATION AND USE OF DRONE DATA FOR CROP DAMAGE ASSESSMENTS
#ADB #DAE #OCL","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/432588842_10159986879073596_6791387271309440984_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=HBtifB5EcloAX-d-mP5&_nc_ht=scontent-ord5-1.xx&oh=00_AfC4kBlj5_U36vV3nIVAU3MR5T4redSMwOPQjvBKgCRnZA&oe=65FA6BE7', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/432575502_10159986879123596_5428103573806780830_n.jpg?stp=dst-jpg_p417x417&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=2Tw41G_ghv8AX-pr4M9&_nc_ht=scontent-ord5-2.xx&oh=00_AfDa6LdJ7zmeQBX0Iehn_QiniR4Gi8wjXkQkpXmhvEWO9g&oe=65FBC057', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/433090961_10159986879143596_5849304688240158368_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=zG1ShQbLJikAX_Ynbdn&_nc_ht=scontent-ord5-1.xx&oh=00_AfDn2J5FTkb_paTv0BbTIcB3u-MG1mm958Kohz77xhUKWA&oe=65FAEDB5']",[],M
"I am thrilled to announce my participation and presentation of a technical paper at the Regional Conference on ""Rainwater Harvesting and Management,"" organized by Smart WASH Solutions and SNV in collaboration with the Department of Water Supply and Sewerage Management and the Nepal Rainwater Harvesting Alliance, with generous support from various partnering organizations. 
During the event, I will have the opportunity to share my professional experiences in Rainwater Harvesting and Management with my mentor, Md Zahid Hossain, and my friend and influential figure, Engr. Shahadat Hossain. 
It is an honor to represent my organization, O.CREEDS, and showcase our research work at this esteemed gathering. 
Alhamdulillah for this incredible opportunity!",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/431730609_10159571169597483_4206064201821225853_n.jpg?stp=dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=4O94iZeSBtIAX-6COQt&_nc_ht=scontent-ord5-2.xx&oh=00_AfDLMAjxQjL1velBnE0Ri4w98-hYKo3nIgGFBvlt_kR3jA&oe=65FB8B9A'],[],M
"Ramadan Mubarak! 
May this Ramadan be a month of blessings, a month full of forgiveness and guidance for you and your family. Happy Ramzan! May Allah grant all your wishes and fulfill all your desires in this holy month of Ramadan.",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428713074_10159984617473596_1285926320003811189_n.jpg?stp=dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=fiF3dPToEK8AX9UxAJi&_nc_ht=scontent-ord5-2.xx&oh=00_AfA5WW6Mk-g74J4sNmEuM54-IF1DMHbQmFdzZLpMWY_bRg&oe=65FAC551'],[],M
"Ramadan Mubarak! 
May this Ramadan be a month of blessings, a month full of forgiveness and guidance for you and your family. Happy Ramzan! May Allah grant all your wishes and fulfill all your desires in this holy month of Ramadan.",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/432549515_10159984586633596_6747499412139308350_n.jpg?stp=dst-jpg_p180x540&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=mSou0VqpGlAAX-W7sxu&_nc_ht=scontent-ord5-1.xx&oh=00_AfBU_7TAcCZcRjRx7P28lT14Psi_d5ivX6A8JgwkbYssvg&oe=65FC0B7D'],[],M
"SARNET, SRILANKA!!",[],[],M
"O.CREEDS Retreat 2024
Alhamdulillah, our entire team from the OCL office recently enjoyed a rejuvenating trip to the Twin Beach Resort on St. Martin Island for sunbathing and relaxation.
Throughout the year, we dedicate ourselves to various national and international projects, putting in a lot of effort. … See more","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/431631896_10159569437657483_746871697752201024_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=bKH-YjRbb7QAX8H-HPz&_nc_ht=scontent-ord5-2.xx&oh=00_AfAoYaOrf76jEp3h1qS8B7KXNgdQXJaluAq9O64Pn2UjEQ&oe=65FAA3DF', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/431736168_10159569437937483_3477532317401518094_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=yNLHNA33nccAX9H666K&_nc_ht=scontent-ord5-2.xx&oh=00_AfAv7Iwlfe1hy6-e0ujeaq_CsChkVR6j6S2PNVIH6BSo7A&oe=65FB93CA', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/431388442_10159569438262483_6090004868322997058_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=N3jZIpbj-Z0AX9MhTmL&_nc_oc=AQm729jRvj7rbkoTC8tOUmDTbZVHQEbfABQTQu3zuXs9AKvQs8n2AvvxSyfvZ7ZgOPk&_nc_ht=scontent-ord5-1.xx&oh=00_AfBEBC7FoQnZs2lBKGv3_6YhTL6Ajq1EnB8fADrz2SMBtA&oe=65FB736E', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/431640910_10159569438452483_5480653650200894899_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=WUJItrCTJRkAX_j622R&_nc_ht=scontent-ord5-2.xx&oh=00_AfDK_qzi0NnJ5yOcgz38HbK-aFrnPZtI54vRpYTORNKF0A&oe=65FB0174', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/431692234_10159569438517483_2195830972828040006_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=bWM8PS0TJxkAX_sRE3f&_nc_ht=scontent-ord5-2.xx&oh=00_AfBtDypv54sxSHP6vWTRVPAsa78k3buKJoU_mzq88ooz7Q&oe=65FC3C15']",[],M
https://www.facebook.com/share/p/Voy1NF8mqiHV6oMe/?mibextid=oFDknk,[],['https://www.facebook.com/JamunaTelevision/videos/775483750753373/?__cft__[0]=AZV7soLdM7mVv3tlH_gVfaS8iNLEiDVdsQCV9RXyl80bj6lhva58MTk5vLbe8VJzgDzxiWPfeVGiWIB2R4kUon9aCrZqwiSs6-bIXyXKstxs-X1-5qgc9vkcDvuC8UuzUN0L-xnSznMunEwBe0H6QceHDbNT-NjSuIypPrFMhKiYqizAAiOEUBheX2_IedtFpm07Mb7_4IgwI5bPhq67Yc_6&__tn__=%2B%3FFH-y-R'],M
"Congratulations to the O.Creeds Drone Team for advancing to the next level in the agriculture sector! 
It's an honour to be part of such innovative work. 
#Drone #agriculture #OCL #Bangladesh… See more",[],['https://www.facebook.com/JamunaTelevision/videos/775483750753373/?__cft__[0]=AZXxxJl_yof_u2PZYGrnTB4Y3v9S9ue8aD1OfDDCVYuUCZA7iEMUUkQnODI9dj_HsawX4A9OpYeHd1nZIz3vlvLAP7EdbW746Hi432WPWbNUdD8VvgLvefuwSEDl9QIXdB1GpzdWvTbY-L0LkLFPK5L9z2EaXOR-Xjz-Sg7XxEGVOxDU1iohGnasaGPd_pUqGG_xxOVqZKrzrYUDl2Z3D1vc&__tn__=%2B%3FFH-y-R'],M
শুভ সকাল বাংলাদেশ!!!,[],['https://www.facebook.com/JamunaTelevision/videos/775483750753373/?__cft__[0]=AZWDj_nx35AUD0NWeGlfEClAAfQFUbSMZ0OVSFvDMPDRYzIvDQGMLJL8OMFgcLMJnoq_908XuvvzsVm8hjr-N8IhYvU6lK5lNiATMrbYcFYEapXaS_wIaBBxUuAiRrizDTz0kQGJxocAz3IUGr22qmsRK5K4cCQVY5hPoc196TcWIsz7q01NlyEZfw4FUFYabl4pGfmp_X7iSCZ5lpxuvgXA&__tn__=%2B%3FFH-y-R'],M
"It was an enriching experience at the CCDB Climate Park in Sreepur, Gazipur, which is the First ever Climate Knowledge Centre in Bangladesh.
We engaged in project work and gathered valuable insights on nature-based innovation and climate-resilient solutions.
#OCL #climate #CCDB #Bangladesh #nature #environment","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/431411392_10159563996612483_5723612322627388072_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=LAf3evHXr_0AX9uT_1t&_nc_ht=scontent-ord5-1.xx&oh=00_AfD0OyALvllgDV7Rdqvnniq9oNNBIP1zUI-PbOeyrtCUAA&oe=65FA71CA', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/431644869_10159563996722483_6930717177263447464_n.jpg?stp=dst-jpg_p370x247&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=yKd_Bs9A9qoAX_KaZYI&_nc_ht=scontent-ord5-2.xx&oh=00_AfBWwvcBSJkJjAKvNwesJSD5fcsebmSrbCgCvQX5pnopmg&oe=65FB8142', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/431691895_10159563997852483_2744335673586025116_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=fGGRD0nNx88AX8-61sy&_nc_ht=scontent-ord5-2.xx&oh=00_AfDKocymek-eZaurJDq6MfeVjRgJm_2HbJMPkxZZACvvAQ&oe=65FAC5F6', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/431402797_10159563998002483_4880434716448629817_n.jpg?stp=dst-jpg_p526x395&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=RvlsUp6I9swAX9lQyKo&_nc_ht=scontent-ord5-2.xx&oh=00_AfAhX3sxyfDQcKBKVB1lhgPYjUIr-Kw7K65inuzCPZE4Bw&oe=65FBDBE7', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/431506430_10159563998042483_5608042908367791492_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ArjqHEQJjagAX9nRtuc&_nc_ht=scontent-ord5-2.xx&oh=00_AfCn9OmvSA-L41_kUoxNEF5C4hWjdqtYynI1c4I82O0GXA&oe=65FBDF12']",[],M
"মিটিং মিছিল করতে করতে সন্ধ্যা হয়ে গেল বস।
আজ আছি চিটাগাং শহরেই।
ইনশাআল্লাহ।",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428698201_10159977808028596_5540450074066727914_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rVYiFta73xwAX_3qJd7&_nc_ht=scontent-ord5-1.xx&oh=00_AfB5h-3NCPTkHHyWfCmTyIxa5yYJGH0Z0PJiaMS-IhpxRQ&oe=65FB70ED'],[],M
